SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15 Woodstone Rd,Ridgefield,CT,06877,849999,4,3.5,Ridgefield,3848,60548,2005,16,221,,Active,,,http://www.redfin.com/CT/Ridgefield/15-Woodstone-Rd-06877/home/53648979,Smart MLS,170273455,N,Y,41.3041373,-73.4889819
MLS Listing,,Single Family Residential,46 Old Hawleyville Rd,Newtown,CT,06470,349000,3,2.0,Hawleyville,1951,357627,1939,28,179,,Active,,,http://www.redfin.com/CT/Newtown/46-Old-Hawleyville-Rd-06470/home/107623930,Smart MLS,170269548,N,Y,41.423369,-73.370374
MLS Listing,,Single Family Residential,9 Stallion Trl,Greenwich,CT,06831,2399000,5,8.0,Greenwich,7450,174240,1981,34,322,175,Active,,,http://www.redfin.com/CT/Greenwich/9-Stallion-Trl-06831/home/107031974,Smart MLS,170270688,N,Y,41.0945135,-73.6289231
MLS Listing,,Single Family Residential,140 Club Rd,Stamford,CT,06905,729000,4,3.5,Stamford,3693,24829,1959,35,197,,Active,,,http://www.redfin.com/CT/Stamford/140-Club-Rd-06905/home/107098062,Smart MLS,170271046,N,Y,41.0995167,-73.535624
MLS Listing,,Single Family Residential,90 Portland Ave,Wilton,CT,06897,519000,3,2.5,Wilton,1710,53578,1995,35,304,,Active,,,http://www.redfin.com/CT/Wilton/90-Portland-Ave-06897/home/107150493,Smart MLS,170270926,N,Y,41.2637249,-73.4374726
MLS Listing,,Single Family Residential,2606 Congress St,Fairfield,CT,06824,950000,4,3.5,Greenfield Hill,4400,162478,2008,49,216,,Active,,,http://www.redfin.com/CT/Fairfield/2606-Congress-St-06824/home/107141928,Smart MLS,170265520,N,Y,41.1927836,-73.2801527
MLS Listing,,Single Family Residential,3 Pilgrim Ln,Monroe,CT,06468,509900,5,2.5,Monroe,3550,43560,1979,61,144,,Active,,,http://www.redfin.com/CT/Monroe/3-Pilgrim-Ln-06468/home/107074195,Smart MLS,170253329,N,Y,41.3095613,-73.2360303
MLS Listing,,Single Family Residential,30 Cherry St,Darien,CT,06820,640000,3,2.0,Noroton Heights,1432,6098,1951,149,447,,Active,,,http://www.redfin.com/CT/Darien/30-Cherry-St-06820/home/107157763,Smart MLS,170244589,N,Y,41.0686235,-73.4834138
MLS Listing,,Single Family Residential,14 Lavelle Ave,New Fairfield,CT,06812,319000,2,1.5,New Fairfield,1409,6534,1968,175,226,19,Active,,,http://www.redfin.com/CT/New-Fairfield/14-Lavelle-Ave-06812/home/107230363,Smart MLS,170238478,N,Y,41.524664,-73.480875
MLS Listing,,Condo/Co-op,53 William St Unit B,Greenwich,CT,06830,839949,3,2.0,Greenwich,1744,,1915,252,482,450,Active,,,http://www.redfin.com/CT/Greenwich/53-William-St-06830/unit-B/home/107021947,Smart MLS,170212542,N,Y,41.0348719,-73.627725
MLS Listing,,Single Family Residential,27 Blackberry Rd,Danbury,CT,06811,299000,3,1.0,Candlewood Lake,1924,10890,1960,1,155,6,Active,,,http://www.redfin.com/CT/Danbury/27-Blackberry-Rd-06811/home/106983074,Smart MLS,170281272,N,Y,41.4334186,-73.4490457
MLS Listing,,Single Family Residential,118 Blackman Rd,Ridgefield,CT,06877,879900,4,3.5,South Ridgefield,4575,55756,1997,1,192,,Active,,,http://www.redfin.com/CT/Ridgefield/118-Blackman-Rd-06877/home/53649780,Smart MLS,170282877,N,Y,41.2941963,-73.4765315
MLS Listing,,Condo/Co-op,51 Forest Ave #52,Greenwich,CT,06870,745000,2,2.0,Old Greenwich,1246,,1990,1,598,668,Active,,,http://www.redfin.com/CT/Old-Greenwich/51-Forest-Ave-06870/unit-52/home/107028380,Smart MLS,170279945,N,Y,41.0351949,-73.5638073
MLS Listing,,Single Family Residential,9 Saw Mill Rd,Newtown,CT,06470,395000,4,2.5,Newtown,2252,87991,1979,1,175,,Active,,,http://www.redfin.com/CT/Newtown/9-Saw-Mill-Rd-06470/home/107635604,Smart MLS,170282797,N,Y,41.4176974,-73.3496389
MLS Listing,,Condo/Co-op,25 Adams Ave #402,Stamford,CT,06902,430000,2,2.0,Mid City,1415,,2007,1,304,427,Active,,,http://www.redfin.com/CT/Stamford/25-Adams-Ave-06902/unit-402/home/107103324,Smart MLS,170282836,N,Y,41.0565964,-73.5474438
MLS Listing,,Single Family Residential,22 Hemlock Dr,Shelton,CT,06484,32900,2,1.0,Trap Falls,708,,1972,1,46,405,Active,,,http://www.redfin.com/CT/Shelton/22-Hemlock-Dr-06484/home/107183070,Smart MLS,170282915,N,Y,41.2712568,-73.121657
MLS Listing,,Single Family Residential,7 Encampment Pl,Ridgefield,CT,06877,959000,5,4.5,Ridgefield,6277,52707,1999,1,153,,Active,,,http://www.redfin.com/CT/Ridgefield/7-Encampment-Pl-06877/home/53651707,Smart MLS,170282876,N,Y,41.365056,-73.5219799
