SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),89 Linnmoore St,Hartford,CT,06114,237000,8,3.0,South End,3244,8712,1915,1,73,,Active,,,http://www.redfin.com/CT/Hartford/89-Linnmoore-St-06114/home/54157437,Smart MLS,170282972,N,Y,41.7334361,-72.6911493
MLS Listing,,Multi-Family (2-4 Unit),54 Ward Pl,Hartford,CT,06106,207000,6,3.0,Behind The Rocks,3189,5662,1924,1,65,,Active,,,http://www.redfin.com/CT/Hartford/54-Ward-Pl-06106/home/54145909,Smart MLS,170282969,N,Y,41.7502557,-72.6964016
MLS Listing,,Single Family Residential,11 Livingston St,Wethersfield,CT,06109,271500,3,2.5,Wethersfield,2216,7405,2000,1,123,,Active,,,http://www.redfin.com/CT/Wethersfield/11-Livingston-St-06109/home/54312584,Smart MLS,170282955,N,Y,41.721496,-72.6725712
MLS Listing,,Multi-Family (2-4 Unit),52 Catherine St,Hartford,CT,06106,217000,6,3.0,Behind The Rocks,2970,6969,1922,1,73,,Active,,,http://www.redfin.com/CT/Hartford/52-Catherine-St-06106/home/54145563,Smart MLS,170282964,N,Y,41.7465671,-72.6965203
MLS Listing,,Condo/Co-op,161 Coho Ln #161,Suffield,CT,06078,199999,2,2.5,Suffield,1812,,1984,1,110,312,Active,,,http://www.redfin.com/CT/Suffield/161-Coho-Ln-06078/unit-161/home/144512752,Smart MLS,170282937,N,Y,41.9932122,-72.610367
MLS Listing,,Single Family Residential,,East Hartford,CT,06118,220000,3,2.5,,1486,,2008,1,148,300,Active,,,http://www.redfin.com/CT/East-Hartford/Undisclosed-address-06118/home/171152305,Smart MLS,170282929,N,Y,41.7641275,-72.6037097
MLS Listing,,Single Family Residential,31 S Whitney St,Hartford,CT,06106,167000,3,2.0,Parkville,1172,4791,1915,1,142,,Active,,,http://www.redfin.com/CT/Hartford/31-S-Whitney-St-06106/home/54149815,Smart MLS,170282930,N,Y,41.7578073,-72.7094282
MLS Listing,,Condo/Co-op,41 Eden #3,Southington,CT,06489,243925,2,2.0,Southington,1074,,2019,1,227,216,Active,,,http://www.redfin.com/CT/Southington/41-Eden-Ave-06489/unit-3/home/171152600,Smart MLS,170282928,N,Y,41.5978527,-72.8790535
MLS Listing,,Single Family Residential,63 Westmeath Ln,Farmington,CT,06032,311000,3,1.5,Unionville,1131,17859,1979,1,275,,Active,,,http://www.redfin.com/CT/Farmington/63-Westmeath-LN-06032/home/171152508,Smart MLS,170282656,N,Y,41.744731,-72.892165
MLS Listing,,Single Family Residential,38 Hilltop Dr,West Hartford,CT,06107,319900,3,1.5,West Hartford,1509,7405,1942,1,212,,Active,March-22-2020 01:00 PM,March-22-2020 03:00 PM,http://www.redfin.com/CT/West-Hartford/38-Hilltop-Dr-06107/home/53967013,Smart MLS,170282741,N,Y,41.7699005,-72.7468209
MLS Listing,,Single Family Residential,20 Rockledge Dr,South Windsor,CT,06074,324900,4,2.5,Wood Pond,1920,25264,1984,1,169,,Active,,,http://www.redfin.com/CT/South-Windsor/20-Rockledge-Dr-06074/home/54134565,Smart MLS,170278381,N,Y,41.856703,-72.5429083
MLS Listing,,Single Family Residential,61 Ledgecrest Dr,Newington,CT,06111,237000,2,1.0,Newington,1022,11761,1953,1,232,,Active,March-22-2020 11:00 AM,March-22-2020 01:00 PM,http://www.redfin.com/CT/Newington/61-Ledgecrest-Dr-06111/home/54034454,Smart MLS,170281672,N,Y,41.6828178,-72.7042434
MLS Listing,,Single Family Residential,271 Rye St,East Windsor,CT,06016,309900,4,2.5,East Windsor,2338,168141,1938,1,133,,Active,,,http://www.redfin.com/CT/Broad-Brook/271-Rye-St-06016/home/53761115,Smart MLS,170280990,N,Y,41.8830666,-72.5727714
MLS Listing,,Single Family Residential,15 Rawlins Brook Rd,Suffield,CT,06078,389900,4,2.5,Suffield,2190,25264,1999,1,178,,Active,,,http://www.redfin.com/CT/Suffield/15-Rawlins-Brook-Ln-06078/home/54059173,Smart MLS,170270320,N,Y,41.9951929,-72.6174037
MLS Listing,,Single Family Residential,102 South Street Ext,Bristol,CT,06010,105000,2,1.0,Bristol,664,7840,1938,1,158,,Active,,,http://www.redfin.com/CT/Bristol/102-S-St-Ext-06010/home/54394563,Smart MLS,170281476,N,Y,41.667207,-72.951735
MLS Listing,,Single Family Residential,116 Edgewood Dr,South Windsor,CT,06074,284900,3,2.5,South Windsor,2372,20908,1965,1,120,,Active,,,http://www.redfin.com/CT/South-Windsor/116-Edgewood-Dr-06074/home/54128663,Smart MLS,170282548,N,Y,41.82604,-72.5957816
MLS Listing,,Single Family Residential,65 Tyler St,Bloomfield,CT,06002,159900,2,1.0,Bloomfield,984,22651,1948,1,163,,Active,,,http://www.redfin.com/CT/Bloomfield/65-Tyler-St-06002/home/53946622,Smart MLS,170280535,N,Y,41.8211782,-72.7155581
MLS Listing,,Single Family Residential,7 Bailey Rd,Enfield,CT,06082,225000,3,1.5,Enfield,1440,43995,1972,1,156,,Active,,,http://www.redfin.com/CT/Enfield/7-Bailey-Rd-06082/home/53813600,Smart MLS,170282820,N,Y,41.980395,-72.5067312
MLS Listing,,Single Family Residential,244 Stevens St,Bristol,CT,06010,215000,3,1.0,Bristol,960,21344,1936,1,224,,Active,,,http://www.redfin.com/CT/Bristol/244-Stevens-St-06010/home/54393185,Smart MLS,170282645,N,Y,41.713992,-72.9194567
MLS Listing,,Single Family Residential,40 Joan Rd,New Britain,CT,06053,159900,4,2.0,New Britain,1651,9583,1956,1,97,,Active,,,http://www.redfin.com/CT/New-Britain/40-Joan-Rd-06053/home/53881303,Smart MLS,170264164,N,Y,41.7013627,-72.7896681
MLS Listing,,Single Family Residential,311 Garden St,Wethersfield,CT,06109,249900,4,1.0,Old Wethersfield,1554,10454,1915,1,161,,Active,,,http://www.redfin.com/CT/Wethersfield/311-Garden-St-06109/home/54315566,Smart MLS,170282848,N,Y,41.7165174,-72.6605367
