SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,16 Mansewood Rd,Old Lyme,CT,06371,690000,2,2.5,Old Lyme,1950,439520,1983,1,354,33,Active,,,http://www.redfin.com/CT/Old-Lyme/16-Mansewood-Rd-06371/home/54444201,Smart MLS,170282345,N,Y,41.3536934,-72.3238198
MLS Listing,,Condo/Co-op,11 King Arthur Dr Unit 2C,East Lyme,CT,06357,138000,2,1.5,East Lyme,1120,,1969,1,123,426,Active,,,http://www.redfin.com/CT/Niantic/11-King-Arthur-Dr-06357/unit-2C/home/54381228,Smart MLS,170280701,N,Y,41.3587081,-72.2043157
MLS Listing,,Multi-Family (2-4 Unit),65 Denison Ave,New London,CT,06320,169900,4,2.0,New London,2016,4791,1890,1,84,,Active,,,http://www.redfin.com/CT/New-London/65-Denison-Ave-06320/home/53739417,Smart MLS,170282649,N,Y,41.3439613,-72.1044249
MLS Listing,,Condo/Co-op,6 School St #20,Stonington,CT,06355,280000,1,1.5,Mystic,767,,1904,1,365,375,Active,,,http://www.redfin.com/CT/Mystic/6-School-St-06355/unit-20/home/53846687,Smart MLS,170275784,N,Y,41.35562,-71.9638676
MLS Listing,,Single Family Residential,21 Dudley St,Norwich,CT,06360,183000,3,1.0,Norwich,1469,29620,1958,1,125,,Active,,,http://www.redfin.com/CT/Norwich/21-Dudley-St-06360/home/53929789,Smart MLS,170282453,N,Y,41.5412031,-72.097667
MLS Listing,,Single Family Residential,25 Cove View Rd,New London,CT,06320,299900,4,2.0,New London,1896,16117,1975,1,158,,Active,,,http://www.redfin.com/CT/New-London/25-Cove-View-Rd-06320/home/53736631,Smart MLS,170282878,N,Y,41.3204074,-72.1007683
MLS Listing,,Condo/Co-op,281 Gardner Ave Unit B4,New London,CT,06320,78000,2,1.0,Glenwood Park,900,,1967,1,87,334,Active,,,http://www.redfin.com/CT/New-London/281-Gardner-Ave-06320/unit-B4/home/53737819,Smart MLS,170282704,N,Y,41.3236405,-72.1036776
MLS Listing,,Condo/Co-op,11 King Arthur Dr Unit 4A,East Lyme,CT,06357,128500,2,1.5,Niantic,1120,,1969,1,115,275,Active,,,http://www.redfin.com/CT/Niantic/11-King-Arthur-Dr-06357/unit-4A/home/54381535,Smart MLS,170280908,N,Y,41.3587081,-72.2043157
MLS Listing,,Single Family Residential,229 Beaumont Hwy,Lebanon,CT,06249,204900,2,1.0,Lebanon,1060,175546,1986,1,193,,Active,,,http://www.redfin.com/CT/Lebanon/229-Beaumont-Hwy-06249/home/54439394,Smart MLS,170281153,N,Y,41.687834,-72.232026
MLS Listing,,Single Family Residential,22 Swan Ln,Groton,CT,06355,400000,3,2.5,Mystic,1961,14810,1999,1,204,,Active,,,http://www.redfin.com/CT/Mystic/22-Swan-Ln-06355/home/54185384,Smart MLS,170282795,N,Y,41.3510451,-71.9914658
