SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,77 Bayshore Dr,New London,CT,06320,229000,2,2.0,New London,1400,7405,1954,1,164,,Active,,,http://www.redfin.com/CT/New-London/77-Bayshore-Dr-06320/home/53736024,Smart MLS,170282346,N,Y,41.3137069,-72.0983498
MLS Listing,,Single Family Residential,4 Bishop Ct,New London,CT,06320,65000,3,2.0,New London,1082,2613,1865,7,60,,Active,,,http://www.redfin.com/CT/New-London/4-Bishop-Ct-06320/home/53740095,Smart MLS,170280663,N,Y,41.3534099,-72.1048877
MLS Listing,,Single Family Residential,56 Admiral Dr,New London,CT,06320,364900,3,3.0,Ocean Beach,2100,11325,1970,8,174,10,Active,,,http://www.redfin.com/CT/New-London/56-Admiral-Dr-06320/home/53736782,Smart MLS,170279924,N,Y,41.3183352,-72.0906776
MLS Listing,,Condo/Co-op,400 Bank St #103,New London,CT,06320,219900,2,2.0,New London,1198,,2005,8,184,364,Active,,,http://www.redfin.com/CT/New-London/400-Bank-St-06320/unit-103/home/53736322,Smart MLS,170279971,N,Y,41.3503146,-72.0980287
MLS Listing,,Condo/Co-op,281 Gardner Ave Unit A4,New London,CT,06320,78000,2,1.0,New London,900,,1967,9,87,334,Active,,,http://www.redfin.com/CT/New-London/281-Gardner-Ave-06320/unit-A4/home/53737825,Smart MLS,170279562,N,Y,41.3236405,-72.1036776
MLS Listing,,Single Family Residential,174 Glenwood Ave,New London,CT,06320,294500,3,3.0,Glenwood Park,1997,11325,1904,11,147,,Active,,,http://www.redfin.com/CT/New-London/174-Glenwood-Ave-06320/home/53737051,Smart MLS,170274930,N,Y,41.3195242,-72.0954916
MLS Listing,,Single Family Residential,102 Plant St,New London,CT,06320,182500,3,1.0,New London,1144,6098,1938,11,160,,Active,,,http://www.redfin.com/CT/New-London/102-Plant-St-06320/home/53737640,Smart MLS,170279356,N,Y,41.3301087,-72.0997037
MLS Listing,,Single Family Residential,98 Plant St,New London,CT,06320,204900,3,1.5,New London,1572,6098,1938,11,130,,Active,,,http://www.redfin.com/CT/New-London/98-Plant-St-06320/home/53737639,Smart MLS,170279353,N,Y,41.330117,-72.0995185
MLS Listing,,Single Family Residential,11 Mott Ave,New London,CT,06320,619000,6,3.5,Ocean Beach,2088,3484,1909,15,296,25,Active,,,http://www.redfin.com/CT/New-London/11-Mott-Ave-06320/home/53736491,Smart MLS,170277999,N,Y,41.3108604,-72.0949824
MLS Listing,,Single Family Residential,30 Morgan St,New London,CT,06320,150000,3,1.0,New London,1576,6534,1890,16,95,,Active,,,http://www.redfin.com/CT/New-London/30-Morgan-St-06320/home/52224504,Smart MLS,170277283,N,Y,41.3654026,-72.1181715
MLS Listing,,Condo/Co-op,19 Hawthorne Dr #180,New London,CT,06320,169875,2,1.5,New London,1812,,2005,18,94,252,Active,,,http://www.redfin.com/CT/New-London/19-Hawthorne-Dr-06320/unit-180/home/53736280,Smart MLS,170276879,N,Y,41.3688378,-72.1080508
MLS Listing,,Multi-Family (2-4 Unit),276 Montauk Ave,New London,CT,06320,299000,3,3.5,New London,7900,13503,1965,20,38,,Active,,,http://www.redfin.com/CT/New-London/276-Montauk-Ave-06320/home/52240802,Smart MLS,170276222,N,Y,41.3398152,-72.1047257
MLS Listing,,Single Family Residential,12 Crouch St,New London,CT,06320,128900,3,1.0,New London,1474,4791,1900,21,87,,Active,,,http://www.redfin.com/CT/New-London/12-Crouch-St-06320/home/53741113,Smart MLS,170275842,N,Y,41.3630977,-72.105906
MLS Listing,,Single Family Residential,327 Montauk Ave,New London,CT,06320,229000,3,2.0,New London,1892,8712,1925,21,121,,Active,,,http://www.redfin.com/CT/New-London/327-Montauk-Ave-06320/home/53738883,Smart MLS,170275050,N,Y,41.3380093,-72.1044712
MLS Listing,,Condo/Co-op,70 Farmington Ave Unit 4K,New London,CT,06320,44900,1,1.0,New London,680,,1964,22,66,273,Active,,,http://www.redfin.com/CT/New-London/70-Farmington-Ave-06320/unit-4K/home/53737713,Smart MLS,170275427,N,Y,41.3292389,-72.1071353
MLS Listing,,Single Family Residential,53 Cole St,New London,CT,06320,99900,2,1.0,New London,790,8712,1890,22,126,,Active,,,http://www.redfin.com/CT/New-London/53-Cole-St-06320/home/53741683,Smart MLS,170275336,N,Y,41.3652564,-72.1006397
MLS Listing,,Multi-Family (2-4 Unit),77 Garfield Ave,New London,CT,06320,197700,6,4.0,New London,2736,6534,1893,23,72,,Active,,,http://www.redfin.com/CT/New-London/77-Garfield-Ave-06320/home/53740473,Smart MLS,170274036,N,Y,41.3541629,-72.1084054
MLS Listing,,Condo/Co-op,19 Hawthorne Dr #120,New London,CT,06320,147700,2,1.5,New London,1208,,2003,23,122,252,Active,,,http://www.redfin.com/CT/New-London/19-Hawthorne-Dr-06320/unit-120/home/53735944,Smart MLS,170275112,N,Y,41.3688378,-72.1080508
MLS Listing,,Single Family Residential,7 Pleasant St,New London,CT,06320,142900,3,1.0,New London,1232,5227,1925,27,116,,Active,,,http://www.redfin.com/CT/New-London/7-Pleasant-St-06320/home/53741002,Smart MLS,170274285,N,Y,41.356006,-72.108977
MLS Listing,,Condo/Co-op,85 Niles Hill Rd #13,New London,CT,06320,66900,1,1.0,New London,610,,1985,33,110,225,Active,,,http://www.redfin.com/CT/New-London/85-Niles-Hill-Rd-06320/unit-13/home/53736924,Smart MLS,170272435,N,Y,41.3219426,-72.1035497
MLS Listing,,Condo/Co-op,281 Gardner Ave Unit I3,New London,CT,06320,105000,2,1.0,New London,900,,1967,33,117,334,Active,,,http://www.redfin.com/CT/New-London/281-Gardner-Ave-06320/unit-I3/home/53737448,Smart MLS,170272304,N,Y,41.3236405,-72.1036776
MLS Listing,,Single Family Residential,22 Admiral Dr,New London,CT,06320,379900,4,2.5,New London,2951,12601,1960,36,129,,Active,,,http://www.redfin.com/CT/New-London/22-Admiral-Dr-06320/home/53736921,Smart MLS,170269859,N,Y,41.3194909,-72.0903073
MLS Listing,,Single Family Residential,894 Ocean Ave,New London,CT,06320,398000,4,4.0,New London,3197,18295,1930,44,124,,Active,,,http://www.redfin.com/CT/New-London/894-Ocean-Ave-06320/home/53737212,Smart MLS,170263281,N,Y,41.3197617,-72.0988705
MLS Listing,,Single Family Residential,13 Town Hill Ct,New London,CT,06320,139900,3,1.5,New London,1248,2178,1876,48,112,,Active,,,http://www.redfin.com/CT/New-London/13-Town-Hill-Ct-06320/home/53739724,Smart MLS,170267907,N,Y,41.3478853,-72.110442
MLS Listing,,Single Family Residential,321 Crystal Ave,New London,CT,06320,209400,5,2.5,New London,2508,15245,1891,48,83,,Active,,,http://www.redfin.com/CT/New-London/321-Crystal-Ave-06320/home/53741764,Smart MLS,170267692,N,Y,41.3696393,-72.1017403
MLS Listing,,Condo/Co-op,70 Farmington Ave Unit 4U,New London,CT,06320,46000,1,1.0,New London,680,,1964,56,68,340,Active,,,http://www.redfin.com/CT/New-London/70-Farmington-Ave-06320/unit-4U/home/53737688,Smart MLS,170265399,N,Y,41.3292389,-72.1071353
MLS Listing,,Single Family Residential,549 Ocean Ave,New London,CT,06320,249000,4,2.5,New London,2350,8276,1915,56,106,,Active,,,http://www.redfin.com/CT/New-London/549-Ocean-Ave-06320/home/53738003,Smart MLS,170265711,N,Y,41.3306231,-72.1041009
MLS Listing,,Multi-Family (2-4 Unit),327 Jefferson Ave,New London,CT,06320,139900,4,2.0,New London,1184,6969,1915,57,118,,Active,,,http://www.redfin.com/CT/New-London/327-Jefferson-Ave-06320/home/53741056,Smart MLS,170265354,N,Y,41.357666,-72.1151167
MLS Listing,,Vacant Land,17 Chester St,New London,CT,06320,99000,,,New London,,20037,,61,,,Active,,,http://www.redfin.com/CT/New-London/17-Chester-St-06320/home/53741305,Smart MLS,170264702,N,Y,41.3600231,-72.1243563
MLS Listing,,Single Family Residential,9 Wausau Pl,New London,CT,06320,118900,2,1.5,New London,774,5227,1870,65,154,,Active,,,http://www.redfin.com/CT/New-London/9-Wausau-Pl-06320/home/53739581,Smart MLS,170263345,N,Y,41.3516701,-72.10137
MLS Listing,,Single Family Residential,12 Jay St,New London,CT,06320,375000,6,2.5,Town Hill,2832,8276,1871,65,132,,Active,,,http://www.redfin.com/CT/New-London/12-Jay-St-06320/home/53740343,Smart MLS,170262894,N,Y,41.3539938,-72.1000624
MLS Listing,,Multi-Family (5+ Unit),254 Ocean Ave,New London,CT,06320,383000,8,5.0,New London,4728,16117,1880,66,81,,Active,,,http://www.redfin.com/CT/New-London/254-Ocean-Ave-06320/home/53738672,Smart MLS,170261843,N,Y,41.3400307,-72.10785
MLS Listing,,Single Family Residential,58 Berkeley Ave,New London,CT,06320,159900,2,1.5,New London,1482,6969,1935,67,108,,Active,,,http://www.redfin.com/CT/New-London/58-Berkeley-Ave-06320/home/53741996,Smart MLS,170262830,N,Y,41.3638984,-72.106878
MLS Listing,,Multi-Family (5+ Unit),2 Union St,New London,CT,06320,895000,18,12.0,New London,8436,5662,1895,70,106,,Active,,,http://www.redfin.com/CT/New-London/2-Union-St-06320/home/53740061,Smart MLS,170262001,N,Y,41.3545631,-72.0943911
