SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,84 Rogers Lake Trl,Old Lyme,CT,06371,239900,2,1.0,Rogers Lake,925,12632,1955,1,259,15,Active,,,http://www.redfin.com/CT/Old-Lyme/84-Rogers-Lake-Trl-06371/home/54445005,Smart MLS,170282709,N,Y,41.3571927,-72.304403
MLS Listing,,Single Family Residential,30 Homestead Cir,Old Lyme,CT,06371,410000,3,2.0,Homestead Circle,1477,15681,1950,2,278,,Active,,,http://www.redfin.com/CT/Old-Lyme/30-Homestead-Cir-06371/home/54447713,Smart MLS,170281438,N,Y,41.2918086,-72.3116647
MLS Listing,,Single Family Residential,95 Lyme St,Old Lyme,CT,06371,469000,5,3.5,Old Lyme,2519,16117,1909,2,186,,Active,,,http://www.redfin.com/CT/Old-Lyme/95-Lyme-St-06371/home/54447333,Smart MLS,170281660,N,Y,41.3262539,-72.32591
MLS Listing,,Single Family Residential,427 Shore Rd,Old Lyme,CT,06371,259900,2,1.5,Old Lyme,1210,63162,1979,5,215,13,Active,,,http://www.redfin.com/CT/Old-Lyme/427-Shore-Rd-06371/home/54446857,Smart MLS,170281391,N,Y,41.305126,-72.2584695
MLS Listing,,Single Family Residential,23 Mccurdy Rd,Old Lyme,CT,06371,295000,3,2.5,Old Lyme,1966,76230,1840,6,150,,Active,,,http://www.redfin.com/CT/Old-Lyme/23-McCurdy-Rd-06371/home/54444525,Smart MLS,170275814,N,Y,41.3078056,-72.3272512
MLS Listing,,Single Family Residential,21 W End Dr,Old Lyme,CT,06371,409900,3,1.0,Hawk's Nest Beach,864,5662,1940,7,474,,Active,,,http://www.redfin.com/CT/Old-Lyme/21-W-End-Dr-06371/home/54445303,Smart MLS,170277007,N,Y,41.2820226,-72.2850025
MLS Listing,,Single Family Residential,12 Craig Rd,Old Lyme,CT,06371,506500,4,2.5,Old Lyme,2977,87120,1960,7,170,,Active,,,http://www.redfin.com/CT/Old-Lyme/12-Craig-Rd-06371/home/54444003,Smart MLS,170280383,N,Y,41.3358722,-72.296401
MLS Listing,,Single Family Residential,4 Cord Grass Ln,Old Lyme,CT,06371,789000,4,3.5,Old Lyme,6164,31798,2001,7,128,115,Active,,,http://www.redfin.com/CT/Old-Lyme/4-Cord-Grass-Ln-06371/home/54447784,Smart MLS,170275522,N,Y,41.2861674,-72.2930706
MLS Listing,,Single Family Residential,41 W End Dr,Old Lyme,CT,06371,299000,3,1.0,Hawk's Nest Beach,900,1742,1940,7,332,,Active,,,http://www.redfin.com/CT/Old-Lyme/41-W-End-Dr-06371/home/54445294,Smart MLS,170280660,N,Y,41.2815386,-72.2854266
MLS Listing,,Single Family Residential,41 Neck Rd,Old Lyme,CT,06371,998000,4,3.5,Old Lyme,3412,156816,1907,8,292,,Active,,,http://www.redfin.com/CT/Old-Lyme/41-Neck-Rd-06371/home/54443612,Smart MLS,170279572,N,Y,41.3263229,-72.3398314
MLS Listing,,Single Family Residential,105 Sill Ln,Old Lyme,CT,06371,299000,3,1.5,Sill Lane,1893,39639,1930,11,158,,Active,,,http://www.redfin.com/CT/Old-Lyme/105-Sill-Ln-06371/home/54444776,Smart MLS,170276584,N,Y,41.342191,-72.3106471
MLS Listing,,Condo/Co-op,30 Hartford Ave Unit C,Old Lyme,CT,06371,279900,3,1.5,Old Lyme,984,,1940,12,284,160,Active,,,http://www.redfin.com/CT/OLD-LYME/30-HARTFORD-AVE-06371/unit-C/home/109643572,Smart MLS,170278964,N,Y,41.288455,-72.277904
MLS Listing,,Single Family Residential,12 Beckwith Ln,Old Lyme,CT,06371,425000,3,2.0,Old Lyme,1553,20473,1800,13,274,,Active,,,http://www.redfin.com/CT/Old-Lyme/12-Beckwith-Ln-06371/home/54444698,Smart MLS,170268807,N,Y,41.3159434,-72.3325699
MLS Listing,,Single Family Residential,70 Lyme St,Old Lyme,CT,06371,469000,3,1.5,Old Lyme,1604,15681,1880,13,292,,Active,,,http://www.redfin.com/CT/Old-Lyme/70-Lyme-St-06371/home/54444714,Smart MLS,170278546,N,Y,41.3199359,-72.3296863
MLS Listing,,Single Family Residential,56 Sill Ln,Old Lyme,CT,06371,349000,2,2.0,South Lyme,2124,21344,1930,14,164,,Active,,,http://www.redfin.com/CT/Old-Lyme/56-Sill-Ln-06371/home/54443698,Smart MLS,170277453,N,Y,41.340478,-72.321437
MLS Listing,,Single Family Residential,21 Walnut Rd,Old Lyme,CT,06371,334900,2,1.0,Point O'Woods,768,5227,1955,16,436,43,Active,,,http://www.redfin.com/CT/Old-Lyme/21-Walnut-Rd-06371/home/54446810,Smart MLS,170277156,N,Y,41.2964694,-72.255606
MLS Listing,,Single Family Residential,7 Apple Tree Ln,Old Lyme,CT,06371,334000,4,2.0,Rogers Lake,1977,32234,1995,17,169,,Active,,,http://www.redfin.com/CT/Old-Lyme/7-Apple-Tree-Dr-06371/home/54445068,Smart MLS,170276296,N,Y,41.344928,-72.302664
MLS Listing,,Single Family Residential,38 Biscayne Blvd,Old Lyme,CT,06371,329900,2,1.0,Miami Beach,864,10018,1950,22,382,39,Active,,,http://www.redfin.com/CT/Old-Lyme/38-Biscayne-Blvd-06371/home/54446241,Smart MLS,170274021,N,Y,41.2874625,-72.2813215
MLS Listing,,Vacant Land,5 Caulkins Rd,Old Lyme,CT,06371,65000,,,Old Lyme Estates,,10018,,22,,,Active,,,http://www.redfin.com/CT/Old-Lyme/5-Caulkins-Rd-06371/home/168265329,Smart MLS,170274862,N,Y,41.3016866,-72.3287178
