SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,179 Piney Woods Rd,Ferrisburgh,VT,05456,425000,3,2.5,Ferrisburgh,2240,440827,1996,1,190,17,Active,,,http://www.redfin.com/VT/Ferrisburgh/179-Piney-Woods-RD-05456/home/171533735,NEREN,4803598,N,Y,44.259381243225576,-73.24457907605745
MLS Listing,,Single Family Residential,324 Swinton Rd,Bridport,VT,05734,265000,3,2.0,Bridport,1812,43560,1972,2,146,,Active,,,http://www.redfin.com/VT/Bridport/324-Swinton-Rd-05734/home/91276842,NEREN,4803508,N,Y,43.9711339,-73.3259466
MLS Listing,,Single Family Residential,3923 Ethan Allen Hwy,New Haven,VT,05472,290000,3,1.0,New Haven,1594,130680,1850,3,182,,Active,,,http://www.redfin.com/VT/New-Haven/3923-Ethan-Allen-Hwy-05472/home/91322550,NEREN,4803477,N,Y,44.10287,-73.174092
MLS Listing,,Single Family Residential,520 Little Chicago Rd,Ferrisburgh,VT,05456,182500,1,1.0,Ferrisburgh,890,21780,1940,3,205,,Active,,,http://www.redfin.com/VT/Ferrisburgh/520-Little-Chicago-Rd-05456/home/95097963,NEREN,4803430,N,Y,44.2020117,-73.2545054
MLS Listing,,Vacant Land,000 Natural Tpke,Ripton,VT,05766,39900,,,Ripton,,91040,,4,,,Active,,,http://www.redfin.com/VT/RIPTON/NATURAL-TPKE-05766/home/113923236,NEREN,4803312,N,Y,44.006168,-72.972085
MLS Listing,,Single Family Residential,122 Tow Path Ln,Ferrisburgh,VT,05456,565000,3,2.25,Ferrisburgh,2648,714383,1987,4,213,,Active,,,http://www.redfin.com/VT/Ferrisburgh/122-Tow-Path-Ln-05456/home/95098006,NEREN,4803219,N,Y,44.167408,-73.283066
MLS Listing,,Single Family Residential,630 East St,New Haven,VT,05472,420000,4,1.75,New Haven,1768,2090880,1950,5,238,,Active,,,http://www.redfin.com/VT/New-Haven/630-East-St-05472/home/171474324,NEREN,4803048,N,Y,44.117458,-73.121246
MLS Listing,,Single Family Residential,120 Pondview Dr,Bristol,VT,05443,269000,3,2.0,Bristol,1648,457380,1992,5,163,,Active,,,http://www.redfin.com/VT/Bristol/120-Pondview-Dr-05443/home/91391862,NEREN,4803046,N,Y,44.178539,-73.105133
MLS Listing,,Single Family Residential,4755 Rustic Ct,Leicester,VT,05733,699000,3,1.75,Leicester,1552,41817,2013,6,450,,Active,,,http://www.redfin.com/VT/Leicester/4755-Rustic-Ct-05733/home/169651127,NEREN,4802909,N,Y,43.88817938041741,-73.06765446014406
MLS Listing,,Vacant Land,495 Singing Cedars Rd,Orwell,VT,05760,135000,,,Orwell,,448668,,6,,,Active,,,http://www.redfin.com/VT/Orwell/495-Singing-Cedars-Rd-05760/home/91293339,NEREN,4802877,N,Y,43.756335,-73.345127
