SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,0 Lessard Dr,Turner,ME,04282,210000,,,Turner,,1263240,,1,,,Active,,,http://www.redfin.com/ME/Turner/Lessard-Dr-04282/home/171536395,MREIS,1451164,N,Y,44.3375757,-70.2563201
MLS Listing,,Single Family Residential,16 Jean St,Lewiston,ME,04240,199500,4,2.0,Lewiston,2000,5227,1950,1,100,,Active,,,http://www.redfin.com/ME/Lewiston/16-Jean-St-04240/home/100196179,MREIS,1451145,N,Y,44.1025491,-70.1867706
MLS Listing,,Single Family Residential,334 Webster St,Lewiston,ME,04240,199900,3,2.0,Lewiston,2450,10018,1935,1,82,,Active,,,http://www.redfin.com/ME/Lewiston/334-Webster-St-04240/home/100196749,MREIS,1451094,N,Y,44.0931596,-70.1915784
MLS Listing,,Single Family Residential,176 Second St,Auburn,ME,04210,229900,4,2.0,Auburn,2683,4356,1934,1,86,,Active,,,http://www.redfin.com/ME/Auburn/176-2nd-St-04210/home/97706401,MREIS,1451062,N,Y,44.0845642,-70.2169201
MLS Listing,,Vacant Land,158 A Brickyard Hill Rd,Durham,ME,04222,69500,,,Durham,,174240,,2,,,Active,,,http://www.redfin.com/ME/Durham/158-Brickyard-Hill-Rd-04222/home/171529263,MREIS,1451032,N,Y,43.9897514,-70.0606626
MLS Listing,,Multi-Family (5+ Unit),199 Bartlett St,Lewiston,ME,04240,275000,13,6.0,Lewiston,4554,16117,1950,2,60,,Active,,,http://www.redfin.com/ME/Lewiston/199-Bartlett-St-04240/home/100193419,MREIS,1451030,N,Y,44.093031,-70.209071
MLS Listing,,Single Family Residential,125 King Rd,Lisbon,ME,04250,199900,4,2.0,Lisbon,2028,119790,1900,2,99,,Active,,,http://www.redfin.com/ME/Lisbon/125-King-Rd-04250/home/88433407,MREIS,1451025,N,Y,44.0583877,-70.0919571
MLS Listing,,Multi-Family (2-4 Unit),32 James St,Auburn,ME,04210,168000,4,2.0,Auburn,2273,6098,1880,3,74,,Active,,,http://www.redfin.com/ME/Auburn/32-James-St-04210/home/97707161,MREIS,1450992,N,Y,44.0991929,-70.2337081
MLS Listing,,Multi-Family (2-4 Unit),20 James St,Auburn,ME,04210,168000,4,2.0,Auburn,2060,3484,1878,3,82,,Active,,,http://www.redfin.com/ME/Auburn/20-James-St-04210/home/97706685,MREIS,1450990,N,Y,44.0988025,-70.2335426
MLS Listing,,Vacant Land,A Lakeshore Dr,Leeds,ME,04236,79000,,,Leeds,,1508482,,4,,,Active,,,http://www.redfin.com/ME/Leeds/A-Lakeshore-Dr-04263/home/171497134,MREIS,1450886,N,Y,44.33301,-70.1147362
