SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,79 Madawaska Rd,Caribou,ME,04736,119900,1,1.0,Caribou,988,43560,1984,1,121,,Active,,,http://www.redfin.com/ME/Caribou/79-Madawaska-Rd-04736/home/97647109,MREIS,1451209,N,Y,46.898824,-67.950368
MLS Listing,,Vacant Land,off RT 2,Silver Ridge Twp,ME,04776,25000,,,Silver Ridge Twp,,609840,,1,,,Active,,,http://www.redfin.com/ME/Sherman/2-Silver-Ridge-Rd-04776/home/100072215,MREIS,1451202,N,Y,45.8700384,-68.3298665
MLS Listing,,Single Family Residential,44 Church St,Presque Isle,ME,04769,75000,2,1.5,Presque Isle,1332,6534,1949,1,56,,Active,,,http://www.redfin.com/ME/Presque-Isle/44-Church-St-04769/home/100125054,MREIS,1451147,N,Y,46.6821455,-68.0112992
MLS Listing,,Single Family Residential,1049 Caribou Rd,Fort Kent,ME,04743,120000,4,2.0,Fort Kent,1231,78408,1896,1,97,,Active,,,http://www.redfin.com/ME/Fort-Kent/1049-Caribou-Rd-04743/home/66714773,MREIS,1451055,N,Y,47.2022078,-68.5360424
MLS Listing,,Single Family Residential,988 Presque Isle Rd,Caribou,ME,04736,233736,4,2.5,Caribou,3517,178595,1970,3,66,,Active,,,http://www.redfin.com/ME/Caribou/988-Presque-Isle-Rd-04736/home/97646180,MREIS,1450999,N,Y,46.805961,-67.992407
MLS Listing,,Single Family Residential,37 Pondview St,Limestone,ME,04750,149900,4,1.5,Limestone,2659,169012,1947,3,56,,Active,,,http://www.redfin.com/ME/Limestone/37-Pondview-St-04750/home/85699178,MREIS,1450996,N,Y,46.91484,-67.822718
MLS Listing,,Single Family Residential,15 Veronica St,Caribou,ME,04736,14900,2,1.0,Caribou,600,6098,1940,4,25,,Active,,,http://www.redfin.com/ME/Caribou/15-Veronica-St-04736/home/97650034,MREIS,1450962,N,Y,46.862673,-68.0032607
MLS Listing,,Single Family Residential,522 W Rd,Portage Lake,ME,04768,199000,2,1.5,Portage Lake,1392,54450,1960,4,143,,Active,,,http://www.redfin.com/ME/Portage-Lake/522-W-Rd-04768/home/85714205,MREIS,1450951,N,Y,46.7701391,-68.5159543
MLS Listing,,Single Family Residential,137 22nd Ave,Madawaska,ME,04756,79000,3,2.0,Madawaska,1636,9147,1964,4,48,,Active,,,http://www.redfin.com/ME/Madawaska/137-22nd-Ave-04756/home/100126415,MREIS,1450906,N,Y,47.3530102,-68.3427865
MLS Listing,,Single Family Residential,23 Hayward St,Portage Lake,ME,04768,129900,2,1.0,Portage Lake,784,30927,,4,166,,Active,,,http://www.redfin.com/ME/Portage-Lake/23-Hayward-St-04768/home/85714362,MREIS,1450891,N,Y,46.7722144,-68.4871465
MLS Listing,,Single Family Residential,42 US Rt 1,Frenchville,ME,04745,124900,3,2.0,Frenchville,2226,21344,1965,4,56,,Active,,,http://www.redfin.com/ME/Frenchville/42-US-1-04745/home/106772389,MREIS,1450841,N,Y,47.3497531,-68.3674611
MLS Listing,,Vacant Land,M8 L2 Packard Rd,Bridgewater,ME,04735,35000,,,Bridgewater,,3920400,,5,,,Active,,,http://www.redfin.com/ME/Bridgewater/M8-L2-Packard-Rd-04735/home/171477216,MREIS,1450726,N,Y,46.4407647,-67.8760577
MLS Listing,,Single Family Residential,61 Park St,Houlton,ME,04730,80000,2,1.0,Houlton,692,11325,1949,5,116,,Active,,,http://www.redfin.com/ME/Houlton/61-Park-St-04730/home/100230922,MREIS,1450724,N,Y,46.1210881,-67.8308803
MLS Listing,,Single Family Residential,272 Springer Rd,Weston,ME,04424,145000,4,1.5,Weston,1950,566280,1982,5,74,,Active,,,http://www.redfin.com/ME/Weston/272-Springer-Rd-04424/home/66705515,MREIS,1450721,N,Y,45.6857101,-67.8671886
MLS Listing,,Single Family Residential,12 Lombard Rd,Caribou,ME,04736,350000,3,3.0,Caribou,2524,2265120,1978,5,139,,Active,,,http://www.redfin.com/ME/Caribou/12-Lombard-Rd-04736/home/97646513,MREIS,1450716,N,Y,46.85122,-68.046969
MLS Listing,,Single Family Residential,128 Fraser Ave,Madawaska,ME,04756,57000,3,1.0,Madawaska,2400,5227,1937,5,24,,Active,,,http://www.redfin.com/ME/Madawaska/128-Fraser-Ave-04756/home/100126876,MREIS,1450686,N,Y,47.354847,-68.3322443
MLS Listing,,Vacant Land,423 Main St,Madawaska,ME,04756,10000,,,Madawaska,,,,5,,,Active,,,http://www.redfin.com/ME/Madawaska/423-Main-St-04756/home/100128479,MREIS,1450678,N,Y,47.354959,-68.321883
MLS Listing,,Vacant Land,197 McBurnie Rd,Presque Isle,ME,04769,20000,,,Presque Isle,,98881,,5,,,Active,,,http://www.redfin.com/ME/Presque-Isle/197-McBurnie-Rd-04769/home/102157487,MREIS,1450666,N,Y,46.755075,-68.022788
MLS Listing,,Single Family Residential,16 Silver St,Mars Hill,ME,04758,11900,3,1.0,Mars Hill,1800,9147,1969,6,7,,Active,,,http://www.redfin.com/ME/Mars-Hill/16-Silver-St-04758/home/104654312,MREIS,1450610,N,Y,46.518487,-67.868574
MLS Listing,,Single Family Residential,78 Highland Ave,Fort Kent,ME,04743,75000,1,1.0,Fort Kent,760,6969,1930,6,99,,Active,,,http://www.redfin.com/ME/Fort-Kent/78-Highland-Ave-04743/home/85722727,MREIS,1450600,N,Y,47.2550468,-68.5810688
