SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,482 Shore Rd #7,Truro,MA,02666,499000,1,1.5,Truro,709,,2008,34,704,385,Active,,,http://www.redfin.com/MA/Truro/482-Shore-Rd-02666/unit-7/home/77415666,MLS PIN,72639828,N,Y,42.0546639,-70.1303935
MLS Listing,,Single Family Residential,73 Lillian Dr,Barnstable,MA,02601,485000,3,2.0,Barnstable,1879,11761,1965,55,258,,Active,,,http://www.redfin.com/MA/Hyannis/73-Lillian-Rd-02601/home/77345277,MLS PIN,72631867,N,Y,41.6499105,-70.3207942
MLS Listing,,Single Family Residential,112 Susan Ln,Brewster,MA,02631,599000,3,2.0,Brewster,1820,18419,1972,66,329,,Active,,,http://www.redfin.com/MA/Brewster/112-Susan-Ln-02631/home/77464481,MLS PIN,72625966,N,Y,41.7516489,-70.0936927
MLS Listing,,Single Family Residential,56 Bay Ridge Dr,Dennis,MA,02660,420000,3,2.0,South Dennis,1572,7841,1974,1,267,,Active,,,http://www.redfin.com/MA/Dennis/56-Bay-Ridge-DR-02660/home/170394367,MLS PIN,72651531,N,Y,41.7212425,-70.1515342
MLS Listing,,Vacant Land,7 Lauras Way,Truro,MA,02666,325000,,,Truro,,33977,,1,,,Active,,,http://www.redfin.com/MA/Truro/7-Laura-s-Way-02666/home/120454370,CCIMLS,22002546,N,Y,42.0287444,-70.0799545
MLS Listing,,Single Family Residential,15 Honeysuckle Way,Yarmouth,MA,02673,265000,3,1.0,Yarmouth,816,11326,1970,1,325,,Active,,,http://www.redfin.com/MA/West-Yarmouth/15-Honeysuckle-Way-02673/home/135827869,MLS PIN,72651497,N,Y,41.6541991,-70.2278688
MLS Listing,,Single Family Residential,88 Beach Plum Ln,Brewster,MA,02631,549900,3,2.0,Brewster,1911,20473,1986,1,288,,Active,,,http://www.redfin.com/MA/Brewster/88-Beach-Plum-Ln-02631/home/131127762,CCIMLS,22002540,N,Y,41.7473028,-70.0465226
MLS Listing,,Single Family Residential,47 Gunning Point Ave,Falmouth,MA,02540,2900000,4,3.5,Falmouth,3115,27878,1985,1,931,,Active,,,http://www.redfin.com/MA/Falmouth/47-Gunning-Point-Rd-02540/home/77342561,CCIMLS,22002544,N,Y,41.564746,-70.6533033
MLS Listing,,Single Family Residential,3310 Main St,Barnstable,MA,02630,649900,5,2.5,Barnstable (Village),2538,10019,1825,1,256,,Active,,,http://www.redfin.com/MA/Barnstable/3310-Main-St-02630/home/77472817,MLS PIN,72651368,N,Y,41.7006266,-70.3003805
MLS Listing,,Single Family Residential,10 Holiday Ln,Dennis,MA,02639,350000,3,1.0,Dennis Port,1040,4792,1965,1,337,,Active,,,http://www.redfin.com/MA/Dennis-Port/10-Holiday-Ln-02639/home/131743955,CCIMLS,22002543,N,Y,41.6602763,-70.1388593
MLS Listing,,Single Family Residential,10 Holiday,Dennis,MA,02639,350000,3,1.0,Dennisport,1040,4791,1965,1,337,,Active,,,http://www.redfin.com/MA/Dennis-Port/10-Holiday-02639/home/171536884,MLS PIN,72651320,N,Y,41.6615941,-70.1396268
MLS Listing,,Multi-Family (2-4 Unit),31 Pondview Dr,Falmouth,MA,02536,639000,3,3.5,Falmouth,1791,20300,2005,1,357,,Active,,,http://www.redfin.com/MA/East-Falmouth/31-Pondview-Dr-02536/home/132382332,MLS PIN,72651314,N,Y,41.6232991,-70.5806187
