SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6 McGuinness Ct,Gilford,NH,03249,360000,4,2.5,Gilford,2352,44431,1998,1,153,,Active,,,http://www.redfin.com/NH/Gilford/6-McGuinness-Ct-03249/home/108649741,NEREN,4803722,N,Y,43.5389426,-71.4559624
MLS Listing,,Vacant Land,00 Route 140,Gilmanton,NH,03237,275000,,,Gilmanton,,3645972,,1,,,Active,,,http://www.redfin.com/NH/Gilmanton/Unknown-03237/home/171537230,NEREN,4803685,N,Y,43.429019276938874,-71.38763227767946
MLS Listing,,Single Family Residential,9 Emerson Dr,Barnstead,NH,03225,199500,3,1.0,Barnstead,1188,18295,1975,1,168,,Active,,,http://www.redfin.com/NH/Center-Barnstead/9-Emerson-Dr-03225/home/109733033,NEREN,4803670,N,Y,43.3863136,-71.2460525
MLS Listing,,Single Family Residential,4 Tanglewood Ln,Laconia,NH,03246,260000,2,2.0,Laconia,1168,,1987,1,223,315,Active,,,http://www.redfin.com/NH/Laconia/4-Tanglewood-Ln-03246/home/88115594,NEREN,4803664,N,Y,43.5419654,-71.4941824
MLS Listing,,Townhouse,45 Birdie Way Unit B,Laconia,NH,03246,319900,2,1.75,Laconia,1379,,1985,1,232,472,Active,,,http://www.redfin.com/NH/Laconia/45-Birdie-Way-03246/unit-B/home/103711908,NEREN,4803601,N,Y,43.570106,-71.47468
MLS Listing,,Single Family Residential,148 E Main St,Tilton,NH,03276,179900,3,1.0,Tilton,1913,45738,1880,1,94,,Active,,,http://www.redfin.com/NH/Tilton/148-E-Main-St-03276/home/88159488,NEREN,4803575,N,Y,43.4459626,-71.5805321
MLS Listing,,Single Family Residential,213 Country Club Rd,Laconia,NH,03246,269900,3,1.75,Laconia,1768,60983,1970,2,153,,Active,,,http://www.redfin.com/NH/Laconia/213-Country-Club-Rd-03246/home/96498392,NEREN,4803503,N,Y,43.5173164,-71.444638
MLS Listing,,Vacant Land,50 Airport Rd,Gilford,NH,03249,349000,,,Gilford,,64904,,2,,,Active,,,http://www.redfin.com/NH/Gilford/50-Airport-Rd-03249/home/171527570,NEREN,4803491,N,Y,43.5704261,-71.4211364
MLS Listing,,Single Family Residential,3 Beattie Rd,Meredith,NH,03253,449900,4,3.5,Meredith,2284,228254,1998,3,197,,Active,,,http://www.redfin.com/NH/Meredith/3-Beattie-Rd-03253/home/63525107,NEREN,4803454,N,Y,43.678794,-71.4745879
MLS Listing,,Condo/Co-op,3 Rocky Point Ln,Meredith,NH,03253,640000,4,3.25,Meredith,2410,,1990,3,266,1058,Active,,,http://www.redfin.com/NH/Meredith/3-Rocky-Point-Ln-03253/home/108467858,NEREN,4803453,N,Y,43.6375229,-71.4874469
MLS Listing,,Vacant Land,Lake Country Rd Unit S10 / 1 / B,Meredith,NH,03253,105000,,,Meredith,,154202,,4,,,Active,,,http://www.redfin.com/NH/Meredith/Lake-Country-Rd-03253/unit-S10-1-B/home/171501634,NEREN,4803392,N,Y,43.6514117500172,-71.4586262169189
MLS Listing,,Single Family Residential,73 Wentworth Cv,Laconia,NH,03246,1225000,4,1.5,Laconia,1535,11761,1930,4,798,,Active,,,http://www.redfin.com/NH/Laconia/73-Wentworth-Cove-Rd-03246/home/103711346,NEREN,4803322,N,Y,43.6034004,-71.4334099
MLS Listing,,Single Family Residential,369-2 Philbrook Rd,Sanbornton,NH,03269,139900,3,1.75,Sanbornton,1836,39204,1970,4,76,,Active,,,http://www.redfin.com/NH/Sanbornton/369B-Philbrook-Rd-03269/unit-B/home/103016229,NEREN,4803313,N,Y,43.5017385,-71.5242394
MLS Listing,,Single Family Residential,97 & 99 Pinnacle Park Rd,Meredith,NH,03253,5995000,8,8.5,Meredith,14000,287365,1987,4,428,,Active,,,http://www.redfin.com/NH/Meredith/99-Pinnacle-Park-Rd-03253/home/88186055,NEREN,4803296,N,Y,43.6421688,-71.4733893
MLS Listing,,Multi-Family (2-4 Unit),32 Joliet St,Laconia,NH,03246,227750,,,Laconia,2002,7840,1900,4,114,,Active,,,http://www.redfin.com/NH/Laconia/32-Joliet-St-03246/home/85968083,NEREN,4803295,N,Y,43.5225137,-71.4647098
MLS Listing,,Single Family Residential,126 Clinton St,Laconia,NH,03246,265000,5,1.5,Laconia,1782,426888,1850,4,149,,Active,,,http://www.redfin.com/NH/Laconia/126-Clinton-St-03246/home/88113970,NEREN,4803293,N,Y,43.5464111,-71.4564415
MLS Listing,,Single Family Residential,3 Indian Trail Rd,Meredith,NH,03253,849900,2,1.0,Meredith,2288,32670,1982,4,371,,Active,,,http://www.redfin.com/NH/Meredith/3-Indian-Trl-03253/home/108634717,NEREN,4803287,N,Y,43.6587778,-71.5344364
MLS Listing,,Single Family Residential,29 Garden Hill Rd,Gilford,NH,03249,748000,4,4.25,Gilford,4755,105415,2014,4,157,,Active,,,http://www.redfin.com/NH/Gilford/29-Garden-Hill-Dr-03249/home/109781522,NEREN,4803264,N,Y,43.511149,-71.4373587
MLS Listing,,Mobile/Manufactured Home,312 Heron Point Rd,Alton,NH,03809,12200,2,1.0,Alton,710,,1965,4,17,289,Active,,,http://www.redfin.com/NH/Alton/312-Heron-Point-Rd-03809/home/108665475,NEREN,4803252,N,Y,43.4366206,-71.1921537
MLS Listing,,Vacant Land,10 Sweetbrier Way #10,Laconia,NH,03246,200000,,,Laconia,,10890,,4,,,Active,,,http://www.redfin.com/NH/Laconia/10-Sweetbrier-Way-03246/unit-10/home/101722209,NEREN,4803238,N,Y,43.5741534,-71.4752949
MLS Listing,,Single Family Residential,81 Sanborn Rd,Gilford,NH,03249,359900,4,1.75,Gilford,2012,47916,1984,5,179,,Active,,,http://www.redfin.com/NH/Gilford/81-Sanborn-Rd-03249/home/96550955,NEREN,4803081,N,Y,43.5939517,-71.4191782
