SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,78 Farm Rd,Peru,VT,05152,179500,2,1.0,Peru,775,,1973,1,232,300,Active,,,http://www.redfin.com/VT/Peru/78-Farm-Rd-05152/home/91320240,NEREN,4803699,N,Y,43.2148164,-72.9427116
MLS Listing,,Condo/Co-op,B13 Maple Ridge Rd,Winhall,VT,05340,359000,4,3.75,Winhall,2317,,1988,3,155,1062,Active,,,http://www.redfin.com/VT/Winhall/Maple-Ridge-Rd-05155/home/91409998,NEREN,4803419,N,Y,43.12108142535353,-72.8863384349823
MLS Listing,,Multi-Family (2-4 Unit),275 Union St,Bennington,VT,05201,135900,3,3.0,Bennington,1656,4356,1880,4,82,,Active,,,http://www.redfin.com/VT/Bennington/275-Union-St-05201/home/91190980,NEREN,4803370,N,Y,42.8777442,-73.1884651
MLS Listing,,Single Family Residential,322 Weeks St,Bennington,VT,05201,159900,3,1.75,Bennington,1758,13068,1965,4,91,,Active,,,http://www.redfin.com/VT/Bennington/322-Weeks-St-05201/home/91191522,NEREN,4803358,N,Y,42.8745749,-73.1983395
MLS Listing,,Single Family Residential,110 Monument Ave,Bennington,VT,05201,420000,4,2.5,Bennington,3366,77101,1980,4,125,,Active,,,http://www.redfin.com/VT/Bennington/110-Monument-Ave-05201/home/64743473,NEREN,4803328,N,Y,42.8798263,-73.2120731
MLS Listing,,Single Family Residential,51 Branch Hill Rd,Readsboro,VT,05350,24900,3,1.0,Readsboro,1127,4356,1850,4,22,,Active,,,http://www.redfin.com/VT/Readsboro/51-Branch-Hill-Rd-05350/home/91316639,NEREN,4803193,N,Y,42.772972,-72.951813
MLS Listing,,Single Family Residential,410 Park St,Bennington,VT,05201,169900,3,1.5,Bennington,1582,19602,1930,4,107,,Active,,,http://www.redfin.com/VT/Bennington/410-Park-St-05201/home/91192691,NEREN,4803191,N,Y,42.8912676,-73.1930164
MLS Listing,,Townhouse,52 Equinox on the Battenkill St Unit A-7,Manchester,VT,05255,349000,4,3.0,Manchester,2646,,1986,5,132,800,Active,,,http://www.redfin.com/VT/Manchester-Center/52-Equinox-on-the-Battenkill-05255/unit-A-7/home/95109483,NEREN,4803054,N,Y,43.1625246,-73.0563848
MLS Listing,,Single Family Residential,206 Foster Dr,Bennington,VT,05201,219900,3,1.0,Bennington,1612,41817,1979,6,136,,Active,,,http://www.redfin.com/VT/Bennington/206-Foster-Dr-05201/home/91193418,NEREN,4802926,N,Y,42.864449,-73.17791
MLS Listing,,Single Family Residential,931 Oberdorf Rd,Stamford,VT,05352,189900,2,1.0,Stamford,,47916,2014,6,,,Active,,,http://www.redfin.com/VT/Stamford/931-Oberdorf-RD-05352/home/167426899,NEREN,4802901,N,Y,42.772394507016486,-73.06558583068848
MLS Listing,,Single Family Residential,2999 W Dorset Rd,Dorset,VT,05251,335000,3,1.0,Dorset,1145,207781,1970,6,293,,Active,,,http://www.redfin.com/VT/Dorset/2999-W-Dorset-Rd-05251/home/171446249,NEREN,4802894,N,Y,43.2516829,-73.110441
MLS Listing,,Single Family Residential,284 Dorset Hollow Rd,Dorset,VT,05251,447500,3,2.0,Dorset,1528,47916,2015,6,293,,Active,,,http://www.redfin.com/VT/Dorset/284-Dorset-Hollow-Rd-05251/home/95123752,NEREN,4802875,N,Y,43.256184,-73.093193
MLS Listing,,Single Family Residential,3 Bromley Forest Rd,Winhall,VT,05340,295000,3,3.0,Winhall,2052,11761,1974,8,144,,Active,,,http://www.redfin.com/VT/Winhall/3-Bromley-Forest-Rd-05340/home/91410302,NEREN,4802585,N,Y,43.2070865,-72.9853446
MLS Listing,,Vacant Land,260 VT Rte 8 Rte,Searsburg,VT,05363,97500,,,Searsburg,,2918520,,11,,,Active,,,http://www.redfin.com/VT/Searsburg/260-VT-Route-8-RTE-05363/home/164569793,NEREN,4802369,N,Y,42.87865224181255,-72.97042310185239
MLS Listing,,Single Family Residential,1154 Murphy Rd,Bennington,VT,05201,178500,3,1.0,Bennington,960,136342,1970,11,186,,Active,,,http://www.redfin.com/VT/Bennington/1154-Murphy-RD-05201/home/171413741,NEREN,4802306,N,Y,42.9093815955697,-73.25196486375428
MLS Listing,,Single Family Residential,164 Route 11/30 Rte,Winhall,VT,05340,333000,3,3.0,Winhall,2800,300564,1945,13,119,,Active,,,http://www.redfin.com/VT/Winhall/164-Route-11-30-Rte-05340/home/113700697,NEREN,4802040,N,Y,43.194070846797,-72.992274284362
MLS Listing,,Single Family Residential,13 Roundtree Rd,Winhall,VT,05340,545000,4,2.5,Winhall,3022,62290,1976,14,180,110,Active,,,http://www.redfin.com/VT/Winhall/13-Roundtree-Rd-05340/home/91409838,NEREN,4801980,N,Y,43.1170701,-72.9138627
