SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,227 Thames St #2,Bristol,RI,02809,299900,1,1.0,Downtown,660,,1964,1,454,344,Active,,,http://www.redfin.com/RI/Bristol/227-Thames-St-02809/unit-2/home/52250034,RIS,1252885,N,Y,41.6695502,-71.2778919
MLS Listing,,Single Family Residential,30 Belvedere Ave,Barrington,RI,02806,409000,4,2.0,Hampden Meadows,1538,14954,1950,1,266,,Active,,,http://www.redfin.com/RI/Barrington/30-Belvedere-Ave-02806/home/65924423,RIS,1252833,N,Y,41.7547992,-71.2907138
MLS Listing,,Single Family Residential,16 Highview Dr,Bristol,RI,02809,525000,4,3.0,HIGHVIEW ESTATES,2705,16679,1989,1,194,,Active,,,http://www.redfin.com/RI/Bristol/16-Highview-Dr-02809/home/65925558,RIS,1252663,N,Y,41.6824711,-71.2643359
MLS Listing,,Single Family Residential,18 Wheeler Ave,Bristol,RI,02809,399000,4,2.5,Bristol,2263,13639,1970,3,176,,Active,,,http://www.redfin.com/RI/Bristol/18-Wheeler-Ave-02809/home/52221276,RIS,1252680,N,Y,41.6687872,-71.2632686
MLS Listing,,Single Family Residential,21 Fessenden Rd,Barrington,RI,02806,1595000,5,3.0,NAYATT/BEACH,3187,24598,1939,3,500,,Active,,,http://www.redfin.com/RI/Barrington/21-Fessenden-Rd-02806/home/65924972,RIS,1252526,N,Y,41.721087,-71.306248
MLS Listing,,Single Family Residential,134 Promenade St,Barrington,RI,02806,289900,2,1.0,Barrington,1329,8100,1947,4,218,,Active,,,http://www.redfin.com/RI/Barrington/134-Promenade-St-02806/home/52230561,RIS,1252695,N,Y,41.7568569,-71.344711
MLS Listing,,Single Family Residential,0 Belton Cir,Barrington,RI,02806,689500,4,2.5,Primrose Hill,2850,12060,2020,4,242,,Active,,,http://www.redfin.com/RI/Barrington/Belton-Cir-02806/home/171490552,RIS,1252434,N,Y,41.758832,-71.328392
MLS Listing,,Single Family Residential,49 Riverside Dr,Barrington,RI,02806,579000,3,2.0,Barrington,2082,10202,1980,4,278,,Active,,,http://www.redfin.com/RI/Barrington/49-Riverside-Dr-02806/home/52222755,RIS,1252676,N,Y,41.740219,-71.304524
MLS Listing,,Single Family Residential,12 Allen Ave,Barrington,RI,02806,309900,2,1.0,Barrington,666,5001,1920,5,465,,Active,,,http://www.redfin.com/RI/Barrington/12-Allen-Ave-02806/home/52211945,MLS PIN,72649522,N,Y,41.750113,-71.349929
MLS Listing,,Single Family Residential,467 Sowams Rd,Barrington,RI,02806,687100,4,2.0,Hampden Meadows & Sowams,2274,53143,2020,5,302,,Active,,,http://www.redfin.com/RI/Barrington/467-Sowams-Rd-02806/home/171474049,RIS,1252349,N,Y,41.764603,-71.293822
MLS Listing,,Single Family Residential,128 Adams Point Rd,Barrington,RI,02806,2495000,6,4.0,Adams Point,4187,56401,1903,6,596,,Active,,,http://www.redfin.com/RI/Barrington/128-Adams-Point-Rd-02806/home/52229420,RIS,1251237,N,Y,41.719522,-71.292811
MLS Listing,,Single Family Residential,1 Third St,Barrington,RI,02806,399900,3,2.0,Alfred Drowne,2080,8223,1967,6,192,,Active,,,http://www.redfin.com/RI/Barrington/1-3rd-St-02806/home/65922030,RIS,1252489,N,Y,41.742893,-71.3410794
MLS Listing,,Multi-Family (2-4 Unit),563 Child St,Warren,RI,02885,250000,4,2.0,Warren,1365,21937,1900,6,183,,Active,,,http://www.redfin.com/RI/Warren/563-Child-St-02885/home/65919381,MLS PIN,72649002,N,Y,41.731786,-71.254974
MLS Listing,,Single Family Residential,24 Goulart Ave,Bristol,RI,02809,339900,3,1.5,Bristol,2010,1025,1999,6,169,,Active,,,http://www.redfin.com/RI/Bristol/24-Goulart-Ave-02809/home/65927814,MLS PIN,72648973,N,Y,41.6724782,-71.2633498
MLS Listing,,Single Family Residential,157 Narragansett Ave,Barrington,RI,02806,309900,3,2.0,Bay Spring,1506,5000,1920,7,206,,Active,,,http://www.redfin.com/RI/Barrington/157-Narragansett-Ave-02806/home/52224527,RIS,1252444,N,Y,41.7489255,-71.3498246
MLS Listing,,Single Family Residential,2 Clover Ln,Barrington,RI,02806,495900,5,3.0,Primrose,3298,24582,1952,7,150,,Active,,,http://www.redfin.com/RI/Barrington/2-Clover-Ln-02806/home/52216125,RIS,1252480,N,Y,41.7613569,-71.330775
MLS Listing,,Single Family Residential,8 Meadow Cir,Barrington,RI,02806,645900,4,2.5,Hampden Meadow,3532,11531,1988,7,183,,Active,,,http://www.redfin.com/RI/Barrington/8-Meadow-Cir-02806/home/65923850,MLS PIN,72648647,N,Y,41.75582,-71.31259
MLS Listing,,Single Family Residential,11 Plymouth Dr,Barrington,RI,02806,479000,4,2.0,Barrington,1656,12502,1954,8,289,,Active,,,http://www.redfin.com/RI/Barrington/11-Plymouth-Dr-02806/home/65924357,RIS,1252405,N,Y,41.7485205,-71.3079063
MLS Listing,,Single Family Residential,49 Roffee St,Barrington,RI,02806,459900,3,2.5,NAYATT,2517,5502,1950,10,183,,Active,,,http://www.redfin.com/RI/Barrington/49-Roffee-St-02806/home/52222300,RIS,1252289,N,Y,41.740061,-71.3233101
MLS Listing,,Single Family Residential,37 Burton St,Bristol,RI,02809,374000,2,1.0,DOWNTOWN BRISTOL,1240,4055,1858,10,302,,Active,,,http://www.redfin.com/RI/Bristol/37-Burton-St-02809/home/65929986,RIS,1251539,N,Y,41.6644171,-71.271946
MLS Listing,,Single Family Residential,6 Greenville Dr,Barrington,RI,02806,345000,4,1.0,Primrose,1281,10001,1951,12,269,,Active,,,http://www.redfin.com/RI/Barrington/6-Greenville-Dr-02806/home/65922443,RIS,1252148,N,Y,41.7650955,-71.3303159
MLS Listing,,Single Family Residential,15 Loring Rd,Bristol,RI,02809,459900,3,2.0,Bristol,2792,11585,1975,12,165,,Active,,,http://www.redfin.com/RI/Bristol/15-Loring-Rd-02809/home/65929564,RIS,1252162,N,Y,41.6900585,-71.290497
MLS Listing,,Single Family Residential,12 Paull St,Bristol,RI,02809,355000,3,1.0,WESTSIDE / COLT STATE PARK,1040,10202,1973,14,341,,Active,,,http://www.redfin.com/RI/Bristol/12-Paull-St-02809/home/52224795,RIS,1247958,N,Y,41.6822772,-71.2765862
MLS Listing,,Condo/Co-op,423 Hope St Unit P Penthouse,Bristol,RI,02809,1050000,2,2.5,Downtown Bristol,2063,,2008,14,509,724,Active,,,http://www.redfin.com/RI/Bristol/423-Hope-St-02809/unit-P-Penthouse/home/171386933,RIS,1251982,N,Y,41.6696908,-71.2766326
