SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,96 Eastern Ave,Lyndon,VT,05851,399000,4,3.0,Lyndon,4560,29620,2016,1,88,,Active,,,http://www.redfin.com/VT/Lyndonville/96-Eastern-Ave-05851/home/95117470,NEREN,4803744,N,Y,44.5289929,-71.9982324
MLS Listing,,Single Family Residential,2775 Oneida Rd,Danville,VT,05828,330000,2,2.0,Danville,1850,444311,2001,1,178,,Active,,,http://www.redfin.com/VT/Danville/2775-Oneida-Rd-05828/home/91356001,NEREN,4803651,N,Y,44.399111,-72.1851069
MLS Listing,,Single Family Residential,92 Cliff St,St. Johnsbury,VT,05819,129500,3,1.5,St. Johnsbury,1464,8712,1949,1,88,,Active,,,http://www.redfin.com/VT/St-Johnsbury/92-Cliff-St-05819/home/95116093,NEREN,4803594,N,Y,44.4205264,-72.0246974
MLS Listing,,Single Family Residential,296 Creamery Rd,Ryegate,VT,05046,245000,3,2.5,Ryegate,3347,335412,2005,1,73,,Active,,,http://www.redfin.com/VT/Ryegate/296-Creamery-RD-05046/home/171532130,NEREN,4803543,N,Y,44.18684607029028,-72.12078494973755
MLS Listing,,Vacant Land,369 Morses Mill Rd,Danville,VT,05828,20000,,,Danville,,392040,,1,,,Active,,,http://www.redfin.com/VT/Danville/369-Morses-Mill-RD-05828/home/171531759,NEREN,4803528,N,Y,44.38456761314904,-72.08789017829899
MLS Listing,,Single Family Residential,57 Point Comfort Dr,Danville,VT,05873-4501,224990,2,1.0,Danville,1175,,1970,2,191,,Active,,,http://www.redfin.com/VT/Danville/57-Point-Comfort-Rd-05873/home/171527829,NEREN,4803495,N,Y,44.4080033355889,-72.20307064418031
MLS Listing,,Single Family Residential,150 Stannard Mountain Rd Unit 2006-11,Walden,VT,05842,55000,3,1.0,Walden,980,59677,1993,3,56,,Active,,,http://www.redfin.com/VT/Greensboro-Bend/150-Stannard-Mountain-Rd-05842/unit-2006-11/home/171518191,NEREN,4803439,N,Y,44.5393914,-72.261475
MLS Listing,,Vacant Land,00 VT Route 114 Hwy Lot 1,Burke,VT,05832,199000,,,Burke,,220849,,4,,,Active,,,http://www.redfin.com/VT/East-Burke/1-VT-114-05832/unit-1/home/108290935,NEREN,4803324,N,Y,44.5825201,-71.9487096
MLS Listing,,Single Family Residential,3300 W US Route 2 Rte,Danville,VT,05873,249000,3,1.0,Danville,1304,4356,1910,4,191,,Active,,,http://www.redfin.com/VT/DANVILLE/3300-ROUTE-2-W-05828/home/91356196,NEREN,4803261,N,Y,44.406846,-72.20528
MLS Listing,,Single Family Residential,253 Airport Rd,Lyndon,VT,05851,229000,3,1.75,Lyndon,1804,217800,1926,4,127,,Active,,,http://www.redfin.com/VT/Lyndonville/253-Airport-Rd-05851/home/95117238,NEREN,4803231,N,Y,44.573307,-72.0198209
MLS Listing,,Single Family Residential,80 Birch Tree Ln,Waterford,VT,05819,589000,3,3.25,Waterford,3074,69696,1995,4,192,,Active,,,http://www.redfin.com/VT/Waterford/80-Birch-Tree-Ln-05819/home/91383868,NEREN,4803212,N,Y,44.341961,-71.9761429
MLS Listing,,Vacant Land,82 Ruff Hill Rd,Groton,VT,05739,167000,,,Groton,,7274520,,4,,,Active,,,http://www.redfin.com/VT/Danby/82-Ruff-Hill-RD-05739/home/171490093,NEREN,4803188,N,Y,44.21539897800292,-72.22195905575566
MLS Listing,,Vacant Land,939 U.S. 5 Rte,Sutton,VT,05867,398000,,,Sutton,,4133844,,4,,,Active,,,http://www.redfin.com/VT/Sutton/939-U-S-5-RTE-05867/home/171488893,NEREN,4803164,N,Y,44.648873190329496,-72.0097669907684
