SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,20 Gates Rd #21,Marlborough,NH,03455,159900,3,1.5,Marlborough,1450,,1989,1,110,300,Active,,,http://www.redfin.com/NH/Marlborough/20-Gates-Rd-03455/unit-21/home/87990964,NEREN,4803720,N,Y,42.9092579,-72.1874956
MLS Listing,,Single Family Residential,138 Alstead Hill Rd,Gilsum,NH,03448,319900,4,2.0,Gilsum,1827,261360,1963,1,175,,Active,,,http://www.redfin.com/NH/Gilsum/138-Alstead-Hill-Rd-03448/home/88237727,NEREN,4803718,N,Y,43.0678966,-72.2710084
MLS Listing,,Single Family Residential,377 NH 10 Rte,Gilsum,NH,03448,210000,3,1.0,Gilsum,1128,217800,1975,1,186,,Active,,,http://www.redfin.com/NH/Gilsum/377-NH-10-03448/home/88237301,NEREN,4803710,N,Y,43.017823,-72.2631367
MLS Listing,,Single Family Residential,162 Ashuelot Main St,Winchester,NH,03441,169900,3,1.25,Winchester,1386,11761,1880,1,123,,Active,,,http://www.redfin.com/NH/Ashuelot/162-Ashuelot-Main-St-03441/home/88300924,NEREN,4803681,N,Y,42.7840413,-72.4361936
MLS Listing,,Single Family Residential,127 Hatt Rd,Westmoreland,NH,03467,265000,2,1.75,Westmoreland,1420,174240,2015,1,187,,Active,,,http://www.redfin.com/NH/Westmoreland/127-Hatt-Rd-03467/home/88052407,NEREN,4803675,N,Y,42.9380914,-72.4388076
MLS Listing,,Single Family Residential,163 Ingalls Rd,Jaffrey,NH,03452,289000,2,1.75,Jaffrey,1300,522720,2001,1,222,,Active,,,http://www.redfin.com/NH/Jaffrey/163-Ingalls-Rd-03452/home/103039316,NEREN,4803663,N,Y,42.803043,-72.0748035
MLS Listing,,Single Family Residential,189 Branch Rd,Roxbury,NH,03431,192000,3,1.5,Roxbury,1472,46609,1945,1,130,,Active,,,http://www.redfin.com/NH/Roxbury/189-Branch-Rd-03431/home/96654501,NEREN,4803656,N,Y,42.927758,-72.239187
MLS Listing,,Single Family Residential,88 Monadnock St,Troy,NH,03465,143500,3,1.0,Troy,1092,6098,1880,1,131,,Active,,,http://www.redfin.com/NH/Troy/88-Monadnock-St-03465/home/96565852,NEREN,4803626,N,Y,42.8280575,-72.1750948
MLS Listing,,Single Family Residential,21 Woodard Ave,Winchester,NH,03470,199000,3,1.75,Winchester,2393,21780,1955,1,83,,Active,,,http://www.redfin.com/NH/Winchester/21-Woodard-Ave-03470/home/88300232,NEREN,4803549,N,Y,42.7735064,-72.3971766
MLS Listing,,Condo/Co-op,37 Church St #7,Keene,NH,03431,289000,2,2.0,Keene,1292,,1897,3,224,319,Active,,,http://www.redfin.com/NH/Keene/37-Church-St-03431/unit-7/home/96455862,NEREN,4803474,N,Y,42.9330471,-72.2769737
