SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,406 S Winooski Ave,Burlington,VT,05401,566000,4,1.75,Burlington,1816,8276,1923,1,312,,Active,,,http://www.redfin.com/VT/Burlington/406-S-Winooski-Ave-05401/home/91183984,NEREN,4803753,N,Y,44.4683719,-73.2096925
MLS Listing,,Single Family Residential,1810 Colchester Point Rd #353,Colchester,VT,05446,212000,2,1.0,Colchester,868,,1954,1,244,,Active,,,http://www.redfin.com/VT/Colchester/1810-Colchester-Point-Rd-05446/unit-353/home/171536704,NEREN,4803676,N,Y,44.5506745,-73.3001509
MLS Listing,,Condo/Co-op,30 School St #2,Essex,VT,05452,159000,2,1.0,Essex,904,,1980,1,176,220,Active,,,http://www.redfin.com/VT/Essex-Junction/30-School-St-05452/unit-2/home/91327823,NEREN,4803582,N,Y,44.4912877,-73.1129827
MLS Listing,,Single Family Residential,14 Jonzetta Ct,Milton,VT,05468,275000,3,1.75,Milton,2032,25700,1960,1,135,,Active,,,http://www.redfin.com/VT/Milton/14-Jonzetta-Ct-05468/home/95143147,NEREN,4803566,N,Y,44.6548118,-73.1165852
MLS Listing,,Townhouse,161 Austin Dr #31,Burlington,VT,05401,299900,2,2.25,Burlington,1510,,1981,2,199,281,Active,,,http://www.redfin.com/VT/Burlington/161-Austin-Dr-05401/unit-31/home/91178693,NEREN,4803525,N,Y,44.4499255,-73.2225875
MLS Listing,,Single Family Residential,1206 Osgood Hill Rd,Westford,VT,05494,220000,3,2.0,Westford,1301,47916,1967,2,169,,Active,,,http://www.redfin.com/VT/Westford/1206-Osgood-Hill-Rd-05494/home/91291523,NEREN,4803498,N,Y,44.598078,-73.003514
MLS Listing,,Single Family Residential,150 Durand Rd,Richmond,VT,05477,205000,3,1.0,Richmond,1200,43560,1972,2,171,,Active,,,http://www.redfin.com/VT/Richmond/150-Durand-Rd-05477/home/91417214,NEREN,4803492,N,Y,44.359413,-72.967796
MLS Listing,,Single Family Residential,35 Vine St,Williston,VT,05452,242900,3,1.75,Williston,1792,13503,2005,2,136,,Active,,,http://www.redfin.com/VT/Williston/35-Vine-St-05495/home/81045395,NEREN,4803484,N,Y,44.423347,-73.099014
MLS Listing,,Single Family Residential,196 Brigham Hill Rd,Essex,VT,05452,319900,3,2.0,Essex,1785,287496,1985,3,179,,Active,,,http://www.redfin.com/VT/Essex-Junction/196-Brigham-Hill-Rd-05452/home/91330089,NEREN,4803421,N,Y,44.556538,-73.086348
MLS Listing,,Multi-Family (2-4 Unit),170 Raymond Rd,Colchester,VT,05446,349000,5,2.0,Colchester,2188,87120,1974,4,160,,Active,,,http://www.redfin.com/VT/Colchester/170-Raymond-Rd-05446/home/91231834,NEREN,4803368,N,Y,44.5937236,-73.1896483
MLS Listing,,Single Family Residential,234 N Williston Rd,Williston,VT,05452,589900,4,2.25,Williston,3651,65340,2017,4,162,,Active,,,http://www.redfin.com/VT/Williston/234-N-Williston-Rd-05495/home/95111442,NEREN,4803334,N,Y,44.4403079,-73.0655708
MLS Listing,,Condo/Co-op,60 Winooski Falls Way #1211,Winooski,VT,05404,399000,2,1.75,Winooski,1065,,2008,4,375,462,Active,,,http://www.redfin.com/VT/Winooski/60-Winooski-Falls-Way-05404/unit-1211/home/95095715,NEREN,4803266,N,Y,44.4900671,-73.1839095
MLS Listing,,Single Family Residential,254 Barber Farm Rd,Jericho,VT,05465,459000,5,1.5,Jericho,4200,114998,1835,4,109,,Active,,,http://www.redfin.com/VT/Jericho/254-Barber-Farm-Rd-05465/home/107961627,NEREN,4803227,N,Y,44.4581991,-73.0178266
MLS Listing,,Single Family Residential,321 Manley Rd,Milton,VT,05468,295000,3,2.0,Milton,2420,814572,1973,4,122,,Active,,,http://www.redfin.com/VT/Milton/321-Manley-Rd-05468/home/91425590,NEREN,4803217,N,Y,44.68379,-73.1249449
MLS Listing,,Townhouse,8 Timber Ln #28,South Burlington,VT,05403,184900,2,1.5,South Burlington,1130,,1968,4,164,347,Active,,,http://www.redfin.com/VT/South-Burlington/8-Timber-Ln-05403/unit-28/home/95100260,NEREN,4803202,N,Y,44.4539,-73.1675719
MLS Listing,,Vacant Land,227 S Cove Rd,Burlington,VT,05401,300000,,,Burlington,,14374,,4,,,Active,,,http://www.redfin.com/VT/Burlington/227-S-Cove-Rd-05401/home/171490078,NEREN,4803184,N,Y,44.4476082,-73.2287351
MLS Listing,,Multi-Family (2-4 Unit),206 W Canal St,Winooski,VT,05404,299000,4,2.0,Winooski,1600,16552,1940,4,187,,Active,,,http://www.redfin.com/VT/Winooski/206-W-Canal-St-05404/home/95095230,NEREN,4803162,N,Y,44.4905329,-73.194144
MLS Listing,,Single Family Residential,7 Fall St Lot 7,South Burlington,VT,05403,489900,3,2.5,South Burlington,2444,4356,2020,5,200,,Active,,,http://www.redfin.com/VT/South-Burlington/7-Fall-St-05403/unit-7/home/171475302,NEREN,4803067,N,Y,44.4415332,-73.1599304
MLS Listing,,Vacant Land,1255 E Lakeshore Dr #3,Colchester,VT,05446,185000,,,Colchester,,,,5,,,Active,,,http://www.redfin.com/VT/Colchester/1255-E-Lakeshore-Dr-05446/unit-3/home/148720616,NEREN,4803061,N,Y,44.5525329,-73.193887
MLS Listing,,Single Family Residential,171 Leeway Cir,St. George,VT,05495,359900,3,1.75,St. George,1706,20908,1969,5,211,,Active,,,http://www.redfin.com/VT/St-George/171-Leeway-Cir-05495/home/91403709,NEREN,4803050,N,Y,44.3670976,-73.124695
MLS Listing,,Vacant Land,173 Basswood Rdg,Colchester,VT,05446,275000,,,Colchester,,185130,,5,,21,Active,,,http://www.redfin.com/VT/Colchester/173-Basswood-Rdg-05446/home/108955765,NEREN,4803022,N,Y,44.56802,-73.187576
MLS Listing,,Townhouse,38 Cushing Dr,Essex,VT,05452,369500,3,2.5,Essex,2664,,2005,5,139,210,Active,,,http://www.redfin.com/VT/Essex-Junction/38-Cushing-Dr-05452/unit-38/home/91328185,NEREN,4803018,N,Y,44.486703,-73.129149
MLS Listing,,Single Family Residential,6659 Spear St,Charlotte,VT,05445,899000,3,2.25,Charlotte,3358,1367784,1998,5,268,,Active,,,http://www.redfin.com/VT/Charlotte/6659-Spear-St-05445/home/91260679,NEREN,4803014,N,Y,44.271266,-73.194146
MLS Listing,,Single Family Residential,119 Holmes Rd,South Burlington,VT,05403,1161000,4,2.5,South Burlington,2874,10890,1986,6,404,,Active,,,http://www.redfin.com/VT/South-Burlington/119-Holmes-Rd-05403/home/95099064,NEREN,4802887,N,Y,44.431948,-73.219249
MLS Listing,,Townhouse,252 Country Mdws,Colchester,VT,05446,307500,3,2.5,Colchester,2176,,1990,6,141,300,Active,,,http://www.redfin.com/VT/Colchester/252-Country-Mdws-05446/home/91224941,NEREN,4802836,N,Y,44.540385,-73.159133
MLS Listing,,Single Family Residential,44 Orchard Rd,Underhill,VT,05489,672000,4,3.25,Underhill,3241,361548,2004,7,207,,Active,,,http://www.redfin.com/VT/Underhill/44-Orchard-Rd-05489/home/95120627,NEREN,4802821,N,Y,44.5232188,-72.9166703
MLS Listing,,Single Family Residential,262 Hardscrabble Rd,Milton,VT,05468,439900,3,1.75,Milton,2496,435600,1976,7,176,,Active,,,http://www.redfin.com/VT/Milton/262-Hardscrabble-Rd-05468/home/91423636,NEREN,4802731,N,Y,44.615613,-73.083771
MLS Listing,,Single Family Residential,19 Machia Hill Rd,Westford,VT,05494,419000,3,2.75,Westford,3172,130680,1978,8,132,,Active,,,http://www.redfin.com/VT/Westford/19-Machia-Hill-Rd-05494/home/91291730,NEREN,4802628,N,Y,44.5856108,-72.9919571
MLS Listing,,Vacant Land,4221 Greenbush Rd,Charlotte,VT,05445,259000,,,Charlotte,,248292,,8,,,Active,,,http://www.redfin.com/VT/Charlotte/4221-Greenbush-Rd-05445/home/101737894,NEREN,4802624,N,Y,44.2914659,-73.2566897
MLS Listing,,Condo/Co-op,131 Main St #504,Burlington,VT,05401,265000,1,1.0,Burlington,744,,1980,8,356,610,Active,,,http://www.redfin.com/VT/Burlington/131-Main-St-05401/unit-504/home/91183359,NEREN,4802552,N,Y,44.4757534,-73.2137915
MLS Listing,,Single Family Residential,199 Rye Cir,South Burlington,VT,05403,539900,3,2.0,South Burlington,1811,11325,,10,298,,Active,,,http://www.redfin.com/VT/South-Burlington/199-Rye-Cir-05403/home/108591101,NEREN,4802430,N,Y,44.439955,-73.160592
MLS Listing,,Single Family Residential,22 Lily Ln,South Burlington,VT,05403,340000,3,1.75,South Burlington,1868,,2010,11,182,174,Active,,,http://www.redfin.com/VT/South-Burlington/22-Lily-Ln-05403/unit-22/home/95102918,NEREN,4802401,N,Y,44.4769778,-73.1713593
MLS Listing,,Single Family Residential,196 Appletree Pt,Burlington,VT,05408,629500,4,2.5,Burlington,3531,13939,2003,11,178,50,Active,,,http://www.redfin.com/VT/Burlington/196-Appletree-Point-Rd-05408/home/91179398,NEREN,4802391,N,Y,44.5054818,-73.2662831
MLS Listing,,Single Family Residential,102 Orchard Ln,Richmond,VT,05477,399000,4,2.75,Richmond,2434,21780,1972,11,164,,Active,,,http://www.redfin.com/VT/Richmond/102-Orchard-Ln-05477/home/91416793,NEREN,4802321,N,Y,44.382065,-72.946495
MLS Listing,,Townhouse,36 Overlook Dr,South Burlington,VT,05403,229900,2,1.5,South Burlington,1234,,1985,12,186,213,Active,,,http://www.redfin.com/VT/South-Burlington/36-Overlook-Dr-05403/unit-36/home/79901833,NEREN,4802248,N,Y,44.431166,-73.1972229
MLS Listing,,Townhouse,94 Keystone Dr Lot 5,Williston,VT,05495,425000,3,2.5,Williston,2367,,2014,12,180,250,Active,,,http://www.redfin.com/VT/Williston/94-Keystone-Dr-05495/unit-5/home/96627997,NEREN,4802237,N,Y,44.4459648,-73.0635766
MLS Listing,,Condo/Co-op,3 Hawthorne Cir,South Burlington,VT,05403,183000,2,1.0,South Burlington,1189,,1979,12,154,286,Active,,,http://www.redfin.com/VT/South-Burlington/3-Hawthorne-Cir-05403/unit-3/home/76519794,NEREN,4802220,N,Y,44.4616733,-73.156705
MLS Listing,,Single Family Residential,244 Anna's Ct,Colchester,VT,05446,528000,2,2.5,Colchester,2300,17859,2019,12,230,,Active,,,http://www.redfin.com/VT/Colchester/Annas-Ct-05446/home/146095200,NEREN,4802204,N,Y,44.534195365851936,-73.21251244047544
MLS Listing,,Townhouse,109 Waterlefe Way #109,Colchester,VT,05446,474900,3,2.25,Colchester,2700,,2015,12,176,250,Active,,,http://www.redfin.com/VT/Colchester/109-Waterlefe-Way-05446/unit-109/home/101796477,NEREN,4802197,N,Y,44.544387,-73.2011542
MLS Listing,,Single Family Residential,254 Eagle Mountain Harbor Rd,Milton,VT,05468,765000,2,1.75,Milton,2028,71874,1960,13,377,,Active,,,http://www.redfin.com/VT/Milton/254-Eagle-Mountain-Harbor-Rd-05468/home/96482704,NEREN,4802108,N,Y,44.6835809,-73.211322
