SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,97 Cobblestone Rd,Clarksville,NH,03592,125000,3,1.0,Clarksville,995,272685,1974,1,126,,Active,,,http://www.redfin.com/NH/Pittsburg/Hill-Rd-03592/home/88100333,NEREN,4803742,N,Y,44.99573139209516,-71.44488291534425
MLS Listing,,Single Family Residential,491 Lennon Rd,Carroll,NH,03598,154900,3,2.0,Carroll,1512,222155,2003,1,102,,Active,,,http://www.redfin.com/NH/Carroll/491-Lennon-Rd-03598/home/96598668,NEREN,4803715,N,Y,44.3201913,-71.5421329
MLS Listing,,Single Family Residential,25 Second St #117,Northumberland,NH,03582,119000,3,1.75,Northumberland,1215,8712,1900,1,98,,Active,,,http://www.redfin.com/NH/Northumberland/25-2nd-St-03582/unit-117/home/171540419,NEREN,4803713,N,Y,44.6019369,-71.5134363
MLS Listing,,Single Family Residential,9 Victoria Ln,Berlin,NH,03570,65000,3,1.75,Berlin,1232,,2017,1,53,250,Active,,,http://www.redfin.com/NH/Berlin/9-Victoria-Ln-03570/home/144922704,NEREN,4803688,N,Y,44.5077979,-71.1589065
MLS Listing,,Single Family Residential,1333 State Route 2,Shelburne,NH,03581,300000,4,2.5,Shelburne,2783,862488,1894,1,108,,Active,,,http://www.redfin.com/NH/Shelburne/1333-US-2-03581/home/88296889,NEREN,4803687,N,Y,44.3956693,-71.0500129
MLS Listing,,Single Family Residential,707 W Side Rd,Whitefield,NH,03598,219000,2,1.0,Whitefield,1492,594158,1975,1,147,,Active,,,http://www.redfin.com/NH/Whitefield/707-W-Side-Rd-03598/home/146166479,NEREN,4803644,N,Y,44.34321293681299,-71.67399365921021
MLS Listing,,Vacant Land,Bishop Brook Rd,Stewartstown,NH,03576,45000,,,Stewartstown,,342817,,1,,,Active,,,http://www.redfin.com/NH/Stewartstown/Bishop-Brook-Rd-03576/home/88146921,NEREN,4803620,N,Y,44.989955,-71.464155
MLS Listing,,Single Family Residential,60 Lyons Ln,Colebrook,NH,03576,299000,3,1.75,Colebrook,1804,545371,1979,1,166,,Active,,,http://www.redfin.com/NH/Colebrook/60-Lyons-Ln-03576/home/88149027,NEREN,4803565,N,Y,44.8912557,-71.4434421
MLS Listing,,Single Family Residential,97 Lancaster Rd,Gorham,NH,03581,159900,3,2.0,Gorham,2004,47916,1820,2,80,,Active,,,http://www.redfin.com/NH/Gorham/97-Lancaster-Rd-03581/home/96735617,NEREN,4803502,N,Y,44.399395,-71.2101106
MLS Listing,,Single Family Residential,2701 Route 3 N,Carroll,NH,03598,895000,4,3.0,Carroll,5439,1979366,1999,4,165,,Active,,,http://www.redfin.com/NH/Carroll/2701-US-3-03598/home/88166835,NEREN,4803283,N,Y,44.3374346,-71.5735619
MLS Listing,,Single Family Residential,111 Glen Rd,Gorham,NH,03581,339000,4,2.0,Gorham,3437,87120,1987,4,99,,Active,,,http://www.redfin.com/NH/Gorham/111-Glen-Rd-03581/home/63522677,NEREN,4803270,N,Y,44.3745025,-71.1736793
