SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,78 Reed St,Westbrook,ME,04092,289900,3,2.0,Westbrook,1392,17859,2001,1,208,,Active,,,http://www.redfin.com/ME/Westbrook/78-Reed-St-04092/home/97641727,MREIS,1451203,N,Y,43.7047436,-70.3310663
MLS Listing,,Single Family Residential,88 Lake Shore Dr,Casco,ME,04015,329000,2,1.0,Casco,1056,4791,1990,1,312,17,Active,,,http://www.redfin.com/ME/Casco/88-Lake-Shore-Dr-04015/home/106969592,MREIS,1451194,N,Y,43.918583,-70.5467479
MLS Listing,,Single Family Residential,40 Pitt St,South Portland,ME,04106,300000,3,1.0,South Portland,1488,4356,1953,1,202,,Active,,,http://www.redfin.com/ME/South-Portland/40-Pitt-St-04106/home/100292219,MREIS,1451191,N,Y,43.6317024,-70.2432011
MLS Listing,,Single Family Residential,14 Whites Bridge Rd,Standish,ME,04084,265000,3,2.0,Standish,1488,60983,1975,1,178,,Active,,,http://www.redfin.com/ME/Standish/14-Whites-Bridge-Rd-04084/home/99977337,MREIS,1451182,N,Y,43.8102924,-70.4695635
MLS Listing,,Single Family Residential,18 Green St,Gorham,ME,04038,270000,3,1.0,Gorham,1487,14374,1860,1,182,,Active,,,http://www.redfin.com/ME/Gorham/18-Green-St-04038/home/99960880,MREIS,1451172,N,Y,43.6777671,-70.4436718
MLS Listing,,Single Family Residential,Lot 1 Autumn View Ln,Brunswick,ME,04011,499000,4,2.5,Brunswick,2280,93218,2020,1,219,25,Active,,,http://www.redfin.com/ME/Brunswick/275-Durham-Rd-04011/home/85783557,MREIS,1451170,N,Y,43.9179966,-70.0373405
MLS Listing,,Single Family Residential,5 Fieldstone Ln,Falmouth,ME,04105,890000,5,3.5,Falmouth,3200,80150,2013,1,278,,Active,,,http://www.redfin.com/ME/Falmouth/5-Fieldstone-Ln-04105/home/100294919,MREIS,1451167,N,Y,43.7557916,-70.2502786
MLS Listing,,Single Family Residential,89 Haskell St,Westbrook,ME,04092,329900,4,1.5,Westbrook,2256,10018,1900,1,146,,Active,,,http://www.redfin.com/ME/Westbrook/89-Haskell-St-04092/home/66712934,MREIS,1451166,N,Y,43.6769851,-70.3512202
MLS Listing,,Condo/Co-op,30 Fox St #1,Portland,ME,04101,485000,2,2.0,Portland,945,,2020,1,513,307,Active,,,http://www.redfin.com/ME/Portland/30-Fox-St-04101/unit-1/home/147612875,MREIS,1451162,N,Y,43.6670614,-70.2541932
MLS Listing,,Vacant Land,0 Arnold Rd,Freeport,ME,04032,189000,,,Freeport,,65340,,1,,,Active,,,http://www.redfin.com/ME/FREEPORT/ARNOLD-RD-04032/home/97682560,MREIS,1451159,N,Y,43.812028,-70.119226
