SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,20 Wood Duck Way,Oak Bluffs,MA,02557,1150000,4,2.5,Oak Bluffs,3376,53143,1984,1,341,,Active,,,http://www.redfin.com/MA/OAK-BLUFFS/20-WOOD-DUCK-WAY-02557/home/108521467,MLS PIN,72651247,N,Y,41.421848,-70.572416
MLS Listing,,Single Family Residential,1 Bird St,Oak Bluffs,MA,02557,1095000,4,3.0,Oak Bluffs,2330,9583,2011,3,470,,Active,,,http://www.redfin.com/MA/Oak-Bluffs/1-Bird-St-02557/home/133849003,MLS PIN,72650533,N,Y,41.453834,-70.5686168
MLS Listing,,Single Family Residential,395 Barnes Rd,Oak Bluffs,MA,02557,4350000,4,4.5,Lagoon,4330,60983,1998,4,1005,,Active,,,http://www.redfin.com/MA/Oak-Bluffs/395-Barnes-Rd-02557/home/133860066,MLS PIN,72650399,N,Y,41.4322102,-70.5993253
MLS Listing,,Single Family Residential,124 Skiff Ave Unit G10,Tisbury,MA,02568,435000,2,1.0,Tisbury,716,,1953,11,608,432,Active,,,http://www.redfin.com/MA/Vineyard-Haven/124-Skiff-Ave-02568/unit-G10/home/114065393,MLS PIN,72647641,N,Y,41.449562,-70.6019827
MLS Listing,,Single Family Residential,4 Bernard Way,Edgartown,MA,02539,1656000,4,4.5,Edgartown,2390,7405,2016,38,693,,Active,,,http://www.redfin.com/MA/Edgartown/4-Bernard-Way-02539/home/77530078,MLS PIN,72638803,N,Y,41.3914796,-70.5275684
MLS Listing,,Vacant Land,00 Middle Coomb,Chilmark,MA,02535,1729000,,,Chilmark,,131551,,43,,,Active,,,http://www.redfin.com/MA/Chilmark/Middle-Coomb-02535/home/131581911,MLS PIN,72637252,N,Y,41.357906,-70.663921
MLS Listing,,Multi-Family (2-4 Unit),24 Shawmut Ave,Oak Bluffs,MA,02557,700000,3,2.0,Oak Bluffs,1770,10010,2000,54,395,,Active,,,http://www.redfin.com/MA/Oak-Bluffs/24-Shawmut-Ave-02557/home/133859850,MLS PIN,72632585,N,Y,41.4504235,-70.5656994
MLS Listing,,Single Family Residential,20 Thirteenth St N,Edgartown,MA,02539,720000,3,2.0,Edgartown,1844,12196,1988,61,390,,Active,,,http://www.redfin.com/MA/Edgartown/20-13th-St-N-02539/home/132194918,MLS PIN,72629068,N,Y,41.4031725,-70.5536667
MLS Listing,,Single Family Residential,275 Pond Rd,West Tisbury,MA,02575,2595000,4,3.5,West Tisbury,3769,60113,2004,63,689,,Active,,,http://www.redfin.com/MA/West-Tisbury/275-Pond-RD-02575/home/166691778,MLS PIN,72627452,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,44 Forest Rd,West Tisbury,MA,02575,12800000,5,4.0,Seven gates Farm Corporation,4436,182952,2005,63,2885,,Active,,,http://www.redfin.com/MA/West-Tisbury/44-Forest-RD-02575/home/170947466,MLS PIN,72627080,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,9 Old Dunham Corner Way,Edgartown,MA,02539,1499000,4,3.5,Ocean Pines,3600,30492,1999,67,416,500,Active,,,http://www.redfin.com/MA/Edgartown/9-Old-Dunham-s-Corner-Way-02539/home/132207435,MLS PIN,72625474,N,Y,41.3674303,-70.5257264
MLS Listing,,Single Family Residential,16 Meshacket Rd,Edgartown,MA,02539,1850000,5,3.5,Edgartown,3002,31363,2010,74,616,,Active,,,http://www.redfin.com/MA/Edgartown/16-Meshacket-Rd-02539/home/132213347,MLS PIN,72622391,N,Y,41.3800915,-70.5296504
MLS Listing,,Single Family Residential,12 Boldwater Rd,Edgartown,MA,02539,8500000,7,9.5,Edgartown,11000,435600,1994,74,773,,Active,,,http://www.redfin.com/MA/Edgartown/12-Boldwater-Rd-02539/home/109308387,MLS PIN,72622370,N,Y,41.370537,-70.569473
MLS Listing,,Single Family Residential,14 Factory Brook Rd,West Tisbury,MA,02575,869000,3,2.0,In-town,1443,28749,1972,75,602,,Active,,,http://www.redfin.com/MA/West-Tisbury/14-Factory-Brook-RD-02575/home/170606008,MLS PIN,72622164,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,53 Circuit Ave,Oak Bluffs,MA,02557,3150000,5,4.5,Oak Bluffs,5200,2614,1900,75,606,,Active,,,http://www.redfin.com/MA/Oak-Bluffs/53-Circuit-Ave-02557/home/160535251,MLS PIN,72621917,N,Y,41.4549524,-70.558867
MLS Listing,,Single Family Residential,369 Main,Tisbury,MA,02568,1295000,3,3.0,West Chop,1758,25700,1827,80,737,,Active,,,http://www.redfin.com/MA/Vineyard-Haven/369-Main-St-02568/home/135220177,MLS PIN,72619907,N,Y,41.4644711,-70.6014399
MLS Listing,,Single Family Residential,225 E Chop Dr,Oak Bluffs,MA,02557,2790000,3,3.5,East Chop,2449,22000,1950,80,1139,,Active,,,http://www.redfin.com/MA/OAK-BLUFFS/225-E-CHOP-DR-02557/home/133857040,MLS PIN,72619904,N,Y,41.470264,-70.566805
MLS Listing,,Vacant Land,0 Quansoo Bch,Chilmark,MA,02535,320000,,,Chilmark,,,,95,,,Active,,,http://www.redfin.com/MA/Chilmark/Quansoo-Rd-02535/home/131576777,MLS PIN,72614074,N,Y,41.348367,-70.661408
MLS Listing,,Single Family Residential,2 Opies Ln,Aquinnah,MA,02535,825000,3,1.5,Aquinnah,1496,43560,1999,98,551,,Active,,,http://www.redfin.com/MA/Aquinnah/2-Opie-s-Ln-02535/home/130744030,MLS PIN,72612617,N,Y,41.3471148,-70.812483
MLS Listing,,Single Family Residential,4 Stonewood Ln,West Tisbury,MA,02575,989000,3,3.0,West Tisbury,1992,77972,1991,99,496,,Active,,,http://www.redfin.com/MA/West-Tisbury/4-Stonewood-Ln-02575/home/130686672,MLS PIN,72612192,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,76 Mattakesett,Edgartown,MA,02539,2750000,3,2.5,Edgartown,1871,22215,2006,100,1470,,Active,,,http://www.redfin.com/MA/Edgartown/76-Mattakesett-Way-02539/home/132202684,MLS PIN,72612086,N,Y,41.3537958,-70.5181033
MLS Listing,,Single Family Residential,29 Harbor View Ln,Tisbury,MA,02568,2950000,4,2.5,West Chop,2072,24800,1935,103,1424,,Active,,,http://www.redfin.com/MA/Vineyard-Haven/29-Harbor-View-Rd-02568/home/105631645,MLS PIN,72611479,N,Y,41.4684797,-70.5967924
MLS Listing,,Single Family Residential,232 Massachusetts Ave,Oak Bluffs,MA,02557,1799000,5,4.0,East Chop,5269,19166,1900,159,341,,Active,,,http://www.redfin.com/MA/OAK-BLUFFS/232-MASSACHUSETTS-AVE-02557/home/133861623,MLS PIN,72596606,N,Y,41.462364,-70.563537
MLS Listing,,Single Family Residential,50 Red Pony Rd,West Tisbury,MA,02575,1485000,5,3.5,Pastoral,3552,131551,2005,172,418,,Active,,,http://www.redfin.com/MA/West-Tisbury/50-Red-Pony-RD-02575/home/163840818,MLS PIN,72593128,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,22 Larsen Ln,Chilmark,MA,02535,1050000,3,3.0,Menemsha,1361,5663,1951,203,771,,Active,,,http://www.redfin.com/MA/Chilmark/22-Larsen-Ln-02535/home/131573568,MLS PIN,72580027,N,Y,41.3509206,-70.7621703
MLS Listing,,Single Family Residential,131 Indian Hill Rd,West Tisbury,MA,02575,1700000,3,3.0,West Tisbury,2442,131116,1984,209,696,,Active,,,http://www.redfin.com/MA/West-Tisbury/131-Indian-Hill-RD-02575/home/169366263,MLS PIN,72577516,N,Y,41.4223551,-70.6474739
MLS Listing,,Single Family Residential,7 Grove,Tisbury,MA,02568,950000,4,1.5,Vineyard Haven Yacht Club nearby,1408,15245,1920,210,675,,Active,,,http://www.redfin.com/MA/Vineyard-Haven/7-Grove-Ave-02568/home/135185212,MLS PIN,72577035,N,Y,41.4683106,-70.599488
MLS Listing,,Single Family Residential,74 N Water,Edgartown,MA,02539,3335000,7,4.0,Edgartown,3360,,1830,238,993,,Active,,,http://www.redfin.com/MA/Edgartown/74-N-Water-St-02539/home/100387294,MLS PIN,72562198,N,Y,41.3909037,-70.510247
