SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Wintergreen Cir,Methuen,MA,01844,389900,3,1.5,Methuen,1714,11042,1983,6,227,,Active,,,http://www.redfin.com/MA/Methuen/11-Wintergreen-Cir-01844/home/8344172,MLS PIN,72648917,N,Y,42.7307892,-71.1452462
MLS Listing,,Condo/Co-op,61 Holten St #3,Danvers,MA,01923,299000,2,1.0,Danvers,734,,1920,8,407,200,Active,,,http://www.redfin.com/MA/Danvers/61-Holten-St-01923/unit-3/home/110008632,MLS PIN,72648151,N,Y,42.5615492,-70.9464114
MLS Listing,,Single Family Residential,114 Lowell St,Methuen,MA,01844,359900,3,1.5,Methuen,1768,4866,1900,13,204,,Active,,,http://www.redfin.com/MA/Methuen/114-Lowell-St-01844/home/8315665,MLS PIN,72646476,N,Y,42.7205563,-71.1954669
MLS Listing,,Single Family Residential,260 Main St,Rowley,MA,01969,529900,3,2.5,Rowley,2154,24000,1981,19,246,,Active,,,http://www.redfin.com/MA/Rowley/260-Main-St-01969/home/8360403,MLS PIN,72644514,N,Y,42.7205468,-70.8726373
MLS Listing,,Single Family Residential,82 Beaver Brook Rd,North Andover,MA,01845,939000,4,4.0,North Andover,4429,44867,1997,21,212,,Active,,,http://www.redfin.com/MA/North-Andover/82-Beaver-Brook-Rd-01845/home/11556233,MLS PIN,72643701,N,Y,42.6480415,-71.064564
MLS Listing,,Multi-Family (2-4 Unit),76-78 Saratoga St,Lawrence,MA,01841,477000,9,3.0,Lawrence,2528,2800,1895,22,189,,Active,,,http://www.redfin.com/MA/Lawrence/76-Saratoga-St-01841/home/11320619,MLS PIN,72643544,N,Y,42.7173465,-71.166908
MLS Listing,,Single Family Residential,23 Clinton St,Amesbury,MA,01913,599900,4,2.5,Amesbury,2800,65340,2016,48,214,,Active,,,http://www.redfin.com/MA/Amesbury/23-Clinton-St-01913/home/8196801,MLS PIN,72635091,N,Y,42.8670048,-70.9207098
MLS Listing,,Condo/Co-op,8 Gerring Rd Unit B,Gloucester,MA,01930,399900,3,1.0,Gloucester,731,,1900,69,547,,Active,,,http://www.redfin.com/MA/Gloucester/8-Gerring-Rd-01930/unit-B/home/11306289,MLS PIN,72624279,N,Y,42.605601,-70.6525599
MLS Listing,,Multi-Family (2-4 Unit),6-8 Glendale,Salem,MA,01970,1159000,11,4.0,Salem,5240,3650,1915,1,221,,Active,,,http://www.redfin.com/MA/Salem/6-Glendale-St-01970/home/8393802,MLS PIN,72651522,N,Y,42.5090996,-70.8896154
MLS Listing,,Single Family Residential,64 Oregon Ave,Lawrence,MA,01841,369900,4,2.5,Lawrence,2560,5500,1900,1,144,,Active,,,http://www.redfin.com/MA/Lawrence/64-Oregon-Ave-01841/home/11329090,MLS PIN,72651518,N,Y,42.6967944,-71.1819609
MLS Listing,,Single Family Residential,53 Allston,Lawrence,MA,01841,329900,3,1.0,Lawrence,1277,11802,1900,1,258,,Active,,,http://www.redfin.com/MA/Lawrence/53-Allston-St-01841/home/11309138,MLS PIN,72651516,N,Y,42.7116494,-71.1424147
MLS Listing,,Multi-Family (2-4 Unit),70 Hanover St,Lynn,MA,01902,239000,4,2.0,Lynn,1000,2000,1900,1,239,,Active,,,http://www.redfin.com/MA/Lynn/70-Hanover-St-01902/home/11572902,MLS PIN,72651500,N,Y,42.4662419,-70.9549702
MLS Listing,,Single Family Residential,948 Humphrey St,Swampscott,MA,01907,639900,4,1.5,Beach Bluff,2383,5794,1895,1,269,,Active,,,http://www.redfin.com/MA/Swampscott/948-Humphrey-St-01907/home/11360915,MLS PIN,72651469,N,Y,42.4765548,-70.8922843
MLS Listing,,Multi-Family (2-4 Unit),28 Lynnfield,Lynn,MA,01904,550000,5,2.0,Wyoma,1979,3244,1920,1,278,,Active,,,http://www.redfin.com/MA/Lynn/28-Lynnfield-St-01904/home/11542189,MLS PIN,72651462,N,Y,42.4855773,-70.962087
MLS Listing,,Single Family Residential,15 Brewster Ter,Methuen,MA,01844,295000,3,1.0,Methuen,1100,6098,1950,1,268,,Active,,,http://www.redfin.com/MA/Methuen/15-Brewster-Ter-01844/home/8325899,MLS PIN,72648646,N,Y,42.7256023,-71.1732815
MLS Listing,,Single Family Residential,11 River St,Newbury,MA,01922,549900,4,1.5,Byfield,2713,38729,1976,1,203,,Active,May-6-2020 05:00 PM,May-6-2020 07:00 PM,http://www.redfin.com/MA/Newbury/11-River-St-01922/home/8320349,MLS PIN,72651459,N,Y,42.7539155,-70.9512202
MLS Listing,,Townhouse,48 Worcester St #1,Haverhill,MA,01832,269500,2,1.5,Haverhill,1129,9600,1989,1,239,,Active,,,http://www.redfin.com/MA/Haverhill/48-Worcester-St-01832/unit-1/home/171540325,MLS PIN,72651448,N,Y,42.7681701,-71.1090986
MLS Listing,,Condo/Co-op,16 Balmoral St #415,Andover,MA,01810,239900,1,1.0,Andover,566,,1925,1,424,287,Active,,,http://www.redfin.com/MA/Andover/16-Balmoral-St-01810/unit-415/home/8200897,MLS PIN,72651444,N,Y,42.6722726,-71.1484652
MLS Listing,,Single Family Residential,38 Birch Meadow Rd,Merrimac,MA,01860,364900,2,1.5,Merrimac,1801,41040,1951,1,203,,Active,,,http://www.redfin.com/MA/Merrimac/38-Birch-Meadow-Rd-01860/home/8289882,MLS PIN,72651442,N,Y,42.8307279,-71.0267939
MLS Listing,,Single Family Residential,8 Bayfield Rd,Saugus,MA,01906,569900,4,3.0,Saugus,2252,8921,1940,1,253,,Active,,,http://www.redfin.com/MA/Saugus/8-Bayfield-Rd-01906/home/8373459,MLS PIN,72651435,N,Y,42.4525135,-71.0199453
MLS Listing,,Single Family Residential,33 Glenwood Rd,Lynn,MA,01904,569900,3,2.5,Lynn,1952,11000,2003,1,292,,Active,,,http://www.redfin.com/MA/Lynn/33-Glenwood-Rd-01904/home/11536734,MLS PIN,72651405,N,Y,42.4967274,-70.9617155
MLS Listing,,Multi-Family (2-4 Unit),10-12 Edwards Ave,Methuen,MA,01844,539900,6,2.0,Methuen,2382,12998,1900,1,227,,Active,,,http://www.redfin.com/MA/Methuen/10-Edwards-Ave-01844/home/8319082,MLS PIN,72651398,N,Y,42.7046153,-71.1972821
MLS Listing,,Condo/Co-op,107 Foster St #105,Peabody,MA,01960,229900,1,1.0,Peabody,722,,2003,1,318,270,Active,,,http://www.redfin.com/MA/Peabody/107-Foster-St-01960/unit-105/home/11400839,MLS PIN,72651386,N,Y,42.5222458,-70.9317898
