SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,109 Brooklawn Ter,Fairfield,CT,06825,419900,3,1.5,Stratfield,1346,8712,1953,1,312,,Active,,,http://www.redfin.com/CT/Fairfield/109-Brooklawn-Ter-06825/home/107124069,Smart MLS,170292385,N,Y,41.1943164,-73.221071
MLS Listing,,Condo/Co-op,73 Orchard Pl Unit B,Greenwich,CT,06830,2195000,4,5.0,Greenwich,3154,,2020,1,696,,Active,,,http://www.redfin.com/CT/Greenwich/73-Orchard-Pl-06830/unit-B/home/171535737,GMLS,109559,N,Y,41.0193614,-73.6194661
MLS Listing,,Single Family Residential,47 Ryan Ave,Stratford,CT,06615,199000,3,1.5,Stratford,1456,3920,1979,1,137,,Active,,,http://www.redfin.com/CT/Stratford/47-Ryan-Ave-06615/home/107225561,Smart MLS,170292424,N,Y,41.1720106,-73.1351685
MLS Listing,,Single Family Residential,42 Fieldstone Rd,Stamford,CT,06902,755000,5,4.5,Newfield,3319,10018,1986,1,227,,Active,,,http://www.redfin.com/CT/Stamford/42-Fieldstone-Rd-06902/home/107089469,Smart MLS,170288767,N,Y,41.0739367,-73.5363833
MLS Listing,,Single Family Residential,32 Weston Rd,Weston,CT,06883,2875000,6,6.0,Lower Weston,12186,101930,1810,1,236,,Active,,,http://www.redfin.com/CT/Weston/32-Weston-Rd-06883/home/107006579,Smart MLS,170292265,N,Y,41.1821243,-73.3682274
MLS Listing,,Single Family Residential,22 Pine Tree Hill Rd,Newtown,CT,06470,529000,4,2.5,Botsford,3020,87991,2000,1,175,,Active,,,http://www.redfin.com/CT/Newtown/22-Pine-Tree-Hill-Rd-06470/home/107649663,Smart MLS,170292140,N,Y,41.3553556,-73.2779873
MLS Listing,,Single Family Residential,475 Stanwich Rd,Greenwich,CT,06831,2350000,5,6.0,Greenwich,6258,174675,1977,1,376,,Active,,,http://www.redfin.com/CT/Greenwich/475-Stanwich-Rd-06831/home/107027245,GMLS,109557,N,Y,41.1010428,-73.6048202
MLS Listing,,Single Family Residential,14 Ann St,Trumbull,CT,06611,469900,4,2.0,Long Hill,2244,15245,1967,1,209,,Active,,,http://www.redfin.com/CT/Trumbull/14-Ann-St-06611/home/107197783,Smart MLS,170292030,N,Y,41.2708629,-73.2312781
MLS Listing,,Single Family Residential,923 Judson Pl,Stratford,CT,06615,264900,3,2.0,Academy Hill,1355,8276,1975,1,195,,Active,,,http://www.redfin.com/CT/Stratford/923-Judson-Pl-06615/home/107212797,Smart MLS,170273018,N,Y,41.1911025,-73.1288291
MLS Listing,,Single Family Residential,189 Veres St,Fairfield,CT,06824,1249999,4,3.5,Beach,3491,22215,2013,1,358,,Active,,,http://www.redfin.com/CT/Fairfield/189-Veres-St-06824/home/107132760,Smart MLS,170291223,N,Y,41.1327444,-73.2543172
MLS Listing,,Single Family Residential,580 Sasco Hill Rd,Fairfield,CT,06824,3495000,5,4.0,Sasco,4289,79279,1937,1,815,,Active,,,http://www.redfin.com/CT/Fairfield/580-Sasco-Hill-Rd-06824/home/107136422,Smart MLS,170291322,N,Y,41.131995,-73.2733572
MLS Listing,,Condo/Co-op,1002 Pinnacle Way #1002,Danbury,CT,06811,279000,2,1.5,Stadley Rough,1338,,1999,1,209,345,Active,,,http://www.redfin.com/CT/Danbury/1002-Pinnacle-Way-06811/unit-1002/home/171533582,Smart MLS,170292263,N,Y,41.4349088,-73.4231547
MLS Listing,,Condo/Co-op,27 Putnam Ln #27,Danbury,CT,06810,460000,3,2.5,Danbury,1760,,2017,1,261,291,Active,,,http://www.redfin.com/CT/Danbury/27-Putnam-Ln-06810/unit-27/home/170110468,Smart MLS,170292317,N,Y,41.3869127,-73.5231636
MLS Listing,,Single Family Residential,16 Lia Fail Way,Greenwich,CT,06807,3500000,5,4.5,Greenwich,7468,129373,2019,1,469,42,Active,,,http://www.redfin.com/CT/Cos-Cob/16-Lia-Fail-Way-06807/home/107026001,Smart MLS,170292319,N,Y,41.048095,-73.59298
MLS Listing,,Single Family Residential,41 Fieldcrest Dr,Ridgefield,CT,06877,639000,4,2.5,Branchville,2930,57499,1975,1,218,,Active,,,http://www.redfin.com/CT/Ridgefield/41-Fieldcrest-Dr-06877/home/53650087,Smart MLS,170292316,N,Y,41.2459383,-73.4879232
MLS Listing,,Single Family Residential,59 Winding Ln,Norwalk,CT,06851,589900,4,2.5,Cranbury,2274,28314,1957,1,259,,Active,,,http://www.redfin.com/CT/Norwalk/59-Winding-Ln-06851/home/107815934,Smart MLS,170289652,N,Y,41.1447292,-73.4151435
MLS Listing,,Single Family Residential,49 Benjamin St,Old Greenwich,CT,06870,3250000,5,4.5,Old Greenwich,5018,11325,2012,1,648,,Active,,,http://www.redfin.com/CT/Old-Greenwich/49-Benjamin-St-06870/home/107025805,GMLS,109554,N,Y,41.025037,-73.5625185
MLS Listing,,Single Family Residential,500 River Rd #10,Shelton,CT,06484,799000,3,3.5,Shelton,3540,,2017,1,226,384,Active,,,http://www.redfin.com/CT/Shelton/500-River-Rd-06484/unit-10/home/138425147,Smart MLS,170292304,N,Y,41.2881502,-73.0787004
MLS Listing,,Condo/Co-op,73 Weaver St Unit 9,Greenwich,CT,06831,1100000,3,5.0,Greenwich,4217,,1989,1,261,,Active,,,http://www.redfin.com/CT/Greenwich/73-Weaver-St-06831/unit-9/home/107025228,GMLS,109551,N,Y,41.0206063,-73.6498642
MLS Listing,,Condo/Co-op,145 Canal St #208,Shelton,CT,06484,194900,2,2.0,Shelton Center,1250,,1890,1,156,392,Active,,,http://www.redfin.com/CT/Shelton/145-Canal-St-W-06484/unit-208/home/107186499,Smart MLS,170292292,N,Y,41.3181736,-73.0924208
MLS Listing,,Multi-Family (2-4 Unit),335 Priscilla St,Bridgeport,CT,06610,182000,4,2.0,Treeland,1890,6534,1942,1,96,,Active,,,http://www.redfin.com/CT/Bridgeport/335-Priscilla-St-06610/home/107057984,Smart MLS,170292146,N,Y,41.2116359,-73.1718981
MLS Listing,,Single Family Residential,65 Ojibwa Rd,Shelton,CT,06484,229900,2,1.0,Shelton,1502,13939,1956,1,153,,Active,,,http://www.redfin.com/CT/Shelton/65-Ojibwa-Trl-06484/home/107180466,Smart MLS,170292266,N,Y,41.2626388,-73.0983303
MLS Listing,,Single Family Residential,325 Woodstock Ave,Stratford,CT,06614,279000,3,1.5,Paradise Green,1533,4791,1925,1,182,,Active,,,http://www.redfin.com/CT/Stratford/325-Woodstock-Ave-06614/home/107213946,Smart MLS,170291329,N,Y,41.2092379,-73.1241037
MLS Listing,,Single Family Residential,27 Midwood Rd,Greenwich,CT,06830,8350000,7,9.5,Greenwich,10852,98010,1994,1,769,540,Active,,,http://www.redfin.com/CT/Greenwich/27-Midwood-Rd-06830/home/107015351,GMLS,109547,N,Y,41.0411808,-73.6307629
MLS Listing,,Single Family Residential,409 Lakeside Dr,Bridgeport,CT,06606,279900,4,2.0,Lake Forest,2100,16552,1954,1,133,,Active,,,http://www.redfin.com/CT/Bridgeport/409-Lakeside-Dr-06606/home/107047022,Smart MLS,170291798,N,Y,41.2253483,-73.2050451
MLS Listing,,Condo/Co-op,685 Success Ave #24,Stratford,CT,06614,137000,1,1.0,Stratford,841,,1985,1,163,170,Active,,,http://www.redfin.com/CT/Stratford/685-Success-Ave-06614/unit-24/home/107213738,Smart MLS,170292181,N,Y,41.2012757,-73.156317
MLS Listing,,Condo/Co-op,39 Lakeview Ave Unit 5A,New Canaan,CT,06840,1200000,4,3.5,New Canaan,2580,,1986,1,465,727,Active,,,http://www.redfin.com/CT/New-Canaan/39-Lakeview-Ave-06840/unit-5A/home/171531950,Smart MLS,170276397,N,Y,41.144172,-73.486863
MLS Listing,,Condo/Co-op,474 Commanche Ln Unit B,Stratford,CT,06614,269900,1,3.0,Oronoque,2234,,1975,1,121,385,Active,,,http://www.redfin.com/CT/Stratford/474-Commanche-Ln-06614/unit-B/home/107219163,Smart MLS,170291895,N,Y,41.253905,-73.109166
MLS Listing,,Multi-Family (2-4 Unit),12 Morris St,Danbury,CT,06810,395000,4,2.0,Danbury,2252,9147,1923,1,175,,Active,,,http://www.redfin.com/CT/Danbury/12-Morris-St-06810/home/106985414,Smart MLS,170291439,N,Y,41.3934847,-73.464909
MLS Listing,,Single Family Residential,15 Hill St,Norwalk,CT,06850,399999,4,2.0,Norwalk,1724,10018,1950,1,232,,Active,,,http://www.redfin.com/CT/Norwalk/15-Hill-St-06850/home/107852883,Smart MLS,170292189,N,Y,41.1210216,-73.4246854
MLS Listing,,Single Family Residential,770 Old Academy+1386 Hillside Rd,Fairfield,CT,06824,2999000,6,7.5,Greenfield Hill,6949,251776,1900,1,432,,Active,,,http://www.redfin.com/CT/Fairfield/1386-Hillside-Rd-06824/home/107141093,Smart MLS,170292185,N,Y,41.1785501,-73.2912978
MLS Listing,,Condo/Co-op,800 Seaview Ave Unit 750-2,Bridgeport,CT,06607,209000,2,2.5,Bridgeport,1200,,2007,1,174,150,Active,,,http://www.redfin.com/CT/Bridgeport/800-Seaview-Ave-06607/unit-750-2/home/107042262,Smart MLS,170292182,N,Y,41.1745207,-73.1711935
MLS Listing,,Single Family Residential,120 Buddington Rd,Shelton,CT,06484,489000,4,3.0,Huntington,2209,90604,2020,1,221,,Active,,,http://www.redfin.com/CT/Shelton/120-Buddington-Rd-06484/home/171529662,Smart MLS,170292139,N,Y,41.2922352,-73.1168317
MLS Listing,,Single Family Residential,73 Robin Hood Rd,Stamford,CT,06907,629000,3,2.5,Springdale,1784,43995,1956,1,353,,Active,,,http://www.redfin.com/CT/Stamford/73-Robin-Hood-Rd-06907/home/107095036,Smart MLS,170285238,N,Y,41.106276,-73.5125065
MLS Listing,,Single Family Residential,441 Patterson Ave,Stratford,CT,06614,309000,3,2.0,Paradise Green,1462,7405,1932,1,211,,Active,,,http://www.redfin.com/CT/Stratford/441-Patterson-Ave-06614/home/107221858,Smart MLS,170282401,N,Y,41.2045628,-73.1217063
MLS Listing,,Multi-Family (2-4 Unit),1738 Stratford Ave,Bridgeport,CT,06607,279900,6,4.0,East Side,3864,3484,1924,1,72,,Active,,,http://www.redfin.com/CT/Bridgeport/1738-Stratford-Ave-06607/home/169625527,Smart MLS,170292151,N,Y,41.1812454,-73.1576843
