SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1 School St,Weld,ME,04285,69900,,,Weld,,15245,,1,,,Active,,,http://www.redfin.com/ME/Weld/1-School-St-04285/home/97645578,MREIS,1451179,N,Y,44.6983067,-70.420409
MLS Listing,,Condo/Co-op,5013 Mountain View Rd #5013,Carrabassett Valley,ME,04947,429000,3,3.5,Carrabassett Valley,2071,,2008,1,207,403,Active,,,http://www.redfin.com/ME/Carrabassett-Valley/5013-Mountain-View-Rd-04947/unit-5013/home/147582850,MREIS,1451118,N,Y,45.061666,-70.3135761
MLS Listing,,Single Family Residential,115 Main St,Jay,ME,04239,65000,4,1.5,Jay,1390,135036,1900,2,47,,Active,,,http://www.redfin.com/ME/Jay/115-Main-St-04239/home/100011885,MREIS,1451014,N,Y,44.4918917,-70.2024429
MLS Listing,,Condo/Co-op,1024 N North Ridge Rd #1,Carrabassett Valley,ME,04947,299000,3,2.5,Carrabassett Valley,2640,,2004,4,113,322,Active,,,http://www.redfin.com/ME/Carrabassett-Valley/1024-N-Ridge-Rd-04947/unit-1/home/171499411,MREIS,1450941,N,Y,45.089417,-70.2258748
MLS Listing,,Vacant Land,0 Rangeley Rd,Avon,ME,04966,249000,,,Avon,,19384200,,4,,,Active,,,http://www.redfin.com/ME/Phillips/Rangeley-Rd-04966/home/100017850,MREIS,1450896,N,Y,44.8359753,-70.3965524
MLS Listing,,Single Family Residential,866 S South Strong Rd,Strong,ME,04983,219000,5,2.0,Strong,2400,53143,1975,4,91,,Active,,,http://www.redfin.com/ME/Strong/866-S-Strong-Rd-04983/home/97670026,MREIS,1450805,N,Y,44.7631899,-70.2052285
MLS Listing,,Single Family Residential,92 Five Corners Rd,New Sharon,ME,04955,189000,3,1.5,New Sharon,2016,215186,2003,4,94,,Active,,,http://www.redfin.com/ME/New-Sharon/92-5-Corners-Rd-04955/home/85700841,MREIS,1450763,N,Y,44.6036528,-69.998234
MLS Listing,,Single Family Residential,99 Spotted Fawn Ln,Rangeley,ME,04970,265000,3,2.0,Rangeley,1430,93654,2014,6,185,,Active,,,http://www.redfin.com/ME/Rangeley/99-Spotted-Fawn-Ln-04970/home/100116154,MREIS,1450598,N,Y,44.9677039,-70.732304
MLS Listing,,Single Family Residential,42 Butterfield Rd,Wilton,ME,04294,109900,1,1.0,Wilton,680,102366,2019,6,162,,Active,,,http://www.redfin.com/ME/Wilton/42-Butterfield-Rd-04294/home/97605922,MREIS,1450585,N,Y,44.5769209,-70.3045995
MLS Listing,,Single Family Residential,346 Cape Cod Hill Rd,New Sharon,ME,04955,389900,3,2.5,New Sharon,2600,1742400,1991,7,150,,Active,,,http://www.redfin.com/ME/New-Sharon/346-Cape-Cod-Hill-Rd-04955/home/85700538,MREIS,1450461,N,Y,44.6258956,-70.0255183
