SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),180 Federal St,St. Albans City,VT,05478-2185,339000,7,4.0,St. Albans City,3554,6969,1910,1,95,,Active,,,http://www.redfin.com/VT/St-Albans-City/180-Federal-St-05478/home/91268139,NEREN,4803677,N,Y,44.8182826,-73.0847281
MLS Listing,,Single Family Residential,400 Brigham Rd,St. Albans Town,VT,05478,249900,3,2.0,St. Albans Town,1566,44866,2010,1,160,,Active,,,http://www.redfin.com/VT/St-Albans-City/400-Brigham-Rd-05478/home/91332942,NEREN,4803642,N,Y,44.8354236,-73.1017588
MLS Listing,,Single Family Residential,57 Nason St,St. Albans City,VT,05478,189900,3,1.0,St. Albans City,960,11325,1983,1,198,,Active,,,http://www.redfin.com/VT/St-Albans-City/57-Nason-St-05478/home/91268796,NEREN,4803577,N,Y,44.8043418,-73.0934903
MLS Listing,,Single Family Residential,75 North Ave,Richford,VT,05476,195000,4,1.75,Richford,2858,16552,1900,2,68,,Active,,,http://www.redfin.com/VT/Richford/75-North-Ave-05476/home/95139588,NEREN,4803524,N,Y,45.0002275,-72.6725607
MLS Listing,,Single Family Residential,94 Maquam Shore Rd,Swanton,VT,05488,829900,3,1.5,Swanton,2580,122839,2000,3,322,,Active,,,http://www.redfin.com/VT/Swanton/94-Maquam-Shore-Rd-05488/home/95131317,NEREN,4803475,N,Y,44.914086,-73.1639885
MLS Listing,,Single Family Residential,17 Oak St,St. Albans City,VT,05478,140000,2,1.0,St. Albans City,854,11325,1800,3,164,,Active,,,http://www.redfin.com/VT/St-Albans-City/17-Oak-St-05478/home/91268733,NEREN,4803461,N,Y,44.8141556,-73.090582
MLS Listing,,Single Family Residential,115 Green Mountain Rd,Montgomery,VT,05470,185900,3,1.25,Montgomery,2260,35719,1850,3,82,,Active,,,http://www.redfin.com/VT/Montgomery/115-Green-Mountain-Rd-05470/home/113771678,NEREN,4803441,N,Y,44.90588920196294,-72.63945830688478
MLS Listing,,Single Family Residential,381 Shipyard Bay Rd,Highgate,VT,05460,220000,2,0.75,Highgate,1444,13939,1930,4,152,,Active,,,http://www.redfin.com/VT/HIGHGATE-SPRINGS/381-SHIPYARD-BAY-RD-05460/home/91241137,NEREN,4803271,N,Y,44.977135,-73.111141
MLS Listing,,Single Family Residential,16 Jones Ct,Swanton,VT,05488,319900,4,2.5,Swanton,2122,17424,1991,4,151,,Active,,,http://www.redfin.com/VT/Swanton/16-Jones-Ct-05488/home/95130912,NEREN,4803198,N,Y,44.928461,-73.115771
MLS Listing,,Townhouse,7 Cardinal Cir,St. Albans Town,VT,05478,229000,3,2.5,St. Albans Town,1676,,2000,4,137,185,Active,,,http://www.redfin.com/VT/St-Albans-City/7-Cardinal-Cir-05478/home/91331516,NEREN,4803181,N,Y,44.8070949,-73.102104
