SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,37 Madison Ave,Holderness,NH,03245,915000,3,2.25,Holderness,2730,22476,1920,1,335,,Active,,,http://www.redfin.com/NH/Holderness/37-Madison-Ave-03245/home/103438351,NEREN,4803737,N,Y,43.730159,-71.588687
MLS Listing,,Condo/Co-op,193 Main St #209,Woodstock,NH,03262,114900,1,1.0,Woodstock,680,,1985,1,169,130,Active,,,http://www.redfin.com/NH/WOODSTOCK/193-MAIN-ST-03293/unit-209/home/88171571,NEREN,4803682,N,Y,44.035221599062076,-71.6869516785736
MLS Listing,,Single Family Residential,19 Dame Hill Rd,Orford,NH,03777,229000,3,2.0,Orford,1596,154638,1865,1,143,,Active,,,http://www.redfin.com/NH/Orford/19-Dame-Hill-Rd-03777/home/88046162,NEREN,4803647,N,Y,43.8842718,-72.1025034
MLS Listing,,Condo/Co-op,5 Potash Rd #3,Lincoln,NH,03251,309900,3,2.5,Lincoln,1175,,1982,1,264,250,Active,,,http://www.redfin.com/NH/Lincoln/5-Potash-Rd-03251/unit-3/home/87990399,NEREN,4803637,N,Y,44.0622414,-71.6239485
MLS Listing,,Single Family Residential,2959 Route 25A,Orford,NH,03777,279000,3,2.0,Orford,2778,126324,2003,1,100,,Active,,,http://www.redfin.com/NH/Orford/2959-NH-25A-03777/home/101385896,NEREN,4803631,N,Y,43.8973792,-72.1335462
MLS Listing,,Townhouse,53 Waterville Acres Rd #14,Thornton,NH,03285,129000,2,1.5,Thornton,1202,,1972,1,107,275,Active,,,http://www.redfin.com/NH/Thornton/53-Waterville-Acres-Rd-03285/unit-14/home/88051184,NEREN,4803613,N,Y,43.8773899,-71.6161196
MLS Listing,,Vacant Land,00 Jockey Hill Rd #51,Landaff,NH,03585,94900,,,Landaff,,975743,,1,,,Active,,,http://www.redfin.com/NH/Landaff/51-Jockey-Hill-Rd-03585/unit-51/home/171532402,NEREN,4803554,N,Y,44.204508,-71.9087867
MLS Listing,,Single Family Residential,7 Gibson Pl,Haverhill,NH,03785,72000,3,1.5,Haverhill,1872,12196,1900,1,38,,Active,,,http://www.redfin.com/NH/HAVERHILL/7-GIBSON-PL-03765/home/87982229,NEREN,4803551,N,Y,44.152812,-72.031868
MLS Listing,,Single Family Residential,250 Choate Rd,Enfield,NH,03748,194900,2,1.0,Enfield,1128,47916,1984,1,173,,Active,,,http://www.redfin.com/NH/Enfield/250-Choate-Rd-03748/home/77462423,NEREN,4803550,N,Y,43.6190984,-72.062402
MLS Listing,,Single Family Residential,295 Maple St,Bethlehem,NH,03574,164900,3,1.0,Bethlehem,960,19602,1976,1,172,,Active,,,http://www.redfin.com/NH/Bethlehem/295-Maple-St-03574/home/103440701,NEREN,4803544,N,Y,44.2876801,-71.6852408
MLS Listing,,Condo/Co-op,23 Hummingbird Dr Unit 1,Lincoln,NH,03251,172500,2,2.0,Lincoln,1064,,1990,2,162,150,Active,,,http://www.redfin.com/NH/Lincoln/23-Hummingbird-Rd-03251/unit-1/home/103425979,NEREN,4803509,N,Y,44.0496119,-71.679187
MLS Listing,,Condo/Co-op,23 Humming Bird Rd #6,Lincoln,NH,03251,179900,2,2.0,Lincoln,1064,1437,1986,2,169,175,Active,,,http://www.redfin.com/NH/Lincoln/23-Hummingbird-Rd-03251/unit-6/home/103425991,NEREN,4803506,N,Y,44.0496119,-71.679187
MLS Listing,,Vacant Land,00 Millie's Cir,Campton,NH,03223,48000,,,Campton,,91911,,2,,,Active,,,http://www.redfin.com/NH/Campton/Millie-s-Cir-03223/home/171528537,NEREN,4803501,N,Y,43.802630428573295,-71.66282038933919
MLS Listing,,Single Family Residential,1 Langdon St,Plymouth,NH,03264,259000,6,2.75,Plymouth,2801,6229,1900,2,92,,Active,,,http://www.redfin.com/NH/Plymouth/1-Langdon-St-03264/home/88168771,NEREN,4803489,N,Y,43.7524119,-71.6917406
MLS Listing,,Single Family Residential,4 Bear Dr,Enfield,NH,03748,374900,4,4.0,Enfield,3337,40946,2006,2,112,304,Active,,,http://www.redfin.com/NH/Enfield/4-Bear-Dr-03748/home/103432933,NEREN,4803487,N,Y,43.5386106,-72.10947
MLS Listing,,Vacant Land,1072 NH Route 49,Thornton,NH,03285,59900,,,Thornton,,141570,,3,,,Active,,,http://www.redfin.com/NH/Thornton/1072-NH-49-03285/home/88050554,NEREN,4803478,N,Y,43.8847338,-71.5876937
MLS Listing,,Condo/Co-op,13 Overlook Rd #1,Campton,NH,03223,92900,1,1.0,Campton,608,,1978,3,153,212,Active,,,http://www.redfin.com/NH/Campton/13-Overlook-Rd-03223/unit-1/home/88323139,NEREN,4803466,N,Y,43.8669719,-71.634615
