SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2733 W Shore Rd,Alburgh,VT,05440,329900,2,1.75,Alburgh,1410,20037,2005,1,234,,Active,,,http://www.redfin.com/VT/Alburg/289-W-Shore-Rd-05440/home/91366367,NEREN,4803542,N,Y,44.928226,-73.3077469
MLS Listing,,Single Family Residential,53 US Route 2 Cswy,South Hero,VT,05468,279000,3,0.75,South Hero,1465,15681,1952,1,190,,Active,,,http://www.redfin.com/VT/South-Hero/53-U-S-2-05486/home/164686919,NEREN,4803539,N,Y,44.6339,-73.263794
MLS Listing,,Single Family Residential,1447 Windmill Point Rd,Alburgh,VT,05440,895000,4,3.25,Alburgh,3957,95832,2006,2,226,,Active,,,http://www.redfin.com/VT/Alburg/1447-Windmill-Pt-05440/home/167183304,NEREN,4803516,N,Y,44.9823487,-73.3412954
MLS Listing,,Single Family Residential,1553 W Shore Rd,Isle La Motte,VT,05463,325000,4,2.0,Isle La Motte,1902,65340,1850,4,171,,Active,,,http://www.redfin.com/VT/Isle-La-Motte/1553-W-Shore-Rd-05463/home/91386340,NEREN,4803403,N,Y,44.878094,-73.356583
MLS Listing,,Single Family Residential,489 US 2 Rte,South Hero,VT,05486,329900,6,2.0,South Hero,2584,22651,1856,4,128,,Active,,,http://www.redfin.com/VT/South-Hero/489-US-2-05486/home/91234195,NEREN,4803331,N,Y,44.660015,-73.322197
MLS Listing,,Single Family Residential,81 Lockerby Ln,Isle La Motte,VT,05463,374900,3,0.75,Isle La Motte,800,108900,1945,4,469,,Active,,,http://www.redfin.com/VT/Isle-La-Motte/81-Lockerby-Ln-05463/home/171495508,NEREN,4803308,N,Y,44.873859,-73.323746
MLS Listing,,Single Family Residential,585 Cedarvale Ln,North Hero,VT,05474,369000,2,1.0,North Hero,780,64904,1962,4,473,,Active,,,http://www.redfin.com/VT/North-Hero/585-Cedar-Vale-Ln-05474/home/95140139,NEREN,4803248,N,Y,44.833481,-73.305153
MLS Listing,,Single Family Residential,37 W Shore Rd,Grand Isle,VT,05458,850000,5,4.0,Grand Isle,3835,113256,1980,6,222,,Active,,,http://www.redfin.com/VT/Grand-Isle/37-W-Shore-Rd-05458/home/91316975,NEREN,4802838,N,Y,44.685634,-73.34842
MLS Listing,,Single Family Residential,12 Keeler's Bay Rd,South Hero,VT,05468,345900,2,1.75,South Hero,1620,20908,1965,7,214,,Active,,,http://www.redfin.com/VT/South-Hero/12-Keelers-Bay-Rd-05486/home/91233868,NEREN,4802810,N,Y,44.6596837,-73.319783
MLS Listing,,Single Family Residential,563 Bow and Arrow Pt,North Hero,VT,05474,245000,2,2.0,North Hero,1036,8276,1987,7,236,,Active,,,http://www.redfin.com/VT/North-Hero/563-Bow-and-Arrow-Pt-05474/home/91414906,NEREN,4802758,N,Y,44.759514,-73.314522
MLS Listing,,Single Family Residential,41 Donaldson Rd,Grand Isle,VT,05458,259500,3,2.0,Grand Isle,1700,22215,2006,8,153,,Active,,,http://www.redfin.com/VT/Grand-Isle/41-Donaldson-Rd-05458/home/171427253,NEREN,4802558,N,Y,44.693131,-73.296115
MLS Listing,,Single Family Residential,1104 Blockhouse Point Rd,North Hero,VT,05474,299000,2,0.75,North Hero,1008,24393,1947,13,297,,Active,,,http://www.redfin.com/VT/North-Hero/1104-Blockhouse-Point-Rd-05474/home/95139888,NEREN,4802052,N,Y,44.851475,-73.283096
