SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,132 Pfister Dr,Newington,CT,06111,409000,3,2.5,Newington,2337,21344,1999,1,175,,Active,,,http://www.redfin.com/CT/Newington/132-Pfister-Dr-06111/home/54034234,Smart MLS,170292346,N,Y,41.6622885,-72.7324137
MLS Listing,,Single Family Residential,26 Sunset Ter,West Hartford,CT,06107,499900,4,2.5,West Hartford,2918,11325,1929,1,171,,Active,,,http://www.redfin.com/CT/West-Hartford/26-Sunset-Ter-06107/home/53971895,Smart MLS,170292218,N,Y,41.7560729,-72.7550862
MLS Listing,,Condo/Co-op,1206 Meadowview Dr,East Windsor,CT,06088,194900,2,2.5,East Windsor,1442,,1997,1,135,295,Active,,,http://www.redfin.com/CT/East-Windsor/1206-Meadowview-Dr-06088/unit-1206/home/53759322,Smart MLS,170292378,N,Y,41.8951557,-72.6113377
MLS Listing,,Multi-Family (2-4 Unit),359 Zion St,Hartford,CT,06106,129000,0,,Behind The Rocks,2452,435,1919,1,53,,Active,,,http://www.redfin.com/CT/Hartford/359-Zion-St-06106/home/54157458,Smart MLS,170291473,N,Y,41.7509797,-72.6939619
MLS Listing,,Single Family Residential,214 Valley View Rd,Manchester,CT,06040,275000,3,3.0,Manchester,3012,13939,1978,1,91,,Active,,,http://www.redfin.com/CT/Manchester/214-Valley-View-Rd-06040/home/53865995,Smart MLS,170292345,N,Y,41.7459374,-72.545785
MLS Listing,,Single Family Residential,92 Ladyslipper Ln,Southington,CT,06489,579900,5,3.5,Southington,4365,70131,2001,1,133,,Active,,,http://www.redfin.com/CT/Southington/92-Ladyslipper-Ln-06489/home/53725041,Smart MLS,170292360,N,Y,41.6174331,-72.9084283
MLS Listing,,Multi-Family (2-4 Unit),18 Sherbrook Dr,Glastonbury,CT,06033,435000,7,3.0,East Glastonbury,2823,24829,1924,1,154,,Active,,,http://www.redfin.com/CT/Glastonbury/18-Sherbrook-Dr-06033/home/54167336,Smart MLS,170290784,N,Y,41.6892719,-72.5335386
MLS Listing,,Single Family Residential,245 Morningside Dr W,Bristol,CT,06010,129900,2,1.0,Forestville,780,6969,1942,1,167,,Active,,,http://www.redfin.com/CT/Bristol/245-Morningside-Dr-W-06010/home/54410364,Smart MLS,170290888,N,Y,41.686736,-72.90627
MLS Listing,,Single Family Residential,139 Cliffmore Rd,West Hartford,CT,06107,524900,4,3.5,West Hartford,4082,22651,1964,1,129,,Active,,,http://www.redfin.com/CT/West-Hartford/139-Cliffmore-Rd-06107/home/53964199,Smart MLS,170292333,N,Y,41.7722831,-72.753701
MLS Listing,,Single Family Residential,242 Hollister Dr,East Hartford,CT,06118,190000,3,1.5,Hockanum,1024,8276,1968,1,186,,Active,,,http://www.redfin.com/CT/East-Hartford/242-Hollister-Dr-06118/home/54329297,Smart MLS,170292324,N,Y,41.7405667,-72.6229938
