SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,433 Bryantville Ct,Warwick,RI,02886,229900,2,2.0,Wethersfield Commons,1093,,1983,1,210,336,Active,,,http://www.redfin.com/RI/Warwick/433-Bryantville-Ct-02886/home/51781876,RIS,1252945,N,Y,41.721165,-71.450916
MLS Listing,,Single Family Residential,112 Maplewood Dr,East Greenwich,RI,02818,399000,3,2.0,Meadowbrook,1980,12295,1962,1,202,,Active,,,http://www.redfin.com/RI/East-Greenwich/112-Maplewood-Dr-02818/home/51734885,RIS,1252166,N,Y,41.6436157,-71.4727102
MLS Listing,,Single Family Residential,123 Read Ave,Coventry,RI,02816,189900,3,1.0,Quidnick,1410,3518,1880,1,135,,Active,,,http://www.redfin.com/RI/Coventry/123-Read-Ave-02816/home/51871799,RIS,1252883,N,Y,41.7031894,-71.5346415
MLS Listing,,Single Family Residential,84 Spofford Ave,Warwick,RI,02888,269900,3,2.0,Warwick,2102,10000,1915,1,128,,Active,,,http://www.redfin.com/RI/Warwick/84-Spofford-Ave-02888/home/51776238,RIS,1252921,N,Y,41.7572777,-71.4119626
MLS Listing,,Condo/Co-op,1740 Nooseneck Hill Rd #22,Coventry,RI,02816,204900,2,2.0,Coventry,1200,,2004,1,171,258,Active,,,http://www.redfin.com/RI/Coventry/1740-Nooseneck-Hill-Rd-02816/unit-22/home/51877241,RIS,1252604,N,Y,41.6733485,-71.5952677
MLS Listing,,Single Family Residential,114 Ticonderoga Dr,Warwick,RI,02889,240000,2,1.0,MEADOWBROOK,1488,12145,1955,1,161,,Active,,,http://www.redfin.com/RI/Warwick/114-Ticonderoga-Dr-02889/home/51769577,RIS,1252878,N,Y,41.7080245,-71.3939729
MLS Listing,,Single Family Residential,30 Torch Ln,Coventry,RI,02816,69500,2,2.0,Westwood Estates,952,,1994,1,73,443,Active,,,http://www.redfin.com/RI/Coventry/30-Torch-Ln-02816/home/51876410,RIS,1252865,N,Y,41.6893344,-71.5800221
MLS Listing,,Single Family Residential,591 Fish Hill Rd,Coventry,RI,02816,380000,3,2.5,Coventry,2808,217800,1989,1,135,,Active,,,http://www.redfin.com/RI/Coventry/591-Fish-Hill-Rd-02816/home/51869596,RIS,1252828,N,Y,41.659721,-71.637611
MLS Listing,,Condo/Co-op,17 Bank St Unit A,West Warwick,RI,02893,230000,2,1.0,Gaspee / Pawtuxet Village,1277,5001,1900,1,180,150,Active,,,http://www.redfin.com/RI/West-Warwick/17-Bank-St-02893/unit-A/home/171533466,RIS,1252869,N,Y,41.7047741,-71.522915
MLS Listing,,Single Family Residential,0 Brayton St,West Warwick,RI,02893,289900,3,2.0,West Warwick,1244,5000,2020,1,233,,Active,,,http://www.redfin.com/RI/West-Warwick/Brayton-St-02893/home/171533442,RIS,1252582,N,Y,41.713486,-71.52269
