SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,360 Cushing Rd,Friendship,ME,04547,175000,3,1.0,Friendship,1438,65340,1930,1,122,,Active,,,http://www.redfin.com/ME/Friendship/360-Cushing-Rd-04547/home/66686361,MREIS,1451193,N,Y,44.003946,-69.310108
MLS Listing,,Single Family Residential,70 Wiley Rd,Camden,ME,04843,410000,3,2.0,Camden,2694,196020,1990,1,152,,Active,,,http://www.redfin.com/ME/Camden/70-Wiley-Rd-04843/home/79033287,MREIS,1451161,N,Y,44.2095063,-69.1135312
MLS Listing,,Single Family Residential,54 Union St,Warren,ME,04864,260000,3,2.0,Warren,1700,106722,1870,1,153,,Active,,,http://www.redfin.com/ME/Warren/54-Union-St-04864/home/100256830,MREIS,1451107,N,Y,44.1217673,-69.2412208
MLS Listing,,Vacant Land,0 Collinstown Rd,Appleton,ME,04862,35000,,,Appleton,,304920,,2,,,Active,,,http://www.redfin.com/ME/APPLETON/COLLINSTOWN-RD-04862/home/100094113,MREIS,1451035,N,Y,44.315007,-69.2934
MLS Listing,,Single Family Residential,46 N N Shore Dr,Owls Head,ME,04854,399000,4,3.0,Owls Head,3239,87120,1969,4,123,,Active,,,http://www.redfin.com/ME/Owls-Head/46-N-Shore-Dr-04854/home/100176292,MREIS,1450935,N,Y,44.0805167,-69.095691
MLS Listing,,Single Family Residential,150 Russell Ave,Rockport,ME,04856,2975000,6,6.5,Rockport,9500,37897,1875,4,313,,Active,,,http://www.redfin.com/ME/Rockport/150-Russell-Ave-04856/home/100302298,MREIS,1450864,N,Y,44.186484,-69.069772
MLS Listing,,Single Family Residential,43 Raccoon Ln,Cushing,ME,04563,395000,4,4.5,Cushing,3800,457380,1999,4,104,38,Active,,,http://www.redfin.com/ME/Cushing/43-Raccoon-Ln-04563/home/85803458,MREIS,1450831,N,Y,44.0023046,-69.2921044
MLS Listing,,Single Family Residential,16 Knowlton St,Camden,ME,04843,409000,3,2.0,Camden,1525,15681,1922,4,268,,Active,,,http://www.redfin.com/ME/Camden/16-Knowlton-St-04843/home/100207879,MREIS,1450772,N,Y,44.2106048,-69.070229
MLS Listing,,Single Family Residential,91 Drury Ln,South Thomaston,ME,04858,699000,3,3.0,South Thomaston,1825,229996,2003,4,383,,Active,,,http://www.redfin.com/ME/South-Thomaston/91-Drury-Ln-04858/home/99931975,MREIS,1450765,N,Y,44.0501028,-69.1824378
MLS Listing,,Vacant Land,Lot 12 Raccoon Rd,Cushing,ME,04563,55000,,,Cushing,,52272,,5,,38,Active,,,http://www.redfin.com/ME/Cushing/12-Raccoon-04563/home/171476069,MREIS,1450699,N,Y,44.007976,-69.2862028
