SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,2/AKA 6 Levesque Rd Lot 2/AKA,Hyde Park,VT,05655,45000,,,Hyde Park,,252648,,1,,,Active,,,http://www.redfin.com/VT/Hyde-Park/6-Levesque-Dr-05655/unit-2-AKA/home/171536949,NEREN,4803679,N,Y,44.6219053,-72.5578581
MLS Listing,,Townhouse,199 Mountainside Dr Unit B202,Stowe,VT,05672,159000,2,1.75,Stowe,816,,1971,1,195,709,Active,,,http://www.redfin.com/VT/Stowe/199-Mountainside-Ave-05672/unit-B202/home/91373202,NEREN,4803639,N,Y,44.4776827,-72.7194774
MLS Listing,,Single Family Residential,117 Adams Mill Rd,Stowe,VT,05672,499500,3,2.25,Stowe,1674,33976,1900,1,298,,Active,,,http://www.redfin.com/VT/Stowe/117-Adams-Mill-Rd-05672/home/91345890,NEREN,4803540,N,Y,44.439442,-72.71625
MLS Listing,,Vacant Land,426 Campbell Rd,Morristown,VT,05661,99000,,,Morristown,,444311,,4,,,Active,,,http://www.redfin.com/VT/Morristown/426-Campbell-Rd-05661/home/79151560,NEREN,4803366,N,Y,44.4913236,-72.595287
MLS Listing,,Single Family Residential,169 Douglas Rd,Wolcott,VT,05680,314000,3,2.75,Wolcott,2464,176853,2002,7,127,,Active,,,http://www.redfin.com/VT/Wolcott/169-Douglas-Rd-05680/home/91345597,NEREN,4802756,N,Y,44.544153,-72.50918
MLS Listing,,Single Family Residential,145 Overlook Hl,Wolcott,VT,05680,294000,3,2.0,Wolcott,1608,216928,1989,7,183,,Active,,,http://www.redfin.com/VT/Wolcott/145-Overlook-Hl-05680/home/91345846,NEREN,4802740,N,Y,44.545834,-72.511856
MLS Listing,,Vacant Land,2139 Battle Row Rd Unit Daylight Lot (Green Park West),Hyde Park,VT,05655,29000,,,Hyde Park,,229996,,8,,,Active,,,http://www.redfin.com/VT/Hyde-Park/2139-Battle-Row-Rd-05655/unit-Daylight-Lot-Green-Park-West/home/147708656,NEREN,4802630,N,Y,44.6266913,-72.626371
MLS Listing,,Single Family Residential,760 Valley View Dr,Eden,VT,05653,79900,2,,Eden,600,561924,2012,11,133,,Active,,,http://www.redfin.com/VT/Eden/760-Valley-View-Dr-05652/home/91283126,NEREN,4802378,N,Y,44.727694,-72.52279
MLS Listing,,Single Family Residential,833 Grow Rd,Johnson,VT,05656,649000,3,1.5,Johnson,2118,5934178,1860,12,306,,Active,,,http://www.redfin.com/VT/Johnson/833-Grow-Rd-05656/home/95096626,NEREN,4802158,N,Y,44.601452,-72.671249
MLS Listing,,Vacant Land,0 Mountain Estates Dr #4,Hyde Park,VT,05655,23000,,,Hyde Park,,167706,,13,,,Active,,,http://www.redfin.com/VT/Hyde-Park/Mountain-Ests-05655/unit-4/home/171396740,NEREN,4802086,N,Y,44.6154549068616,-72.579469658947
MLS Listing,,Vacant Land,Mountain Estates Dr Lot 8,Hyde Park,VT,05655,25000,,,Hyde Park,,92782,,14,,,Active,,,http://www.redfin.com/VT/Hyde-Park/Mountain-Ests-05655/unit-8/home/114017065,NEREN,4801964,N,Y,44.61442293569004,-72.57834023942564
MLS Listing,,Vacant Land,6045 VT Rt. 15 Rte,Wolcott,VT,05680,35000,,,Wolcott,,209088,,14,,,Active,,,http://www.redfin.com/VT/Wolcott/6045-VT-15-05680/home/146077199,NEREN,4801913,N,Y,44.5344134,-72.4321164
MLS Listing,,Vacant Land,0 Webster Rd,Hyde Park,VT,05655,142500,,,Hyde Park,,566280,,14,,,Active,,,http://www.redfin.com/VT/Hyde-Park/Webster-Rd-05655/home/101799975,NEREN,4801897,N,Y,44.62373734354957,-72.60894966270446
MLS Listing,,Single Family Residential,189 Upper Springs Rd,Stowe,VT,05672,3950000,4,7.25,Stowe,15460,659934,2001,14,255,233,Active,,,http://www.redfin.com/VT/Stowe/189-Upper-Springs-Rd-05672/home/91372816,NEREN,4801907,N,Y,44.523158,-72.748447
MLS Listing,,Single Family Residential,444 Tjader Rd,Wolcott,VT,05680,320000,0,,Wolcott,,206474,2018,14,,,Active,,,http://www.redfin.com/VT/Wolcott/444-Tjader-Rd-05680/home/160871373,NEREN,4801904,N,Y,44.5568612,-72.5322189
For-Sale-by-Owner Listing,,Single Family Residential,59 Rocky Ledge Rd,Eden,VT,05653,250000,3,2.0,Eden Mills,1960,60983,2007,10,128,,Active,,,http://www.redfin.com/VT/Eden/59-Rocky-Ledge-Rd-05653/home/63517321,Fizber.com,5053904,N,Y,44.71156,-72.5196579
