SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,66 Water St,Wiscasset,ME,04578,349000,4,3.0,Wiscasset,3205,3484,1800,1,109,,Active,,,http://www.redfin.com/ME/Wiscasset/66-Water-St-04578/home/85733598,MREIS,1451080,N,Y,44.0040605,-69.6639265
MLS Listing,,Vacant Land,0 Cindy Cir,Boothbay,ME,04537,59500,,,Boothbay,,42688,,1,,42,Active,,,http://www.redfin.com/ME/Boothbay/Cindy-Cir-04544/home/85764370,MREIS,1451068,N,Y,43.828891,-69.589049
MLS Listing,,Single Family Residential,297 Valley Rd,Jefferson,ME,04348,345000,3,3.0,Jefferson,3546,130680,2000,3,97,,Active,,,http://www.redfin.com/ME/Jefferson/297-Valley-Rd-04348/home/100023197,MREIS,1450971,N,Y,44.2278785,-69.4453276
MLS Listing,,Single Family Residential,3045 Washington Rd,Waldoboro,ME,04572,60100,5,1.0,Waldoboro,1902,145926,1840,4,32,,Active,,,http://www.redfin.com/ME/Waldoboro/3045-Washington-Rd-04572/home/97611811,MREIS,1450958,N,Y,44.1839825,-69.3753496
MLS Listing,,Single Family Residential,46-48 Bradford Rd,Wiscasset,ME,04578,349900,3,2.5,Wiscasset,2281,95832,2007,4,153,,Active,,,http://www.redfin.com/ME/Wiscasset/46-Bradford-Rd-04578/home/146299407,MREIS,1450927,N,Y,44.0052412,-69.6757843
MLS Listing,,Single Family Residential,39 Breakneck Hill Rd,Southport,ME,04576,1950000,5,4.5,Southport,2876,30491,1989,4,678,42,Active,,,http://www.redfin.com/ME/Southport/39-Breakneck-Hill-Rd-04576/home/100282638,MREIS,1450925,N,Y,43.8094087,-69.6545742
MLS Listing,,Single Family Residential,2 Johnson Rd,Wiscasset,ME,04578,159900,3,1.0,Wiscasset,1248,23086,1940,4,128,,Active,,,http://www.redfin.com/ME/Wiscasset/2-Johnson-Rd-04578/home/85733177,MREIS,1450921,N,Y,43.9942613,-69.6830604
MLS Listing,,Condo/Co-op,133 Atlantic Ave Unit 61B,Boothbay Harbor,ME,04538,259900,1,1.0,Boothbay Harbor,756,87120,1985,4,344,338,Active,,,http://www.redfin.com/ME/Boothbay-Harbor/133-Atlantic-Ave-04538/unit-61B/home/106947594,MREIS,1450836,N,Y,43.8436928,-69.625841
MLS Listing,,Single Family Residential,27 Graham Ln,Jefferson,ME,04348,349000,4,3.5,Jefferson,2380,148539,2015,4,147,,Active,,,http://www.redfin.com/ME/Jefferson/27-Graham-Ln-04348/home/171494201,MREIS,1450830,N,Y,44.1775721,-69.4639845
MLS Listing,,Vacant Land,0 Brook Rd,Wiscasset,ME,04578,75000,,,Wiscasset,,1481040,,5,,,Active,,,http://www.redfin.com/ME/Wiscasset/Ward-Brook-Rd-04578/home/113450893,MREIS,1450694,N,Y,43.991551,-69.693123
MLS Listing,,Single Family Residential,370 Cedar Grove Rd,Dresden,ME,04342,197000,1,2.0,Dresden,997,25264,1960,5,198,,Active,,,http://www.redfin.com/ME/Dresden/370-Cedar-Grove-Rd-04342/home/85813158,MREIS,1450674,N,Y,44.1166414,-69.7630113
MLS Listing,,Single Family Residential,21 Clarks Cove Rd,South Bristol,ME,04573,385000,3,1.5,South Bristol,2300,145054,1875,6,167,,Active,,,http://www.redfin.com/ME/Walpole/21-Clarks-Cove-Rd-04573/home/100109650,MREIS,1450573,N,Y,43.9501463,-69.5590817
MLS Listing,,Condo/Co-op,8 McFarland Point Dr #32,Boothbay Harbor,ME,04538,318000,2,2.5,Boothbay Harbor,1320,217800,1986,6,241,329,Active,,,http://www.redfin.com/ME/Boothbay-Harbor/8-McFarland-Point-Dr-04538/unit-32/home/106947716,MREIS,1450566,N,Y,43.8506343,-69.6319076
MLS Listing,,Vacant Land,00 Perkins Point Rd,Newcastle,ME,04553,82500,,,Newcastle,,165528,,8,,58,Active,,,http://www.redfin.com/ME/Damariscotta-Newcastle/Perkins-Point-Rd-04553/home/97690303,MREIS,1450435,N,Y,43.998719,-69.549227
MLS Listing,,Single Family Residential,37 Thompson Inn Rd,South Bristol,ME,04568,889900,4,2.5,South Bristol,2600,59241,1997,8,342,42,Active,,,http://www.redfin.com/ME/South-Bristol/37-Fire-Rd-16-04568/home/100110218,MREIS,1450432,N,Y,43.8648667,-69.5556456
MLS Listing,,Single Family Residential,295 Depot St,Waldoboro,ME,04572,275000,4,1.5,Waldoboro,3110,225640,1888,10,88,,Active,,,http://www.redfin.com/ME/Waldoboro/295-Depot-St-04572/home/97610776,MREIS,1450290,N,Y,44.1087594,-69.3863908
MLS Listing,,Single Family Residential,48 Juniper Ln,Damariscotta,ME,04543,435000,3,2.0,Damariscotta,1525,21780,1955,11,285,,Active,,,http://www.redfin.com/ME/Damariscotta/48-Juniper-Ln-04543/home/97694990,MREIS,1450277,N,Y,44.0191314,-69.4722763
MLS Listing,,Single Family Residential,80 John Gay Rd,South Bristol,ME,04568,2195000,4,4.0,South Bristol,3900,289674,2010,11,563,15,Active,,,http://www.redfin.com/ME/South-Bristol/80-John-Gay-Rd-04568/home/76510198,MREIS,1450264,N,Y,43.8640565,-69.5520662
MLS Listing,,Single Family Residential,832 River Rd,Edgecomb,ME,04556,875000,3,3.5,Edgecomb,3852,1306800,1993,11,227,,Active,,,http://www.redfin.com/ME/Edgecomb/832-River-Rd-04556/home/97690708,MREIS,1450255,N,Y,43.9850289,-69.574918
MLS Listing,,Single Family Residential,41 Hendricks Hill Rd,Southport,ME,04576,775000,6,6.0,Southport,3316,65340,1860,12,234,,Active,,,http://www.redfin.com/ME/Southport/41-Hendricks-Hill-Rd-04576/home/100281987,MREIS,1450151,N,Y,43.8409346,-69.6575728
MLS Listing,,Vacant Land,19 By Way,Boothbay Harbor,ME,04538,1850000,,,Boothbay Harbor,,29620,,13,,,Active,,,http://www.redfin.com/ME/Boothbay-Harbor/19-By-Way-04538/home/148491814,MREIS,1450029,N,Y,43.8519768,-69.6275674
MLS Listing,,Single Family Residential,50 & 52 Union St,Boothbay Harbor,ME,04538,650000,3,1.0,Boothbay Harbor,4911,23086,1855,13,132,,Active,,,http://www.redfin.com/ME/Boothbay-Harbor/52-Union-St-04538/home/171394349,MREIS,1450012,N,Y,43.852995,-69.623412
MLS Listing,,Single Family Residential,54 Lake Farm Cir,Jefferson,ME,04348,75000,0,,Jefferson,759,435,2020,14,99,125,Active,,,http://www.redfin.com/ME/Jefferson/54-Lake-Farm-Cir-04348/home/100024770,MREIS,1449981,N,Y,44.2013173,-69.4778373
MLS Listing,,Single Family Residential,103 Old County Rd,Waldoboro,ME,04572,139900,3,1.0,Waldoboro,928,43560,1900,14,151,,Active,,,http://www.redfin.com/ME/Waldoboro/103-Old-County-Rd-04572/home/97611376,MREIS,1449970,N,Y,44.0807393,-69.4010579
MLS Listing,,Single Family Residential,838 Ocean Point Rd,Boothbay,ME,04544,850000,2,2.5,Boothbay,2093,217800,1982,14,406,,Active,,,http://www.redfin.com/ME/East-Boothbay/838-Ocean-Point-Rd-04544/home/85763641,MREIS,1449960,N,Y,43.8356926,-69.5910969
For-Sale-by-Owner Listing,,Single Family Residential,12 Bennett Rd,Nobleboro,ME,04555,348000,3,2.0,Nobleboro,2000,,2020,1,174,,Active,,,http://www.redfin.com/ME/Nobleboro/12-Bennett-Rd-04555/home/171544521,FSBO.com,515954,N,Y,44.0816311,-69.4536803
