SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,58 Southbury Rd,Roxbury,CT,06783,875000,4,3.0,Roxbury,3115,151153,2014,1,281,,Active,,,http://www.redfin.com/CT/Roxbury/58-Southbury-Rd-06783/home/107685514,Smart MLS,170282909,N,Y,41.5528348,-73.2981194
MLS Listing,,Single Family Residential,1420 Middlebury Rd,Watertown,CT,06795,269900,3,1.5,Watertown,1472,48787,1955,1,183,,Active,,,http://www.redfin.com/CT/Watertown/1420-Middlebury-Rd-06795/home/107310714,Smart MLS,170280375,N,Y,41.5663123,-73.1188133
MLS Listing,,Vacant Land,0 Davis Rd,Harwinton,CT,06791,44500,,,Lake Harwinton,,50529,,1,,,Active,,,http://www.redfin.com/CT/Harwinton/Davis-Rd-06791/home/107254068,Smart MLS,170282160,N,Y,41.777626,-73.079659
MLS Listing,,Vacant Land,28 Reed Rd,Warren,CT,06754,140000,,,Warren,,329749,,1,,,Active,,,http://www.redfin.com/CT/Warren/28-Reed-Rd-06754/home/107620513,Smart MLS,170282382,N,Y,41.739567,-73.357352
MLS Listing,,Single Family Residential,292 Todd Hollow Rd,Plymouth,CT,06782,174900,3,1.0,Hancock,1052,28749,1955,1,166,,Active,,,http://www.redfin.com/CT/Plymouth/292-Todd-Hollow-Rd-06782/home/107248791,Smart MLS,170282568,N,Y,41.6550254,-73.0353055
MLS Listing,,Multi-Family (2-4 Unit),351 N Main St,Winchester,CT,06098,89000,2,2.0,Winchester,1722,6969,1870,1,52,,Active,,,http://www.redfin.com/CT/Winsted/351-N-Main-St-06098/home/170039835,Smart MLS,170282802,N,Y,41.9326972,-73.0580885
MLS Listing,,Single Family Residential,1953 Litchfield Rd,Watertown,CT,06795,259000,3,2.0,Watertown,1588,87991,1951,1,163,,Active,,,http://www.redfin.com/CT/Watertown/1953-Litchfield-Rd-06795/home/107309515,Smart MLS,170272421,N,Y,41.6563393,-73.1542066
MLS Listing,,Single Family Residential,4 Goodwin St,Winchester,CT,06098,179900,3,2.0,Winsted,1600,29620,1982,1,112,,Active,,,http://www.redfin.com/CT/Winsted/4-Goodwin-St-06098/home/107610116,Smart MLS,170282788,N,Y,41.9287,-73.0484822
MLS Listing,,Single Family Residential,217 Perch Rock Trl,Winchester,CT,06098,177900,2,1.0,Winchester,908,5227,1940,1,196,4,Active,,,http://www.redfin.com/CT/Winsted/217-Perch-Rock-Trl-06098/home/107324111,Smart MLS,170282726,N,Y,41.9158409,-73.0888685
MLS Listing,,Single Family Residential,44 Lakeside Rd,Morris,CT,06758,879900,3,3.0,N/A,2417,153331,1916,1,364,,Active,,,http://www.redfin.com/CT/MORRIS/44-LAKESIDE-RD-06763/home/107306278,Smart MLS,170281955,N,Y,41.683885,-73.233844
MLS Listing,,Single Family Residential,15 Farnham Rd,Morris,CT,06763,379900,3,2.5,Morris,3392,43995,2015,1,112,,Active,,,http://www.redfin.com/CT/Morris/15-Farnham-Rd-06763/home/107306139,Smart MLS,170282693,N,Y,41.6827162,-73.1654077
MLS Listing,,Single Family Residential,168 Kent Rd,Warren,CT,06754,539000,4,2.5,Warren,3264,193842,2006,1,165,,Active,,,http://www.redfin.com/CT/Warren/168-Kent-Rd-06754/home/107620932,Smart MLS,170282680,N,Y,41.7415116,-73.3789515
MLS Listing,,Single Family Residential,591 Buckingham St,Watertown,CT,06779,154900,3,1.0,Oakville,1248,28314,1957,1,124,,Active,,,http://www.redfin.com/CT/Oakville/591-Buckingham-St-06779/home/107308672,Smart MLS,170281031,N,Y,41.6023473,-73.0878642
MLS Listing,,Single Family Residential,16 Prospect St,Watertown,CT,06779,129000,2,1.0,Oakville,988,4791,1932,1,131,,Active,,,http://www.redfin.com/CT/Watertown/16-Prospect-St-06779/home/107308326,Smart MLS,170282247,N,Y,41.5848341,-73.0897039
