SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,28 Brick School Rd,Warren,CT,06754,264900,3,2.0,Warren,2282,115434,1981,1,116,,Active,,,http://www.redfin.com/CT/Warren/28-Brick-School-Rd-06754/home/107620807,Smart MLS,170292434,N,Y,41.7452831,-73.3929041
MLS Listing,,Single Family Residential,7 Mountain View Ln,North Canaan,CT,06018,399000,3,2.0,Canaan Village,2735,177289,1995,1,146,,Active,,,http://www.redfin.com/CT/Canaan/7-Mountain-View-Ln-06018/home/107273543,Smart MLS,170292416,N,Y,42.037446,-73.2779501
MLS Listing,,Single Family Residential,153 Carmen Hill Rd,New Milford,CT,06776,305000,3,1.5,Candlewood Lake,1028,17424,1976,1,297,13,Active,,,http://www.redfin.com/CT/New-Milford/153-Carmen-Hill-Rd-06776/home/107726243,Smart MLS,170292254,N,Y,41.5111027,-73.4331171
MLS Listing,,Multi-Family (2-4 Unit),16 Oak St,Plymouth,CT,06786,150000,0,,Terryville,1473,9583,1918,1,102,,Active,,,http://www.redfin.com/CT/Terryville/16-Oak-St-06786/home/107244460,Smart MLS,170292093,N,Y,41.6770241,-73.0190055
MLS Listing,,Single Family Residential,101 N Shore Rd,Litchfield,CT,06750,249900,3,1.0,Bantam,894,6969,1956,1,280,,Active,,,http://www.redfin.com/CT/Bantam/101-N-Shore-Rd-06750/home/109713333,Smart MLS,170292371,N,Y,41.7135996,-73.226329
MLS Listing,,Vacant Land,00 Lime Rock Rd,Salisbury,CT,06068,960000,,,Lime Rock,,4967582,,1,,,Active,,,http://www.redfin.com/CT/Salisbury/00-Lime-Rock-RD-06068/home/171533636,Smart MLS,170292338,N,Y,41.929402,-73.36717
MLS Listing,,Single Family Residential,408 Kent Cornwall Rd,Kent,CT,06757,352000,4,2.5,Kent,2399,196020,1968,1,147,,Active,,,http://www.redfin.com/CT/Kent/408-Kent-Cornwall-Rd-06757/home/107316534,Smart MLS,170292297,N,Y,41.7712815,-73.4197476
MLS Listing,,Single Family Residential,674 Walnut Hill Rd,Thomaston,CT,06787,195000,3,1.5,Thomaston,1644,24393,1965,1,119,,Active,,,http://www.redfin.com/CT/Thomaston/674-Walnut-Hill-Rd-06787/home/107270761,Smart MLS,170292287,N,Y,41.6855567,-73.1007371
MLS Listing,,Single Family Residential,5 Mohawk ACR,New Milford,CT,06776,299000,3,2.0,New Milford,1712,55321,1986,1,175,,Active,,,http://www.redfin.com/CT/New-Milford/5-Mohawk-Acres-06776/home/107728414,Smart MLS,170290445,N,Y,41.6058099,-73.4153724
MLS Listing,,Single Family Residential,55 Hammertown Rd,Salisbury,CT,06068,495000,2,1.5,Taconic,925,200811,1916,1,535,,Active,,,http://www.redfin.com/CT/Salisbury/55-Hammertown-Rd-06068/home/107174555,Smart MLS,170292160,N,Y,42.0429226,-73.4142687
MLS Listing,,Single Family Residential,50 Hammertown Rd,Salisbury,CT,06068,395000,3,1.0,Taconic,1574,109771,1900,1,251,,Active,,,http://www.redfin.com/CT/Salisbury/50-Hammertown-Rd-06068/home/107174574,Smart MLS,170292153,N,Y,42.043538,-73.4153737
MLS Listing,,Vacant Land,000 Taconic Rd,Salisbury,CT,06068,525000,,,Taconic,,308404,,1,,,Active,,,http://www.redfin.com/CT/SALISBURY/TACONIC-RD-06068/home/107173685,Smart MLS,170292147,N,Y,42.036656,-73.408966
MLS Listing,,Single Family Residential,125 Pleasantview St,Watertown,CT,06779,99900,3,1.5,Oakville,1288,11761,1970,1,78,,Active,,,http://www.redfin.com/CT/Watertown/125-Pleasantview-St-06779/home/107308644,Smart MLS,170291984,N,Y,41.5945612,-73.08546
MLS Listing,,Single Family Residential,189 Moore Dr,Torrington,CT,06790,99000,2,1.5,Torrington,1620,12196,1978,1,61,,Active,,,http://www.redfin.com/CT/Torrington/189-Moore-Dr-06790/home/107288970,Smart MLS,170291266,N,Y,41.8093613,-73.088602
MLS Listing,,Single Family Residential,4 Apple Way,Salisbury,CT,06039,349900,3,2.0,Lakeville,1956,33976,1761,1,179,,Active,,,http://www.redfin.com/CT/Lakeville/4-Apple-Way-06039/home/107175127,Smart MLS,170292103,N,Y,41.9576172,-73.4596153
MLS Listing,,Single Family Residential,91 Eno Ave,Torrington,CT,06790,154900,2,1.5,N/A,1508,13939,1940,2,103,,Active,,,http://www.redfin.com/CT/Torrington/91-Eno-Ave-06790/home/107289720,Smart MLS,170292077,N,Y,41.8044289,-73.1079672
MLS Listing,,Single Family Residential,3 Mountain View Dr,New Milford,CT,06776,284900,4,2.5,Mountain View Terrace,2252,31363,1970,2,127,,Active,,,http://www.redfin.com/CT/New-Milford/3-Mountain-View-Dr-06776/home/107704168,Smart MLS,170292066,N,Y,41.61299,-73.4023895
MLS Listing,,Single Family Residential,3 Lamotte Rd,Salisbury,CT,06068,1400000,3,2.5,Lakeville,2229,239580,1985,2,628,,Active,,,http://www.redfin.com/CT/Salisbury/3-La-Motte-Rd-06068/home/107174218,Smart MLS,170291971,N,Y,42.039544,-73.406674
MLS Listing,,Vacant Land,4 Cattle Drive Ct,Chico,CA,,199000,,,Chico,,43560,,2,,,Active,,,http://www.redfin.com/CT/Unknown/Unknown-Unknown/home/171522308,CRMLS,SN20083787,N,Y,41.6032207,-73.087749
MLS Listing,,Single Family Residential,59 Foote Ave,North Canaan,CT,06018,184000,3,2.0,North Canaan,1432,21780,1910,2,128,,Active,,,http://www.redfin.com/CT/Canaan/59-Foote-Ave-06018/home/107273496,Smart MLS,170292060,N,Y,42.0295885,-73.3314894
MLS Listing,,Vacant Land,3 Cattle Drive Ct,Chico,CA,,189000,,,Chico,,43560,,2,,,Active,,,http://www.redfin.com/CT/Unknown/Unknown-Unknown/home/171522234,CRMLS,SN20083782,N,Y,41.6032207,-73.087749
MLS Listing,,Vacant Land,2 Cattle Drive Ct,Chico,CA,,175000,,,Chico,,43560,,2,,,Active,,,http://www.redfin.com/CT/Unknown/Unknown-Unknown/home/171522005,CRMLS,SN20083768,N,Y,41.6032207,-73.087749
MLS Listing,,Single Family Residential,86 Glendale Ave,Winchester,CT,06098,195000,3,2.0,Winsted,1750,35283,1948,2,111,,Active,,,http://www.redfin.com/CT/Winsted/86-Glendale-Ave-06098/home/107324041,Smart MLS,170292046,N,Y,41.9170415,-73.0507755
MLS Listing,,Single Family Residential,222 Town Hill Rd,Plymouth,CT,06786,189900,3,1.5,Terryville,1165,96703,1986,2,163,,Active,,,http://www.redfin.com/CT/Terryville/222-Town-Hill-Rd-06786/home/107246336,Smart MLS,170291947,N,Y,41.6638781,-73.0218603
MLS Listing,,Single Family Residential,144 Curtis Rd,Bridgewater,CT,06752,1895000,5,5.0,Bridgewater,7209,138520,1981,3,263,,Active,,,http://www.redfin.com/CT/Bridgewater/144-Curtis-Rd-06752/home/107272218,Smart MLS,170291767,N,Y,41.5443554,-73.3803579
MLS Listing,,Condo/Co-op,15 Aspetuck Vlg #15,New Milford,CT,06776,89900,1,1.0,Aspetuck District,578,,1982,3,156,176,Active,,,http://www.redfin.com/CT/New-Milford/15-Aspetuck-Vlg-06776/unit-15/home/171497976,Smart MLS,170290595,N,Y,41.5898031,-73.4209005
MLS Listing,,Vacant Land,0 Preston Ln,Salisbury,CT,06068,296000,,,Salisbury,,45302,,3,,,Active,,,http://www.redfin.com/CT/SALISBURY/PRESTON-LN-06068/home/107174177,Smart MLS,170291866,N,Y,42.033866,-73.400608
MLS Listing,,Single Family Residential,17 Lovely St,Plymouth,CT,06786,39900,2,1.0,Terryville,980,,1977,3,41,504,Active,,,http://www.redfin.com/CT/Terryville/17-Lovely-St-06786/home/107244967,Smart MLS,170291367,N,Y,41.6837365,-73.0273443
MLS Listing,,Single Family Residential,55 Hard Hill Rd N,Bethlehem,CT,06751,360000,3,2.5,Bethlehem,2379,131986,1980,3,151,,Active,,,http://www.redfin.com/CT/Bethlehem/55-Hard-Hill-Rd-N-06751/home/107242237,Smart MLS,170291042,N,Y,41.6535973,-73.1788207
MLS Listing,,Single Family Residential,25 Sandstrom Rd,Washington,CT,06777,379000,4,1.5,New Preston,2052,46609,1948,3,185,,Active,,,http://www.redfin.com/CT/New-Preston/25-Sandstrom-Rd-06777/home/107172174,Smart MLS,170291179,N,Y,41.6823182,-73.3499383
MLS Listing,,Single Family Residential,104 Belden St,Canaan,CT,06031,365000,4,3.5,Falls Village,2422,361112,1973,3,151,,Active,,,http://www.redfin.com/CT/Falls-Village/104-Belden-St-06031/home/107076788,Smart MLS,170290591,N,Y,41.9888187,-73.3592155
MLS Listing,,Single Family Residential,30 Laurel Way,Norfolk,CT,06058,1095000,6,3.5,Norfolk,5573,118918,1895,3,196,,Active,,,http://www.redfin.com/CT/Norfolk-Historic-District/30-Laurel-Way-06058/home/107274906,Smart MLS,170280435,N,Y,41.9927733,-73.1914033
MLS Listing,,Multi-Family (2-4 Unit),41 Maple Ave,Norfolk,CT,06058,439000,8,4.0,Norfolk,3634,20908,1900,3,121,,Active,,,http://www.redfin.com/CT/Norfolk-Historic-District/41-Maple-Ave-06058/home/107274916,Smart MLS,170289353,N,Y,41.991923,-73.196352
MLS Listing,,Single Family Residential,22 Bexley Ct,Goshen,CT,06756,475000,4,3.5,Woodridge Lake,2474,36590,2010,3,192,152,Active,,,http://www.redfin.com/CT/Goshen/22-Bexley-Ct-06756/home/107319036,Smart MLS,170280443,N,Y,41.7936863,-73.2521631
MLS Listing,,Vacant Land,0 Allyndale Rd,North Canaan,CT,06018,89000,,,East Canaan,,239580,,3,,,Active,,,http://www.redfin.com/CT/CANAAN/ALLYNDALE-RD-06018/home/107274137,Smart MLS,170291529,N,Y,42.043988,-73.305405
MLS Listing,,Single Family Residential,111 Malletts Ln,New Milford,CT,06776,274999,4,2.0,New Milford,1700,10018,1870,3,162,,Active,,,http://www.redfin.com/CT/New-Milford/111-Malletts-Ln-06776/home/107725706,Smart MLS,170291597,N,Y,41.5794175,-73.4027578
MLS Listing,,Condo/Co-op,87 Canaan Rd Unit 3D,Salisbury,CT,06068,395000,2,2.5,Salisbury,1624,,1984,3,243,900,Active,,,http://www.redfin.com/CT/Salisbury/87-Canaan-Rd-06068/unit-3D/home/107174374,Smart MLS,170291514,N,Y,41.9903196,-73.4164363
MLS Listing,,Single Family Residential,133 Lindberg St,Torrington,CT,06790,59900,4,2.0,Torrington,1188,14374,1980,4,50,,Active,,,http://www.redfin.com/CT/Torrington/133-Lindbergh-St-06790/unit-A/home/107295166,Smart MLS,170291349,N,Y,41.8198653,-73.1000301
MLS Listing,,Single Family Residential,380 Sharon Goshen Tpke,Cornwall,CT,06796,330000,3,1.5,West Cornwall,907,171626,1800,4,364,,Active,,,http://www.redfin.com/CT/West-Cornwall/380-Sharon-Goshen-Tpke-06796/home/107275796,Smart MLS,170291258,N,Y,41.8739942,-73.3566623
MLS Listing,,Single Family Residential,62 Highwood Ave,Watertown,CT,06779,209900,3,2.0,Oakville,1480,6969,1971,4,142,,Active,,,http://www.redfin.com/CT/Oakville/62-Highwood-Ave-06779/home/107311388,Smart MLS,170291556,N,Y,41.5940873,-73.0946521
MLS Listing,,Multi-Family (2-4 Unit),80-82 Cherry St,Torrington,CT,06790,127000,4,2.0,Torrington,2708,5662,1900,4,47,,Active,,,http://www.redfin.com/CT/Torrington/80-Cherry-St-06790/home/107289405,Smart MLS,170291557,N,Y,41.8081539,-73.1321714
MLS Listing,,Condo/Co-op,7 Upper Cmns #7,Woodbury,CT,06798,155000,3,2.5,Woodlake,1640,,1980,4,95,330,Active,,,http://www.redfin.com/CT/Woodbury/7-Upper-Cmns-06798/unit-7/home/171477176,Smart MLS,170291461,N,Y,41.5126028,-73.2294573
MLS Listing,,Single Family Residential,80 Hickory Hill Rd,Morris,CT,06763,269900,4,3.0,Lakeside,1591,81457,1948,4,170,,Active,,,http://www.redfin.com/CT/Morris/80-Hickory-Hill-Rd-06763/home/107306521,Smart MLS,170290903,N,Y,41.6739936,-73.2426876
MLS Listing,,Single Family Residential,73 East St,Sharon,CT,06069,335000,2,1.0,Sharon,950,398574,1935,4,353,,Active,,,http://www.redfin.com/CT/Sharon/73-East-St-06069/home/107175839,Smart MLS,170291499,N,Y,41.805238,-73.4796269
MLS Listing,,Single Family Residential,259 Nova Scotia Hill Rd,Watertown,CT,06795,489500,3,4.0,Taft School,3832,44431,1990,4,128,,Active,,,http://www.redfin.com/CT/Watertown/259-Nova-Scotia-Hill-Rd-06795/home/107309092,Smart MLS,170263237,N,Y,41.6170438,-73.1071373
