SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Ridgewood Rd,Middletown,CT,06457,334375,4,2.5,Middletown,1810,18295,2020,1,185,,Active,,,http://www.redfin.com/CT/Middletown/11-Ridgewood-Rd-06457/home/147377907,Smart MLS,170292280,N,Y,41.5639687,-72.6906261
MLS Listing,,Single Family Residential,25 Wheeler Hill Dr,Durham,CT,06422,319900,3,2.0,Durham Center,1404,26136,1966,1,228,,Active,,,http://www.redfin.com/CT/Durham/25-Wheeler-Hill-Dr-06422/home/54015908,Smart MLS,170292271,N,Y,41.4828841,-72.6668464
MLS Listing,,Vacant Land,20 Lot 13 Skyline Dr,East Hampton,CT,06424,134900,,,Pocotopaug Lake,,53143,,1,,17,Active,,,http://www.redfin.com/CT/East-Hampton/13-Skyline-Dr-06424/home/171532673,Smart MLS,170292249,N,Y,41.5956853,-72.5197261
MLS Listing,,Single Family Residential,13 Groveway,Clinton,CT,06413,1795000,4,3.0,Grove Beach,3020,10454,2007,1,594,16,Active,,,http://www.redfin.com/CT/Clinton/13-Grove-Way-06413/home/53955721,Smart MLS,170292105,N,Y,41.2687396,-72.4934678
MLS Listing,,Single Family Residential,69 Little Meadow Rd,Haddam,CT,06438,439900,1,1.0,Haddam,560,54885,1955,1,786,,Active,,,http://www.redfin.com/CT/Haddam/69-Little-Meadow-Rd-06438/home/53705331,Smart MLS,170291527,N,Y,41.447168,-72.464843
MLS Listing,,Single Family Residential,538 Winthrop Rd Unit 9 & 11,Deep River,CT,06417,379000,4,2.5,Deep River,2006,25700,1947,1,189,,Active,,,http://www.redfin.com/CT/Deep-River/538-Winthrop-Rd-06417/unit-9-11/home/171526911,Smart MLS,170291988,N,Y,41.3599284,-72.5007027
MLS Listing,,Single Family Residential,65 Bokum Rd,Chester,CT,06412,699000,4,4.0,Chester,3856,1048053,1979,2,181,,Active,,,http://www.redfin.com/CT/Chester/65-Bokum-Rd-06412/home/54024894,Smart MLS,170286548,N,Y,41.3898473,-72.4527814
MLS Listing,,Single Family Residential,17 E Woods Trl,Durham,CT,06422,415000,4,2.5,Durham,2400,101494,2007,2,173,,Active,,,http://www.redfin.com/CT/Durham/17-E-Woods-Trl-06422/home/54014200,Smart MLS,170291678,N,Y,41.4570089,-72.653529
MLS Listing,,Single Family Residential,14 Seabreeze Rd,Old Saybrook,CT,06475,449900,4,2.0,Cornfield Point,1368,3920,1953,2,329,42,Active,,,http://www.redfin.com/CT/Old-Saybrook/14-Seabreeze-Rd-06475/home/54422546,Smart MLS,170291040,N,Y,41.2662408,-72.3854934
MLS Listing,,Single Family Residential,399 Pine St,Middletown,CT,06457,314900,3,1.5,Middletown,1963,74052,1941,2,160,,Active,,,http://www.redfin.com/CT/Middletown/399-Pine-St-06457/home/54064617,Smart MLS,170291974,N,Y,41.5416368,-72.661148
