SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,29 Westminster Dr #29,Marlborough,MA,01752,374900,2,2.5,Marlborough,1795,,1998,4,209,381,Active,,,http://www.redfin.com/MA/Marlborough/29-Westminster-Dr-01752/unit-29/home/96097334,MLS PIN,72650042,N,Y,42.3501076,-71.5149593
MLS Listing,,Single Family Residential,141 Lowell Rd,Pepperell,MA,01463,347800,3,1.0,Pepperell,1332,60984,1996,5,261,,Active,,,http://www.redfin.com/MA/Pepperell/141-Lowell-Rd-01463/home/11429571,MLS PIN,72649501,N,Y,42.6666755,-71.5375047
MLS Listing,,Single Family Residential,27 Nashua St,Ayer,MA,01432,409900,3,2.5,Ayer,2151,8276,1955,6,191,,Active,,,http://www.redfin.com/MA/Ayer/27-Nashua-St-01432/home/11370403,MLS PIN,72648888,N,Y,42.5639156,-71.5846452
MLS Listing,,Condo/Co-op,58 Almont St #12,Malden,MA,02148,409900,2,1.0,Malden,990,,1951,12,414,379,Active,,,http://www.redfin.com/MA/Malden/58-Almont-St-02148/unit-12/home/11429092,MLS PIN,72646959,N,Y,42.4274776,-71.0571714
MLS Listing,,Single Family Residential,84 Park Avenue Ext,Arlington,MA,02475,775000,5,3.0,Arlington,2818,5820,1927,20,275,,Active,,,http://www.redfin.com/MA/Arlington/84-Park-Avenue-Ext-02474/home/8429453,MLS PIN,72644248,N,Y,42.4287587,-71.1790832
MLS Listing,,Townhouse,15 Gay St #15,Chelmsford,MA,01863,299900,3,2.0,Chelmsford,1785,,1831,27,168,215,Active,,,http://www.redfin.com/MA/Chelmsford/15-Gay-St-01863/unit-15/home/148117957,MLS PIN,72642131,N,Y,42.6377254,-71.3799389
MLS Listing,,Single Family Residential,101 Hemlock Dr,Holliston,MA,01746,289900,4,1.5,Holliston,1300,22216,1964,32,223,,Active,,,http://www.redfin.com/MA/Holliston/101-Hemlock-Dr-01746/home/11604152,MLS PIN,72640831,N,Y,42.1833916,-71.4521298
MLS Listing,,Condo/Co-op,9 Greene St #1,Somerville,MA,02143,999500,3,3.0,Somerville,1882,,1900,33,531,,Active,,,http://www.redfin.com/MA/Somerville/9-Greene-St-02143/unit-1/home/54816367,MLS PIN,72640272,N,Y,42.384342,-71.1036266
MLS Listing,,Townhouse,122 Broadmeadow St Unit D,Marlborough,MA,01752,339900,2,2.5,Marlborough,1835,,1986,33,185,430,Active,,,http://www.redfin.com/MA/Marlborough/122-Broadmeadow-St-01752/unit-D/home/11640961,MLS PIN,72640168,N,Y,42.341299257,-71.5097344
MLS Listing,,Condo/Co-op,300 Tremont St #9,Newton,MA,02458,519000,2,2.0,Newton,967,25704,1967,39,537,439,Active,,,http://www.redfin.com/MA/Newton/300-Tremont-St-02458/unit-9/home/11472720,MLS PIN,72638417,N,Y,42.3542775,-71.1807221
