SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),107 Main St,Nantucket,MA,02554,2575000,7,7.5,Nantucket,,4281,1740,3,,,Active,,,http://www.redfin.com/MA/Nantucket/107-Main-St-02554/unit-A/home/111199086,CCIMLS,22002505,N,Y,41.2812225,-70.1035133
MLS Listing,,Single Family Residential,5 Milk St,Nantucket,MA,02554,4100000,6,5.5,Nantucket,7178,7841,1830,6,571,,Active,,,http://www.redfin.com/MA/Nantucket/5-Milk-St-02554/home/111195522,CCIMLS,22002430,N,Y,41.2805131,-70.1038334
MLS Listing,,Single Family Residential,1 Barnabas Ln,Nantucket,MA,02554,6464000,7,8.0,Nantucket,6200,,2018,7,1043,,Active,,,http://www.redfin.com/MA/Nantucket/1-Barnabas-Ln-02554/home/102301763,CCIMLS,22002414,N,Y,41.2834485,-70.1082223
MLS Listing,,Single Family Residential,343 Polpis Rd,Nantucket,MA,02554,2995000,5,5.5,Nantucket,3880,143748,1982,15,772,,Active,,,http://www.redfin.com/MA/Nantucket/343-Polpis-Rd-02554/home/111216884,CCIMLS,22002286,N,Y,41.2904864,-69.9916727
MLS Listing,,Condo/Co-op,7 B Park Cir Unit B,Nantucket,MA,02554,799000,3,2.5,Nantucket,1795,,2006,18,445,,Active,,,http://www.redfin.com/MA/Nantucket/7-Park-Cir-02554/unit-B/home/111229666,CCIMLS,22002255,N,Y,41.2651835,-70.0598817
MLS Listing,,Single Family Residential,85 Millbrook Rd,Nantucket,MA,02554,4595000,4,6.0,Nantucket,8115,98446,1986,19,566,,Active,,,http://www.redfin.com/MA/Nantucket/85-Millbrook-Rd-02554/home/111203084,CCIMLS,22002244,N,Y,41.2815811,-70.1287192
MLS Listing,,Vacant Land,38 Monohansett Rd,Nantucket,MA,02554,799000,,,Nantucket,,80150,,19,,,Active,,,http://www.redfin.com/MA/Nantucket/38-Monohansett-Rd-02554/home/111222909,CCIMLS,22002242,N,Y,41.2530209,-70.070385
MLS Listing,,Single Family Residential,36 West Chester St,Nantucket,MA,02554,5100000,5,6.0,Nantucket,5300,11326,2012,19,962,,Active,,,http://www.redfin.com/MA/Nantucket/36-W-Chester-St-02554/home/111202724,CCIMLS,22002236,N,Y,41.2867603,-70.1070198
MLS Listing,,Single Family Residential,37 Macys Ln,Nantucket,MA,02554,690000,3,1.0,Nantucket,1700,7841,1999,26,406,,Active,,,http://www.redfin.com/MA/Nantucket/37-Macys-Ln-02554/home/77363615,CCIMLS,22002155,N,Y,41.2635128,-70.0633628
MLS Listing,,Single Family Residential,54 Goldfinch Dr,Nantucket,MA,02554,1395000,4,3.5,Nantucket,2638,4792,1995,43,529,,Active,,,http://www.redfin.com/MA/Nantucket/54-Goldfinch-Dr-02554/home/111210610,CCIMLS,22001856,N,Y,41.2655917,-70.0730388
MLS Listing,,Single Family Residential,1 Valley View Dr,Nantucket,MA,02554,1250000,3,3.0,Nantucket,2595,7841,1996,46,482,,Active,,,http://www.redfin.com/MA/Nantucket/1-Valley-View-Dr-02554/home/111203244,CCIMLS,22001820,N,Y,41.2626976,-70.1031357
MLS Listing,,Single Family Residential,12 Academy Ln,Nantucket,MA,02554,2495000,5,3.0,Nantucket,1792,4356,1842,55,1392,,Active,,,http://www.redfin.com/MA/Nantucket/12-Academy-Ln-02554/home/111207220,CCIMLS,22001552,N,Y,41.2853537,-70.1024379
MLS Listing,,Single Family Residential,15 Williams St,Nantucket,MA,02554,2595000,5,4.5,Nantucket,3940,6098,2006,55,659,,Active,,,http://www.redfin.com/MA/Nantucket/15-Williams-St-02554/home/111206728,CCIMLS,22001549,N,Y,41.2751378,-70.0961582
MLS Listing,,Single Family Residential,3 Weatherly Pl,Nantucket,MA,02554,1195000,3,2.0,Nantucket,1350,10019,2015,57,885,,Active,,,http://www.redfin.com/MA/Nantucket/3-Weatherly-Pl-02554/home/111231653,CCIMLS,22001498,N,Y,41.2649254,-70.0992154
MLS Listing,,Single Family Residential,7 Starbuck Ct,Nantucket,MA,02554,3695000,4,2.0,Nantucket,2516,,1800,61,1469,,Active,,,http://www.redfin.com/MA/Nantucket/7-Starbuck-Ct-02554/home/111195136,CCIMLS,22001416,N,Y,41.2799464,-70.1029882
MLS Listing,,Single Family Residential,7 Coffin Rd,Nantucket,MA,02554,3650000,4,5.0,Nantucket,4500,35284,2019,63,811,,Active,,,http://www.redfin.com/MA/Nantucket/7-Coffin-St-02554/home/167650322,CCIMLS,22001332,N,Y,41.2819801,-70.0970885
MLS Listing,,Single Family Residential,5 Curlew Ct,Nantucket,MA,02554,1175000,3,2.5,Nantucket,1682,5033,1995,68,699,,Active,,,http://www.redfin.com/MA/Nantucket/5-Curlew-Ct-02554/home/77364707,CCIMLS,22001189,N,Y,41.2638855,-70.0716781
MLS Listing,,Single Family Residential,14 Darling St,Nantucket,MA,02554,2775000,3,3.5,Nantucket,1750,2356,1843,70,1586,,Active,,,http://www.redfin.com/MA/Nantucket/14-Darling-St-02554/home/79084494,CCIMLS,22001146,N,Y,41.2800125,-70.1006238
MLS Listing,,Single Family Residential,3 W Chester,Nantucket,MA,02554,3200000,4,6.0,850,3390,6098,1820,83,944,,Active,,,http://www.redfin.com/MA/Nantucket/3-W-Chester-St-02554/home/111207609,MLS PIN,72618858,N,Y,41.2874271,-70.1032752
MLS Listing,,Single Family Residential,8 Bank St,Nantucket,MA,02554,690000,1,1.0,Nantucket,387,1307,1900,84,1783,,Active,,,http://www.redfin.com/MA/Nantucket/8-Bank-St-02554/home/111198814,CCIMLS,22000816,N,Y,41.2626855,-69.9632926
MLS Listing,,Single Family Residential,22 Flintlock Rd,Nantucket,MA,02554,995000,2,1.0,Tom Nevers,908,47916,1980,134,1096,,Active,,,http://www.redfin.com/MA/Nantucket/22-Flintlock-Rd-02554/home/111219992,CCIMLS,21908581,N,Y,41.2539294,-69.9981744
MLS Listing,,Single Family Residential,22 Eel Point Rd,Nantucket,MA,02554,2595000,5,3.5,Nantucket,2942,2,1996,138,882,,Active,,,http://www.redfin.com/MA/Nantucket/22-Eel-Point-Rd-02554/home/111214280,CCIMLS,21908554,N,Y,41.2881017,-70.148069
MLS Listing,,Single Family Residential,21 Surfside Rd,Nantucket,MA,02554,1250000,4,3.0,Nashaquisset,2182,9356,1985,177,573,,Active,,,http://www.redfin.com/MA/Nantucket/21-Surfside-Rd-02554/home/111217179,MLS PIN,72590938,N,Y,41.2717027,-70.1003447
MLS Listing,,Single Family Residential,68 Hawthorne Park Ln,Nantucket,MA,02554,3195000,5,5.5,Nantucket,3438,8276,2020,188,929,,Active,,,http://www.redfin.com/MA/Nantucket/68-Hawthorne-Ln-02554/home/169603780,CCIMLS,21907860,N,Y,41.2783983,-70.1236804
