SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,53 Windy Hill Rd,Milford,CT,06461,449900,3,2.5,Milford,2272,12632,2006,4,198,,Active,,,http://www.redfin.com/CT/Milford/53-Windy-Hill-Rd-06461/home/53924629,Smart MLS,170290744,N,Y,41.2124903,-73.1007309
MLS Listing,,Condo/Co-op,44 Quarry Dock Rd #44,Branford,CT,06405,599000,3,3.5,Indian Neck,2378,,1988,7,252,481,Active,,,http://www.redfin.com/CT/Branford/44-Quarry-Dock-Rd-06405/unit-44/home/171434851,Smart MLS,170290570,N,Y,41.2678322,-72.8175587
MLS Listing,,Single Family Residential,41 Cornelius Ave,Waterbury,CT,06706,139900,3,1.0,Waterbury,1997,4791,1941,1,70,,Active,,,http://www.redfin.com/CT/Waterbury/41-Cornelius-Ave-06706/home/53681038,Smart MLS,170288411,N,Y,41.5278519,-73.0335284
MLS Listing,,Single Family Residential,11 Gunn St,Milford,CT,06460,399900,4,3.0,Milford,1968,7840,1925,1,203,,Active,,,http://www.redfin.com/CT/Milford/11-Gunn-St-06460/home/53916691,Smart MLS,170292447,N,Y,41.2253308,-73.0661571
MLS Listing,,Condo/Co-op,1041 Heritage Vlg Unit C,Southbury,CT,06488,164500,2,2.0,Southbury,1071,,1974,1,154,600,Active,,,http://www.redfin.com/CT/Southbury/1041-Heritage-Vlg-06488/unit-C/home/54260593,Smart MLS,170292392,N,Y,41.491512,-73.228244
MLS Listing,,Single Family Residential,241 Kendall Cir,Waterbury,CT,06708,209500,3,2.5,Bunker Hill,1556,8276,1994,1,135,,Active,,,http://www.redfin.com/CT/Waterbury/241-Kendall-Cir-06708/home/53669249,Smart MLS,170291314,N,Y,41.5642066,-73.0776277
MLS Listing,,Single Family Residential,79 Woodland Rd,Middlebury,CT,06762,407000,4,3.0,Middlebury,2494,33105,1957,1,163,,Active,,,http://www.redfin.com/CT/Middlebury/79-Woodland-Rd-06762/home/54027884,Smart MLS,170291430,N,Y,41.5235623,-73.1289905
MLS Listing,,Single Family Residential,39 Strawberry Hill Rd,Madison,CT,06443,320000,3,2.5,Madison,1926,40075,1965,1,166,,Active,,,http://www.redfin.com/CT/Madison/39-Strawberry-Hill-Rd-06443/home/54190141,Smart MLS,170291409,N,Y,41.3162261,-72.5991544
MLS Listing,,Condo/Co-op,1516 E Main St #15,Meriden,CT,06450,145000,2,2.0,East Meriden,1035,,1987,1,140,245,Active,,,http://www.redfin.com/CT/Meriden/1516-E-Main-St-06450/unit-15/home/54467426,Smart MLS,170291133,N,Y,41.5263362,-72.7511807
MLS Listing,,Single Family Residential,271 Peck Ln,Orange,CT,06477,450000,3,1.0,Orange,1396,174240,1955,1,322,,Active,,,http://www.redfin.com/CT/Orange/271-Peck-Ln-06477/home/53947822,Smart MLS,170292374,N,Y,41.2516312,-73.0156086
MLS Listing,,Single Family Residential,26 Wildcat Springs Dr,Madison,CT,06443,724000,5,3.5,Madison,4383,53578,1985,1,165,,Active,,,http://www.redfin.com/CT/Madison/26-Wildcat-Springs-Dr-06443/home/54189747,Smart MLS,170292353,N,Y,41.2992858,-72.5944417
MLS Listing,,Single Family Residential,244 Parklawn Dr,Waterbury,CT,06708,134900,2,1.5,Robinwood,1392,11761,1961,1,97,,Active,,,http://www.redfin.com/CT/Waterbury/244-Parklawn-Dr-06708/home/53671191,Smart MLS,170292343,N,Y,41.5581061,-73.0708952
MLS Listing,,Single Family Residential,78 Joseph St,Waterbury,CT,06705,95000,3,2.0,East End,1404,9583,1954,1,68,,Active,,,http://www.redfin.com/CT/Waterbury/78-Joseph-St-06705/home/53672116,Smart MLS,170292303,N,Y,41.5603258,-73.0003196
MLS Listing,,Single Family Residential,40 Nob Hill Rd,Cheshire,CT,06410,409900,4,2.5,Cheshire,2260,43995,1970,1,181,,Active,,,http://www.redfin.com/CT/Cheshire/40-Nob-Hill-Rd-06410/home/53749558,Smart MLS,170292069,N,Y,41.5275368,-72.8833472
MLS Listing,,Single Family Residential,627 W Main St,Meriden,CT,06451,174900,3,1.0,Meriden,1454,6969,1920,1,120,,Active,,,http://www.redfin.com/CT/Meriden/627-W-Main-St-06451/home/54457029,Smart MLS,170292308,N,Y,41.5413698,-72.8247068
MLS Listing,,Single Family Residential,6 Ives Pl,Guilford,CT,06437,334900,3,1.0,Guilford,1212,11761,1953,1,276,,Active,,,http://www.redfin.com/CT/Guilford/6-Ives-Pl-06437/home/53900505,Smart MLS,170286316,N,Y,41.2849368,-72.6779175
MLS Listing,,Single Family Residential,34 Oberlin Rd,Hamden,CT,06514,178500,3,1.5,Hamden,1470,10018,1940,1,121,,Active,,,http://www.redfin.com/CT/Hamden/34-Oberlin-Rd-06514/home/54215292,Smart MLS,170292273,N,Y,41.3484713,-72.9464488
MLS Listing,,Condo/Co-op,145 Canal St #208,Shelton,CT,06484,194900,2,2.0,Shelton Center,1250,,1890,1,156,392,Active,,,http://www.redfin.com/CT/Shelton/145-Canal-St-W-06484/unit-208/home/107186499,Smart MLS,170292292,N,Y,41.3181736,-73.0924208
MLS Listing,,Single Family Residential,19 Gilbert St,West Haven,CT,06516,209900,4,1.5,Allingtown,1375,5227,1930,1,153,,Active,,,http://www.redfin.com/CT/West-Haven/19-Gilbert-St-06516/home/54088627,Smart MLS,170292286,N,Y,41.2975933,-72.9552148
MLS Listing,,Multi-Family (2-4 Unit),,Seymour,CT,06483,200000,5,3.0,,1544,10018,1918,1,130,,Active,,,http://www.redfin.com/CT/Seymour/Undisclosed-address-06483/home/54105005,Smart MLS,170288405,N,Y,41.3943985,-73.0832993
MLS Listing,,Vacant Land,000 Wildwood Ave,Madison,CT,06443,309000,,,Madison,,457380,,1,,,Active,,,http://www.redfin.com/CT/MADISON/WILDWOOD-AVE-06443/home/53893110,Smart MLS,170292008,N,Y,41.298947,-72.634214
MLS Listing,,Multi-Family (2-4 Unit),227 Sherman Ave,New Haven,CT,06511,250000,8,3.0,New Haven,4135,5662,1869,1,60,,Active,,,http://www.redfin.com/CT/New-Haven/227-Sherman-Ave-06511/home/54291675,Smart MLS,170292250,N,Y,41.313772,-72.9432422
MLS Listing,,Single Family Residential,1424 Bucks Hill Rd,Southbury,CT,06488,388000,5,2.5,Southbury,2472,103237,1979,1,157,,Active,,,http://www.redfin.com/CT/Southbury/1424-Bucks-Hill-Rd-06488/home/54261827,Smart MLS,170292247,N,Y,41.4850703,-73.1738889
MLS Listing,,Single Family Residential,35 Joyce St,Guilford,CT,06437,299000,3,1.0,Guilford,1040,12632,1958,1,288,,Active,,,http://www.redfin.com/CT/Guilford/35-Joyce-St-06437/home/53900179,Smart MLS,170291832,N,Y,41.2833684,-72.6613816
MLS Listing,,Single Family Residential,50 Fort Hill Ave,Waterbury,CT,06704,114900,4,2.0,Waterville,1684,6969,1900,1,68,,Active,,,http://www.redfin.com/CT/Waterbury/50-Fort-Hill-Ave-06704/home/53664114,Smart MLS,170291802,N,Y,41.5957755,-73.0553973
MLS Listing,,Single Family Residential,158 Alps Rd,Branford,CT,06405,350000,4,2.0,Branford,1473,14810,1954,1,238,,Active,,,http://www.redfin.com/CT/Branford/158-Alps-Rd-06405/home/54123325,Smart MLS,170288945,N,Y,41.2675307,-72.8429974
MLS Listing,,Single Family Residential,28 Harrison Rd,Wallingford,CT,06492,319900,3,2.5,Wallingford,1792,33105,1985,1,179,,Active,,,http://www.redfin.com/CT/Wallingford/28-Harrison-Rd-06492/home/53835860,Smart MLS,170292187,N,Y,41.4297746,-72.8142783
MLS Listing,,Single Family Residential,68 Peabody St,West Haven,CT,06516,179000,4,3.0,West Haven,1744,9147,1930,1,103,,Active,,,http://www.redfin.com/CT/West-Haven/68-Peabody-St-06516/home/54086885,Smart MLS,170292210,N,Y,41.284681,-72.9743143
MLS Listing,,Condo/Co-op,100 Mark Ln Unit C1,Waterbury,CT,06704,39900,1,1.5,Waterbury,523,,1985,1,76,161,Active,,,http://www.redfin.com/CT/Waterbury/100-Mark-Ln-06704/unit-C1/home/53689104,Smart MLS,170292205,N,Y,41.5746537,-73.0063777
MLS Listing,,Multi-Family (2-4 Unit),143 Main Street Anx,New Haven,CT,06511,319999,7,3.0,New Haven,2470,15245,1900,1,130,,Active,,,http://www.redfin.com/CT/New-Haven/143-Main-Street-Anx-06512/home/54278131,Smart MLS,170292197,N,Y,41.2863432,-72.8888621
