SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,17 Tantummaheag Rd,Old Lyme,CT,06371,1695000,4,3.5,Tantummaheag,2814,322344,1748,1,602,,Active,,,http://www.redfin.com/CT/Old-Lyme/17-Tantummaheag-Rd-06371/home/54443460,Smart MLS,170288350,N,Y,41.3411194,-72.3461318
MLS Listing,,Multi-Family (2-4 Unit),632 E Main St,Norwich,CT,06360,189900,7,3.0,Norwich,2181,16988,1850,1,87,,Active,,,http://www.redfin.com/CT/Norwich/632-E-Main-St-06360/home/53937177,Smart MLS,170292381,N,Y,41.5208319,-72.0589686
MLS Listing,,Single Family Residential,17 Chapman Dr,East Lyme,CT,06333,510000,5,4.0,Flanders Village,3892,223898,1987,1,131,,Active,,,http://www.redfin.com/CT/East-Lyme/17-Chapman-Dr-06333/home/54385040,Smart MLS,170292425,N,Y,41.408128,-72.220615
MLS Listing,,Single Family Residential,263 Washington St,Norwich,CT,06360,179900,3,1.5,Norwich,1882,10018,1930,1,96,,Active,,,http://www.redfin.com/CT/Norwich/263-Washington-St-06360/home/53928523,Smart MLS,170292298,N,Y,41.5393636,-72.0846581
MLS Listing,,Single Family Residential,32 Saw Mill Dr,Ledyard,CT,06339,245500,3,2.5,Ledyard,2716,60548,1998,1,90,,Active,,,http://www.redfin.com/CT/Ledyard/32-Saw-Mill-Dr-06339/home/54200044,Smart MLS,170292358,N,Y,41.4406675,-71.9826217
MLS Listing,,Single Family Residential,414 Route 165,Preston,CT,06365,339000,4,2.5,Preston City,2800,164221,1798,1,121,,Active,,,http://www.redfin.com/CT/Preston/414-CT-165-06365/home/54046019,Smart MLS,170292332,N,Y,41.5304348,-71.9717977
MLS Listing,,Single Family Residential,19 David Ave,Griswold,CT,06351,214000,3,2.0,Griswold,1008,20908,1994,1,212,,Active,,,http://www.redfin.com/CT/Griswold/19-David-Ave-06351/home/53858232,Smart MLS,170292237,N,Y,41.6316923,-71.9705359
MLS Listing,,Vacant Land,22 Aspen Ct,Norwich,CT,06360,38500,,,Norwich,,78408,,1,,,Active,,,http://www.redfin.com/CT/Norwich/22-Aspen-Ct-06360/home/53939431,Smart MLS,170292260,N,Y,41.5452772,-72.1319677
MLS Listing,,Condo/Co-op,98 Leafwood Ln #176,Groton,CT,06340,154000,2,2.0,Center Groton,1076,,1990,1,143,322,Active,,,http://www.redfin.com/CT/Groton/98-Leafwood-Ln-06340/unit-176/home/54185140,Smart MLS,170292170,N,Y,41.3682368,-72.0528439
MLS Listing,,Vacant Land,27 Quakertown Mdws,Ledyard,CT,06339,85500,,,Quakertown Meadows,,33976,,1,,,Active,,,http://www.redfin.com/CT/Ledyard/27-Quakertown-MDWS-06339/home/164322693,Smart MLS,170292227,N,Y,41.411366,-72.001676
