SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,12 Gardiner Dr,Londonderry,VT,05148,75000,,,Londonderry,,130680,,1,,,Active,,,http://www.redfin.com/VT/Londonderry/12-Gardiner-Dr-05148/home/171544485,NEREN,4803721,N,Y,43.224368538720725,-72.75034079785404
MLS Listing,,Single Family Residential,90 Fannie Hill Rd,Wilmington,VT,05363,1299900,5,4.0,Wilmington,3052,34848,2017,1,426,,Active,,,http://www.redfin.com/VT/Wilmington/90-Fannie-Hill-Dr-05363/home/171539402,NEREN,4803711,N,Y,42.925312,-72.889397
MLS Listing,,Vacant Land,11 Gardiner Dr,Londonderry,VT,05148,65000,,,Londonderry,,130680,,1,,,Active,,,http://www.redfin.com/VT/Londonderry/11-Gardiner-Dr-05148/home/171536189,NEREN,4803668,N,Y,43.223831261898795,-72.75123389438673
MLS Listing,,Single Family Residential,118 Valley Cemetery Rd,Athens,VT,05143,175000,4,1.0,Athens,1368,622908,1970,1,128,,Active,,,http://www.redfin.com/VT/Athens/118-Valley-Cemetery-Rd-05143/home/96590988,NEREN,4803612,N,Y,43.1043136,-72.5752688
MLS Listing,,Townhouse,66A Kingswood Rd,Dover,VT,05356,308000,3,3.0,Dover,2067,,2005,1,149,744,Active,,,http://www.redfin.com/VT/West-Dover/66-Kingswood-Rd-05356/unit-A/home/91238245,NEREN,4803608,N,Y,42.946048,-72.882257
MLS Listing,,Single Family Residential,11 Maple St,Brattleboro,VT,05301,224000,4,2.0,Brattleboro,1548,10454,1958,1,145,,Active,,,http://www.redfin.com/VT/Brattleboro/11-Maple-St-05301/home/91362237,NEREN,4803588,N,Y,42.8440254,-72.5636685
MLS Listing,,Single Family Residential,66 Western Ave,Brattleboro,VT,05301,139000,3,1.5,Brattleboro,1025,5227,1884,1,136,,Active,,,http://www.redfin.com/VT/Brattleboro/66-Western-Ave-05301/home/63509545,NEREN,4803579,N,Y,42.852205,-72.569073
MLS Listing,,Townhouse,2 Waldwinkle Rd Unit A,Dover,VT,05356,94900,2,1.0,Dover,717,69696,1967,1,132,350,Active,,,http://www.redfin.com/VT/West-Dover/2-Waldwinkle-Rd-05356/unit-A/home/91237976,NEREN,4803559,N,Y,42.932661,-72.849844
MLS Listing,,Single Family Residential,17 First Ln Unit 12,Wilmington,VT,05363,329900,4,6.75,Wilmington,2170,217800,1987,3,152,162,Active,,,http://www.redfin.com/VT/Wilmington/17-1st-Ln-05363/unit-12/home/144585056,NEREN,4803448,N,Y,42.897545,-72.887955
MLS Listing,,Single Family Residential,4535 Route 9 Rd,Marlboro,VT,05301,84900,3,1.5,Marlboro,2246,43560,1988,4,38,,Active,,,http://www.redfin.com/VT/Brattleboro/4535-VT-9-05301/home/91198682,NEREN,4803402,N,Y,42.863262,-72.75087
