SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15 Souza Rd,Tiverton,RI,02878,399800,3,2.5,Tiverton,2128,21780,2012,8,188,,Active,,,http://www.redfin.com/RI/Tiverton/15-Souza-Rd-02878/home/52003379,RIS,1250640,N,Y,41.6460472,-71.2016396
MLS Listing,,Condo/Co-op,314 Chases Ln Unit D,Middletown,RI,02842,459900,3,2.5,Chases Lane,1738,26136,2020,1,265,208,Active,,,http://www.redfin.com/RI/Middletown/314-Chases-Ln-02842/unit-D/home/171544989,RIS,1252946,N,Y,41.5284333,-71.3062989
MLS Listing,,Condo/Co-op,12 Valley Ln,Portsmouth,RI,02871,295000,2,2.0,Valley Lane,1101,,1987,1,268,330,Active,,,http://www.redfin.com/RI/Portsmouth/12-Valley-Ln-02871/home/51906384,RIS,1252835,N,Y,41.616605,-71.248851
MLS Listing,,Single Family Residential,32 East Shore Rd,Jamestown,RI,02835,1499000,3,2.5,Jamestown,1750,6143,1982,1,857,,Active,,,http://www.redfin.com/RI/Jamestown/32-E-Shore-Rd-02835/home/51935161,RIS,1251948,N,Y,41.5155326,-71.3660099
MLS Listing,,Single Family Residential,151 Robert Gray Ave,Tiverton,RI,02878,285000,3,1.0,North Tiverton,1092,1092,1966,1,261,,Active,,,http://www.redfin.com/RI/Tiverton/151-Robert-Gray-Ave-02878/home/52002411,RIS,1252886,N,Y,41.658329,-71.1986229
MLS Listing,,Single Family Residential,829 Union St,Portsmouth,RI,02871,589900,3,2.5,SOUTH PORTSMOUTH,2250,19500,2019,1,262,,Active,,,http://www.redfin.com/RI/Portsmouth/829-Union-St-02871/home/168675252,RIS,1252854,N,Y,41.5591891,-71.2848191
MLS Listing,,Single Family Residential,153 Intrepid Ln,Jamestown,RI,02835,789900,4,2.5,East Passage Estates,4434,143748,1990,1,178,21,Active,,,http://www.redfin.com/RI/Jamestown/153-Intrepid-Ln-02835/home/51936636,RIS,1251743,N,Y,41.544656,-71.3695643
MLS Listing,,Condo/Co-op,214 Goddard Row #214,Newport,RI,02840,499000,2,1.5,Brick Market Place,1181,,1974,1,423,379,Active,,,http://www.redfin.com/RI/Newport/214-Goddard-Row-02840/unit-214/home/109247497,RIS,1249456,N,Y,41.489153,-71.315685
MLS Listing,,Single Family Residential,409 Vanderbilt Ln,Portsmouth,RI,02871,1549500,4,4.0,SEABERRY FARM,6638,40075,2004,1,233,,Active,,,http://www.redfin.com/RI/Portsmouth/409-Vanderbilt-Ln-02871/home/51901407,RIS,1249064,N,Y,41.568447,-71.2386962
MLS Listing,,Single Family Residential,82 Baker Rd,Portsmouth,RI,02871,1200000,4,3.0,Quiet dead end with beach,2900,25700,2020,2,414,,Active,,,http://www.redfin.com/RI/Portsmouth/82-Baker-Rd-02871/home/171529823,RIS,1252805,N,Y,41.622425,-71.271639
