SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,21 Suffolk Rd,Sharon,MA,02067,449900,3,2.0,Sharon,1471,10555,1950,5,306,,Active,,,http://www.redfin.com/MA/Sharon/21-Suffolk-Rd-02067/home/8946054,MLS PIN,72649364,N,Y,42.1063214,-71.1963487
MLS Listing,,Single Family Residential,21 Hemlock Way,Cohasset,MA,02025,999000,3,2.5,Estates at Cohasset,2735,11066,2014,8,365,415,Active,,,http://www.redfin.com/MA/Cohasset/21-Hemlock-Way-02025/home/52554443,MLS PIN,72648229,N,Y,42.2262637,-70.803689
MLS Listing,,Condo/Co-op,115 W Squantum St #716,Quincy,MA,02171,316500,1,1.0,North Quincy,765,,1975,11,414,368,Active,,,http://www.redfin.com/MA/Quincy/115-W-Squantum-St-02171/unit-716/home/9025439,MLS PIN,72647320,N,Y,42.2767279,-71.031966
MLS Listing,,Condo/Co-op,19 Boydes Xing #19,Norfolk,MA,02056,659000,3,2.5,Norfolk,2028,,2018,12,325,143,Active,,,http://www.redfin.com/MA/Norfolk/19-Boydes-Xing-02056/unit-19/home/145938979,MLS PIN,72647007,N,Y,42.1214767,-71.3219553
MLS Listing,,Condo/Co-op,19 Westbourne Ter #6,Brookline,MA,02446,528000,1,1.0,Brookline,637,,1916,19,829,316,Active,,,http://www.redfin.com/MA/Brookline/19-Westbourne-Ter-02446/unit-6/home/11454424,MLS PIN,72644483,N,Y,42.3404777,-71.1347913
MLS Listing,,Single Family Residential,19 Boydes Xing,Norfolk,MA,02056,659000,3,2.5,Norfolk,2028,,2018,21,325,,Active,,,http://www.redfin.com/MA/Norfolk/19-Boydes-Xing-02056/home/160664870,MLS PIN,72643857,N,Y,42.1214767,-71.3219553
MLS Listing,,Townhouse,11 Oak St #18,Wellesley,MA,02482,680000,2,1.5,Wellesley,1171,,1967,32,581,530,Active,,,http://www.redfin.com/MA/Wellesley/11-Oak-St-02482/unit-18/home/110082876,MLS PIN,72640643,N,Y,42.3022772,-71.2932998
MLS Listing,,Single Family Residential,12 Harbor View Ave,Weymouth,MA,02191,399900,3,2.0,Weymouth,1664,8184,1918,34,240,,Active,,,http://www.redfin.com/MA/Weymouth/12-Harbor-View-Ave-02191/home/11501979,MLS PIN,72639756,N,Y,42.2472611,-70.9508023
MLS Listing,,Single Family Residential,9 Valley Rd,Dover,MA,02030,1899000,5,6.0,Dover,5644,54418,2014,46,336,,Active,,,http://www.redfin.com/MA/Dover/9-Valley-Rd-02030/home/11708583,MLS PIN,72636375,N,Y,42.2285452,-71.275751
MLS Listing,,Single Family Residential,2 Glen Pines Way,Millis,MA,02054,1075000,5,4.5,Millis,5777,470448,2002,61,186,,Active,,,http://www.redfin.com/MA/Millis/2-Glen-Pines-Way-02054/home/11495200,MLS PIN,72628619,N,Y,42.1795442,-71.399599
