SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,416 Brook Rd,Chelsea,VT,05038,1495000,4,4.0,Chelsea,5200,8842680,1993,1,288,,Active,,,http://www.redfin.com/VT/Chelsea/416-Brook-Rd-05038/home/81556328,NEREN,4803686,N,Y,44.0144139,-72.5222021
MLS Listing,,Single Family Residential,1015 US Route 5 S,Fairlee,VT,05045,232500,3,2.25,Fairlee,2793,130680,1940,1,83,,Active,,,http://www.redfin.com/VT/Fairlee/1015-U-S-5-05045/home/171534713,NEREN,4803627,N,Y,43.895378,-72.166077
MLS Listing,,Vacant Land,550 Abe Jacobs Rd,Corinth,VT,05039,340000,,,Corinth,,8712000,,1,,,Active,,,http://www.redfin.com/VT/Corinth/550-Abe-Jacobs-Rd-05039/home/95094150,NEREN,4803616,N,Y,44.0149933,-72.27731
MLS Listing,,Single Family Residential,1431 Chelsea Rd,Bradford,VT,05033,499900,4,3.25,Bradford,3650,433421,1978,4,137,,Active,,,http://www.redfin.com/VT/Bradford/1431-Chelsea-Rd-05033/home/91262806,NEREN,4803376,N,Y,44.019131,-72.2094878
MLS Listing,,Vacant Land,00A Bobbinshop Rd Lot 1,Chelsea,VT,05038,65000,,,Chelsea,,352836,,4,,,Active,,,http://www.redfin.com/VT/Chelsea/1-Bobbinshop-Rd-05038/unit-1/home/171494595,NEREN,4803281,N,Y,44.0175726,-72.4926728
MLS Listing,,Vacant Land,00C Bobbinshop Rd Lot 3,Chelsea,VT,05038,60000,,,Chelsea,,365904,,4,,,Active,,,http://www.redfin.com/VT/Chelsea/3-Bobbinshop-Rd-05038/unit-3/home/171494525,NEREN,4803278,N,Y,44.0175726,-72.4926728
MLS Listing,,Single Family Residential,18 Ferno Rd,Williamstown,VT,05679,300000,5,2.0,Williamstown,2191,152895,1850,6,137,,Active,,,http://www.redfin.com/VT/Williamstown/18-Ferno-Rd-05679/home/91284312,NEREN,4802846,N,Y,44.114197,-72.603416
MLS Listing,,Vacant Land,S 2 Hill Rd Lot 2,Williamstown,VT,05679,129900,,,Williamstown,,1650924,,6,,,Active,,,http://www.redfin.com/VT/Williamstown/2-S-Hill-Rd-05679/unit-2/home/171444308,NEREN,4802839,N,Y,44.1059337,-72.5387394
MLS Listing,,Single Family Residential,3190 Pepper Rd,Washington,VT,05038,499000,5,3.5,Washington,4160,609840,1978,8,120,,Active,,,http://www.redfin.com/VT/Chelsea/3190-Pepper-Rd-05038/home/91219177,NEREN,4802688,N,Y,44.0444706,-72.4271387
MLS Listing,,Vacant Land,0 Peth Rd,Braintree,VT,05060,49900,,,Braintree,,1916640,,8,,,Active,,,http://www.redfin.com/VT/Braintree/Peth-Rd-05060/home/91331402,NEREN,4802607,N,Y,43.974769,-72.680232
MLS Listing,,Single Family Residential,1781 tatro hill Rd,Randolph,VT,05060,209900,2,1.75,Randolph,1732,1916640,1980,9,121,,Active,,,http://www.redfin.com/VT/Randolph/1781-Tatro-Hill-Rd-05060/home/95915787,NEREN,4802520,N,Y,43.910275,-72.697502
MLS Listing,,Single Family Residential,794 Duclos Rd,Braintree,VT,05060,85000,3,1.0,Braintree,,43560,2019,11,,,Active,,,http://www.redfin.com/VT/Braintree/794-Duclos-Rd-05060/home/171419162,NEREN,4802415,N,Y,43.9578532,-72.7045841
MLS Listing,,Single Family Residential,1809 Beaver Meadow Rd,Vershire,VT,05079,785000,3,2.0,Vershire,1642,8511624,1964,11,478,,Active,,,http://www.redfin.com/VT/Vershire/1809-Beaver-Meadow-Rd-05079/home/84247774,NEREN,4802398,N,Y,43.9611652,-72.2542667
MLS Listing,,Single Family Residential,513 Taplin Hill Rd,Corinth,VT,05040,520000,4,1.75,Corinth,2360,1796414,1972,11,220,,Active,,,http://www.redfin.com/VT/East-Corinth/513-Taplin-Hill-Rd-05040/home/91249172,NEREN,4802294,N,Y,44.037998,-72.208893
MLS Listing,,Single Family Residential,14 Cross Rd,Strafford,VT,05072,75000,3,1.5,Strafford,2520,135036,1980,11,30,,Active,,,http://www.redfin.com/VT/Strafford/14-Cross-Rd-05072/home/91323708,NEREN,4802286,N,Y,43.843342,-72.413704
MLS Listing,,Single Family Residential,860 Curtis Rd,Randolph,VT,05061,375000,3,2.75,Randolph,1863,486565,2000,11,201,,Active,,,http://www.redfin.com/VT/Randolph-Center/860-Curtis-Rd-05061/home/95081607,NEREN,4802281,N,Y,43.978704,-72.588377
MLS Listing,,Single Family Residential,23 Weston St,Randolph,VT,05060,199000,3,1.75,Randolph,2174,16988,1890,13,92,,Active,,,http://www.redfin.com/VT/Randolph/23-Weston-St-05060/home/95082063,NEREN,4802002,N,Y,43.9225958,-72.668871
