SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1052 Goodall Rd,Holland,VT,05830,248500,4,2.0,Holland,2508,270507,1984,1,99,,Active,,,http://www.redfin.com/VT/Derby-Line/1052-Goodall-Rd-05830/home/91373387,NEREN,4803749,N,Y,44.99877,-72.046689
MLS Listing,,Single Family Residential,1223 Hinman Settler Rd,Brownington,VT,05860,138500,2,1.0,Brownington,1484,31363,1830,1,93,,Active,,,http://www.redfin.com/VT/Brownington/1223-Hinman-Settler-Rd-05860/home/65938559,NEREN,4803741,N,Y,44.8331316,-72.1712094
MLS Listing,,Single Family Residential,915 Hinman Settler Rd,Derby,VT,05829,329500,3,3.0,Derby,3349,440827,2004,3,98,,Active,,,http://www.redfin.com/VT/Derby/915-Hinman-Settler-Rd-05829/home/108448051,NEREN,4803452,N,Y,44.932252197753506,-72.14270923309324
MLS Listing,,Single Family Residential,240 Drowns Mill Rd,Coventry,VT,05825,219000,3,1.0,Coventry,2160,522720,1996,3,101,,Active,,,http://www.redfin.com/VT/Coventry/240-Drowns-Mill-Rd-05825/home/96584836,NEREN,4803438,N,Y,44.909230571345645,-72.27699550926205
MLS Listing,,Single Family Residential,1953 S Albany Rd,Craftsbury,VT,05602,2800000,4,3.0,Craftsbury,6893,7478816,1997,3,406,,Active,,,http://www.redfin.com/VT/Berlin/1953-S-Albany-RD-05602/home/171511410,NEREN,4803410,N,Y,44.68856167479435,-72.31270646419513
MLS Listing,,Single Family Residential,82 Mount Vernon St,Newport City,VT,05855,159900,3,1.5,Newport City,1585,5662,1978,4,101,,Active,,,http://www.redfin.com/VT/Newport/82-Mt-Vernon-St-05855/home/91413814,NEREN,4803225,N,Y,44.9364298,-72.2002768
MLS Listing,,Single Family Residential,5572 Airport Rd,Coventry,VT,05825,279900,2,1.0,Coventry,1824,2360952,1840,4,153,,Active,,,http://www.redfin.com/VT/Coventry/5572-Airport-RD-05825/home/171491818,NEREN,4803214,N,Y,44.85230112255224,-72.23342489814758
MLS Listing,,Single Family Residential,162 Caswell Ave,Derby,VT,05830,129000,3,1.5,Derby,1452,4791,1880,6,89,,Active,,,http://www.redfin.com/VT/Derby-Line/162-Caswell-Ave-05830/home/95144889,NEREN,4802943,N,Y,45.0054052,-72.0964411
MLS Listing,,Single Family Residential,3152 N Gore Rd,Derby,VT,05829,279000,2,2.0,Derby,1836,1424412,2002,6,152,,Active,,,http://www.redfin.com/VT/Derby/3152-Gore-Rd-05829/home/91373682,NEREN,4802937,N,Y,44.9397779,-72.033752
MLS Listing,,Condo/Co-op,D-36 Holbrook Bay Cmns,Newport Town,VT,05857,187500,2,1.75,Newport Town,1040,,1987,6,180,300,Active,,,http://www.redfin.com/VT/Newport/D-36-Holbrook-Bay-CMNS-05857/home/171447512,NEREN,4802925,N,Y,44.96340647038748,-72.24373802871703
