SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,31 School St,Porter,ME,04068,160000,3,3.0,Porter,1830,8276,1900,1,87,,Active,,,http://www.redfin.com/ME/Porter/31-School-St-04068/home/85727617,MREIS,1451171,N,Y,43.8093341,-70.8909963
MLS Listing,,Vacant Land,0 Bird Hill Rd,Greenwood,ME,04255,49000,,,Greenwood,,413820,,1,,,Active,,,http://www.redfin.com/ME/Greenwood/Bird-Hill-Rd-04255/home/167420852,MREIS,1451125,N,Y,44.4145283,-70.684112
MLS Listing,,Vacant Land,Lot 72.7 Clearview Dr,Paris,ME,04271,19900,,,Paris,,49658,,1,,8,Active,,,http://www.redfin.com/ME/Paris/Lot-72-7-Clearview-Dr-04281/home/169626301,MREIS,1451114,N,Y,44.2490948,-70.5293935
MLS Listing,,Vacant Land,Lot 72.4 Clearview Dr,Paris,ME,04271,19900,,,Paris,,35283,,1,,8,Active,,,http://www.redfin.com/ME/Paris/Lot-72-4-Clearview-Dr-04281/home/169626038,MREIS,1451113,N,Y,44.2490948,-70.5293935
MLS Listing,,Single Family Residential,595 Upton Rd,Andover,ME,04216,264000,3,2.0,Andover,1680,113691,2019,1,157,,Active,,,http://www.redfin.com/ME/Andover/595-Upton-Rd-04216/home/171532433,MREIS,1451066,N,Y,44.6380978,-70.7907454
MLS Listing,,Single Family Residential,89 Spring St,Dixfield,ME,04224,192000,3,3.0,Dixfield,1456,433857,2000,2,132,,Active,,,http://www.redfin.com/ME/Dixfield/89-Spring-St-04224/home/97659657,MREIS,1451042,N,Y,44.5256487,-70.4388435
MLS Listing,,Single Family Residential,18 Willard Rd,Bethel,ME,04217,250000,3,2.0,Bethel,1568,31363,1995,2,159,,Active,,,http://www.redfin.com/ME/Bethel/18-Willard-Rd-04217/home/100062879,MREIS,1451028,N,Y,44.3861259,-70.766933
MLS Listing,,Vacant Land,561 Acres Greenwoods Rd,Peru,ME,04290,490000,,,Peru,,24437160,,2,,,Active,,,http://www.redfin.com/ME/Peru/561-Acres-Greenwoods-Rd-04290/home/171528571,MREIS,1451023,N,Y,44.4578547,-70.4079869
MLS Listing,,Single Family Residential,42 Wyman Hill Rd,Rumford,ME,04276,109000,3,1.5,Rumford,1326,33105,1951,4,82,,Active,,,http://www.redfin.com/ME/Rumford/42-Wyman-Hill-Rd-04276/home/97675575,MREIS,1450922,N,Y,44.5211062,-70.5320415
MLS Listing,,Single Family Residential,468 Virgin St,Rumford,ME,04276,109900,4,1.5,Rumford,1212,6969,1900,4,91,,Active,,,http://www.redfin.com/ME/Rumford/468-Virgin-St-04276/home/97674786,MREIS,1450897,N,Y,44.5365102,-70.5461924
MLS Listing,,Single Family Residential,25 Christian Ridge Rd,Paris,ME,04281,550000,6,5.5,Paris,4574,82764,1816,4,120,,Active,,,http://www.redfin.com/ME/South-Paris/25-Christian-Ridge-Rd-04281/home/100363326,MREIS,1450889,N,Y,44.2612194,-70.4917492
MLS Listing,,Mobile/Manufactured Home,31 Moose Hill Rd,Norway,ME,04268,49900,3,1.0,Norway,1008,222155,1981,4,50,,Active,,,http://www.redfin.com/ME/Norway/31-Moose-Hill-Rd-04268/home/100068757,MREIS,1450867,N,Y,44.162387,-70.583862
MLS Listing,,Vacant Land,0 Spearens Rd,Hebron,ME,04238,125000,,,Hebron,,479160,,4,,,Active,,,http://www.redfin.com/ME/Hebron/Lane-Rd-04238/home/170039692,MREIS,1450824,N,Y,44.174414,-70.386872
MLS Listing,,Single Family Residential,144 Ralph Richardson Rd,Norway,ME,04268,189900,3,1.0,Norway,1120,121532,2009,4,170,,Active,,,http://www.redfin.com/ME/Norway/144-Ralph-Richardson-Rd-04268/home/100069540,MREIS,1450828,N,Y,44.2473269,-70.5658914
MLS Listing,,Single Family Residential,55 Pine St,Paris,ME,04281,126900,3,2.0,Paris,2992,10454,,4,42,,Active,,,http://www.redfin.com/ME/South-Paris/55-Pine-St-04281/home/100364597,MREIS,1450813,N,Y,44.2214861,-70.5135713
MLS Listing,,Single Family Residential,252 W Lovell Rd,Lovell,ME,04051,469500,4,1.5,Lovell,2337,2259021,1812,4,201,,Active,,,http://www.redfin.com/ME/Lovell/252-W-Lovell-Rd-04051/home/100199561,NEREN,4803226,N,Y,44.1757287,-70.9163974
MLS Listing,,Vacant Land,342 Ossipee Trl,Porter,ME,04068,125000,,,Porter,,322344,,4,,,Active,,,http://www.redfin.com/ME/Porter/342-Ossipee-Trl-04068/home/85727524,MREIS,1450755,N,Y,43.8019906,-70.9104243
MLS Listing,,Single Family Residential,11 E Main St,Paris,ME,04281,124900,4,1.0,Paris,1560,7840,1915,4,80,,Active,,,http://www.redfin.com/ME/South-Paris/11-E-Main-St-04281/home/100363491,MREIS,1450750,N,Y,44.2229522,-70.5115692
MLS Listing,,Single Family Residential,69 Main St,Hiram,ME,04041,109000,4,2.0,Hiram,2928,13068,1950,6,37,,Active,,,http://www.redfin.com/ME/Hiram/69-Main-St-04041/home/109759525,MREIS,1450620,N,Y,43.8814025,-70.7987923
MLS Listing,,Vacant Land,0 Abbey Rd,Fryeburg,ME,04037,34000,,,Fryeburg,,76230,,6,,,Active,,,http://www.redfin.com/ME/Fryeburg/Stow-Rd-04037/home/96516958,MREIS,1450590,N,Y,44.045849,-70.984663
MLS Listing,,Vacant Land,0 Cushman Rd,Woodstock,ME,04219,32000,,,Woodstock,,43995,,6,,,Active,,,http://www.redfin.com/ME/Woodstock/Cushman-Rd-04219/home/102158414,MREIS,1450570,N,Y,44.3907701,-70.5916041
MLS Listing,,Vacant Land,"0 Sawyer Rd,Lot14,Settlers Knl",Waterford,ME,04088,49000,,,Waterford,,217800,,6,,56,Active,,,http://www.redfin.com/ME/Waterford/Sawyer-Rd-Lot14-Settlers-KNL-04088/home/171445366,MREIS,1450567,N,Y,44.1932639,-70.7091738
MLS Listing,,Single Family Residential,238 Pikes Hl,Norway,ME,04268,279900,3,2.0,Norway,2160,191664,1978,6,130,,Active,,,http://www.redfin.com/ME/Norway/238-Pikes-Hl-04268/home/100069412,MREIS,1450548,N,Y,44.202142,-70.558043
MLS Listing,,Mobile/Manufactured Home,39 Edgerly Ln,Oxford,ME,04270-9999,19900,2,1.0,Oxford,980,,1989,7,20,,Active,,,http://www.redfin.com/ME/Oxford/39-Edgerly-Ln-04270/home/100016709,NEREN,4802785,N,Y,44.1773769,-70.5276452
MLS Listing,,Vacant Land,85 S S Whitman School Rd,Buckfield,ME,04220,240000,,,Buckfield,,5488560,,7,,,Active,,,http://www.redfin.com/ME/Buckfield/85-S-Whitman-School-Rd-04220/home/100158692,MREIS,1450491,N,Y,44.2574291,-70.4132224
MLS Listing,,Vacant Land,0 S South Hill Rd,Buckfield,ME,04220,130000,,,Buckfield,,1089000,,8,,,Active,,,http://www.redfin.com/ME/Hartford/S-Hill-Rd-04220/home/171431364,MREIS,1450417,N,Y,44.2478671,-70.3295196
MLS Listing,,Single Family Residential,561 Union Hill Rd,Stow,ME,04037,220000,3,2.0,Stow,1507,1393920,2009,8,146,,Active,,,http://www.redfin.com/ME/Stow/561-Union-Hill-Rd-04037/home/100044026,MREIS,1450398,N,Y,44.1665949,-70.9628639
MLS Listing,,Vacant Land,TBD Route 2,Bethel,ME,04217,90000,,,Bethel,,277477,,9,,,Active,,,http://www.redfin.com/ME/Gilead/TBD-U-S-Highway-2-04217/home/171426347,MREIS,1450340,N,Y,44.4426499,-70.8093709
MLS Listing,,Vacant Land,00 King St,Hiram,ME,04041,49900,,,Hiram,,121967,,9,,,Active,,,http://www.redfin.com/ME/Hiram/King-St-04041/home/85726106,MREIS,1450333,N,Y,43.890493,-70.807398
MLS Listing,,Single Family Residential,10 Bullring Rd,Hiram,ME,04041,80000,3,1.0,Hiram,1604,12196,,9,50,,Active,,,http://www.redfin.com/ME/Hiram/10-Bull-Ring-Rd-04041/home/109759371,MREIS,1450331,N,Y,43.883685,-70.795312
MLS Listing,,Multi-Family (2-4 Unit),19 Maine Ave #2,Rumford,ME,04276,39919,4,2.0,Rumford,1818,12632,1905,9,22,,Active,,,http://www.redfin.com/ME/Rumford/19-Maine-Ave-04276/unit-2/home/171425799,MREIS,1450316,N,Y,44.5497908,-70.5483047
MLS Listing,,Single Family Residential,22 Moore Rd,Brownfield,ME,04010,279900,2,2.0,Brownfield,1056,457380,1987,11,265,,Active,,,http://www.redfin.com/ME/Brownfield/22-Moore-Rd-04010/home/109765777,NEREN,4802318,N,Y,43.9037996,-70.9726922
MLS Listing,,Vacant Land,TBD Fisher Rd,Newry,ME,04261,200000,,,Newry,,409464,,12,,,Active,,,http://www.redfin.com/ME/Newry/TBD-Fisher-Rd-04261/home/160505915,MREIS,1450161,N,Y,44.4804254,-70.8256218
