SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,56 Starling Dr,Bangor,ME,04401,229900,3,2.0,Bangor,1500,22215,2016,1,153,,Active,,,http://www.redfin.com/ME/Bangor/56-Starling-Dr-04401/home/100089067,MREIS,1451199,N,Y,44.8296591,-68.8129928
MLS Listing,,Single Family Residential,174 Cedar St,Bangor,ME,04401,179900,4,2.0,Bangor,2156,3484,1900,1,83,,Active,,,http://www.redfin.com/ME/Bangor/174-Cedar-St-04401/home/100081775,MREIS,1451204,N,Y,44.8003098,-68.7808546
MLS Listing,,Single Family Residential,510 Deerfield Dr,Hermon,ME,04401,229900,3,1.0,Hermon,1704,53143,1991,1,135,,Active,,,http://www.redfin.com/ME/Hermon/510-Deerfield-Dr-04401/home/97637908,MREIS,1451190,N,Y,44.8272558,-68.8905921
MLS Listing,,Single Family Residential,112 Philip St,Bangor,ME,04401,139900,2,1.0,Bangor,936,10454,1954,1,149,,Active,,,http://www.redfin.com/ME/Bangor/112-Philip-St-04401/home/100086946,MREIS,1451188,N,Y,44.8731014,-68.89601
MLS Listing,,Single Family Residential,201 Broadway,Bangor,ME,04401,359900,6,3.5,Bangor,3436,21344,1851,1,105,,Active,,,http://www.redfin.com/ME/Bangor/201-Broadway-04401/home/100084176,MREIS,1451187,N,Y,44.8092493,-68.7689125
MLS Listing,,Single Family Residential,75 W West Barker Rd,Corinna,ME,04928,59900,0,,Corinna,576,130680,1991,1,104,,Active,,,http://www.redfin.com/ME/Corinna/75-W-Barker-Rd-04928/home/99934000,MREIS,1451186,N,Y,44.9511114,-69.2438412
MLS Listing,,Single Family Residential,1400 Stillwater Ave,Bangor,ME,04401,349900,4,3.5,Bangor,3700,65775,2004,1,95,,Active,,,http://www.redfin.com/ME/Bangor/1400-Stillwater-Ave-04401/home/95972751,MREIS,1451185,N,Y,44.853993,-68.7330176
MLS Listing,,Single Family Residential,139 Sandy Beach Rd,Glenburn,ME,04401,234950,3,2.0,Glenburn,1421,76665,2005,1,165,,Active,,,http://www.redfin.com/ME/Glenburn/139-Sandy-Beach-Rd-04401/home/100173427,MREIS,1451177,N,Y,44.9204118,-68.8051443
MLS Listing,,Single Family Residential,707 Hampden Rd,Carmel,ME,04419,580000,3,3.5,Carmel,4660,884268,2007,1,124,,Active,,,http://www.redfin.com/ME/Carmel/707-Hampden-Rd-04419/home/100096760,MREIS,1451156,N,Y,44.7745709,-68.9924814
MLS Listing,,Vacant Land,0 Village Rd,Stetson,ME,04488,24900,,,Stetson,,91040,,1,,,Active,,,http://www.redfin.com/ME/Stetson/Village-Rd-04488/home/171535794,MREIS,1451154,N,Y,44.8990709,-69.0955075
