SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,94 Center Pond Rd,Sangerville,ME,04479,232000,2,1.0,Sangerville,768,25700,1990,1,302,4,Active,,,http://www.redfin.com/ME/Sangerville/94-Center-Pond-Rd-04479/home/167551506,MREIS,1451201,N,Y,45.1170107,-69.3075016
MLS Listing,,Single Family Residential,1530 Bear Hill Rd,Dover Foxcroft,ME,04426,135000,2,2.0,Dover Foxcroft,1922,435600,1982,1,70,,Active,,,http://www.redfin.com/ME/Dover-Foxcroft/1530-Bear-Hill-Rd-04426/home/85810149,MREIS,1451158,N,Y,45.1146715,-69.1813805
MLS Listing,,Vacant Land,0 Moosehead Isle Rd,Greenville,ME,04441,69900,,,Greenville,,243935,,1,,37,Active,,,http://www.redfin.com/ME/Greenville/Moosehead-Isle-Rd-04441/home/85806999,MREIS,1451152,N,Y,45.502496,-69.586463
MLS Listing,,Single Family Residential,116 Boyd Lake Rd,Orneville Twp,ME,04463,44900,1,1.0,Orneville Twp,772,18730,,1,58,,Active,,,http://www.redfin.com/ME/Milo/116-Little-Boyd-Lake-Rd-04463/home/171535618,MREIS,1451146,N,Y,45.1928313,-68.9173805
MLS Listing,,Single Family Residential,93 D'Este Rd,Milo,ME,04463,275000,5,3.5,Milo,4880,871200,1905,1,56,,Active,,,http://www.redfin.com/ME/Milo/93-Deste-Rd-04463/home/97701210,MREIS,1451116,N,Y,45.2538537,-69.0036458
MLS Listing,,Single Family Residential,55 N North Dexter Rd,Sangerville,ME,04479,79000,0,,Sangerville,180,87120,1970,1,439,,Active,,,http://www.redfin.com/ME/Sangerville/55-N-North-Dexter-Rd-04479/home/148374156,MREIS,1451069,N,Y,45.1351388,-69.333694
MLS Listing,,Vacant Land,3 Woods & Water Way,Big Moose Twp,ME,04441,269000,,,Big Moose Twp,,142441,,2,,83,Active,,,http://www.redfin.com/ME/FRENCHTWN-TWP/3-Woods-Water-WAY-04441/home/171528490,MREIS,1451019,N,Y,45.7874271,-69.5666676
MLS Listing,,Vacant Land,2 Woods & Water Way,Big Moose Twp,ME,04441,295000,,,Big Moose Twp,,151588,,2,,83,Active,,,http://www.redfin.com/ME/FRENCHTWN-TWP/2-Woods-Water-WAY-04441/home/171528453,MREIS,1451017,N,Y,45.7874271,-69.5666676
MLS Listing,,Single Family Residential,38 High St,Dover Foxcroft,ME,04426,124500,5,2.0,Dover Foxcroft,2166,11325,1893,3,57,,Active,,,http://www.redfin.com/ME/Dover-Foxcroft/38-High-St-04426/home/85810222,MREIS,1450998,N,Y,45.1820035,-69.2266218
MLS Listing,,Single Family Residential,47 E East Rd Rd,Greenville,ME,04441,569000,3,2.5,Greenville,2947,357191,2002,3,193,,Active,,,http://www.redfin.com/ME/Greenville/47-E-Rd-04441/home/85806809,MREIS,1450995,N,Y,45.45914,-69.5683529
