SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,33 Aurora Dr,Cumberland,RI,02864,399900,3,2.5,Cumberland,1548,20909,1972,1,258,,Active,,,http://www.redfin.com/RI/Cumberland/33-Aurora-Dr-02864/home/51912087,RIS,1252949,N,Y,41.9523409,-71.41112
MLS Listing,,Single Family Residential,28 Hemlock Ave,Cranston,RI,02910,249000,3,2.0,South Auburn,1418,6750,1920,1,176,,Active,,,http://www.redfin.com/RI/Cranston/28-Hemlock-Ave-02910/home/51832750,RIS,1252884,N,Y,41.7652794,-71.4373807
MLS Listing,,Single Family Residential,18 Hobart Ave,East Side of Providence,RI,02906,565000,5,2.0,WAYLAND SQUARE,2272,3500,1900,1,249,,Active,,,http://www.redfin.com/RI/Providence/18-Hobart-Ave-02906/home/51702323,RIS,1252951,N,Y,41.8346791,-71.3903362
MLS Listing,,Single Family Residential,18 Sunset Ave,East Providence,RI,02915,225000,2,1.0,East Providence,1850,4050,1935,1,122,,Active,,,http://www.redfin.com/RI/Riverside/18-Sunset-Ave-02915/home/51949896,RIS,1252922,N,Y,41.760168,-71.3591727
MLS Listing,,Single Family Residential,255 Gallatin St,Providence,RI,02907,260000,4,1.0,Elmwood,1612,4791,1935,1,161,,Active,,,http://www.redfin.com/RI/Providence/255-Gallatin-St-02907/home/51714122,RIS,1252624,N,Y,41.7944309,-71.4229816
MLS Listing,,Single Family Residential,2 Kingston St,Johnston,RI,02919,245000,3,1.5,Off central,1792,18730,1930,1,137,,Active,,,http://www.redfin.com/RI/Johnston/2-Kingston-St-02919/home/51892383,RIS,1252893,N,Y,41.80666,-71.471185
MLS Listing,,Multi-Family (2-4 Unit),222 Waterman Ave,North Providence,RI,02911,250000,6,3.0,Centerdale,3120,9818,1900,1,80,,Active,,,http://www.redfin.com/RI/North-Providence/222-Waterman-Ave-02911/home/52038020,RIS,1252906,N,Y,41.867931,-71.491728
MLS Listing,,Single Family Residential,64 Cobble Hill Rd,Lincoln,RI,02865,449900,4,1.5,Cobble Hill,2308,110894,1895,1,195,,Active,,,http://www.redfin.com/RI/Lincoln/64-Cobble-Hill-Rd-02865/home/51885367,RIS,1252941,N,Y,41.8821626,-71.4229905
MLS Listing,,Single Family Residential,6 Woodcrest Ct,Cranston,RI,02921,349000,3,2.0,Natick Meadows / Western Cranston,1948,10987,1988,1,179,,Active,,,http://www.redfin.com/RI/Cranston/6-Woodcrest-Ct-02921/home/51854539,MLS PIN,72651383,N,Y,41.7377128,-71.4932718
MLS Listing,,Single Family Residential,199 Pleasant St,East Providence,RI,02916,359900,3,1.5,East Providence,1658,9583,1900,1,217,,Active,,,http://www.redfin.com/RI/Rumford/199-Pleasant-St-02916/home/51948272,RIS,1252925,N,Y,41.8361214,-71.3464147
MLS Listing,,Multi-Family (2-4 Unit),98 Wollaston St,Cranston,RI,02910,359900,4,3.0,Cranston,2968,3200,1925,1,121,,Active,,,http://www.redfin.com/RI/Cranston/98-Wollaston-St-02910/home/51850340,RIS,1252903,N,Y,41.7796589,-71.4407738
MLS Listing,,Single Family Residential,222 Central Ave,North Providence,RI,02904,229900,3,1.5,North Providence,1434,5009,1959,1,160,,Active,,,http://www.redfin.com/RI/North-Providence/222-Central-Ave-02904/home/52030897,RIS,1252910,N,Y,41.8604936,-71.4716204
MLS Listing,,Single Family Residential,32 Ledgewood Dr,Cranston,RI,02920,299900,3,1.0,Cranston,1774,9526,1948,1,169,,Active,,,http://www.redfin.com/RI/Cranston/32-Ledgewood-Dr-02920/home/51851211,RIS,1252901,N,Y,41.7378404,-71.4751219
MLS Listing,,Single Family Residential,106 Martha St,Pawtucket,RI,02860,239900,4,1.0,Fairlawn,1100,5200,1945,1,218,,Active,,,http://www.redfin.com/RI/Pawtucket/106-Martha-St-02860/home/52007304,RIS,1252931,N,Y,41.877404,-71.421071
MLS Listing,,Single Family Residential,55 Fairmont Ave,Pawtucket,RI,02860,219900,2,1.0,PAWTUCKET,825,6840,1950,1,267,,Active,,,http://www.redfin.com/RI/Pawtucket/55-Fairmont-Ave-02860/home/52007040,RIS,1252929,N,Y,41.8665359,-71.4174476
MLS Listing,,Multi-Family (2-4 Unit),27 Loveday St,Providence,RI,02908,229900,4,2.0,Wanskuck,2137,2300,1930,1,108,,Active,,,http://www.redfin.com/RI/Providence/27-Loveday-St-02908/home/51715685,RIS,1252928,N,Y,41.8478649,-71.4333233
MLS Listing,,Single Family Residential,15 Douglas Cir,Smithfield,RI,02828,295000,3,1.0,GREENVILLE,1422,13572,1960,1,207,,Active,,,http://www.redfin.com/RI/Greenville/15-Douglas-Cir-02828/home/51814149,RIS,1252927,N,Y,41.8743281,-71.5505527
MLS Listing,,Single Family Residential,43 John St,North Providence,RI,02904,225000,3,1.5,North Providence,1347,8002,1948,1,167,,Active,,,http://www.redfin.com/RI/North-Providence/43-John-St-02904/home/52040082,RIS,1252850,N,Y,41.8641691,-71.4352324
MLS Listing,,Single Family Residential,92 Saint Paul St,North Smithfield,RI,02896,289000,4,1.5,Waterford,1859,10502,1890,1,155,,Active,,,http://www.redfin.com/RI/North-Smithfield/92-St-Paul-St-02896/home/51879327,RIS,1252926,N,Y,42.013661,-71.539897
MLS Listing,,Single Family Residential,15 Echo St,Central Falls,RI,02863,192500,3,1.0,Central Falls,2648,5009,1952,1,73,,Active,,,http://www.redfin.com/RI/Central-Falls/15-Echo-St-02863/home/51806666,RIS,1252919,N,Y,41.892984,-71.401796
MLS Listing,,Single Family Residential,142 Autumn St,Cranston,RI,02910,249900,3,1.0,Eden Park,1770,5826,1975,1,141,,Active,,,http://www.redfin.com/RI/Cranston/142-Autumn-St-02910/home/51846572,RIS,1252920,N,Y,41.7690661,-71.4445117
MLS Listing,,Multi-Family (2-4 Unit),116 Oakland Ave,Pawtucket,RI,02861,279900,5,2.0,Darlington,3169,8500,1910,1,88,,Active,,,http://www.redfin.com/RI/Pawtucket/116-Oakland-Ave-02861/home/52009250,RIS,1252746,N,Y,41.8851764,-71.3592886
MLS Listing,,Multi-Family (2-4 Unit),169 Newell Ave,Pawtucket,RI,02860,279900,6,2.0,Pawtucket,3504,3440,1900,1,80,,Active,,,http://www.redfin.com/RI/Pawtucket/169-Newell-Ave-02860/home/52006187,RIS,1252898,N,Y,41.8663219,-71.40083
MLS Listing,,Single Family Residential,30 Talbot Manor Cir,Cranston,RI,02905,319900,3,1.5,Edgewood,1918,4588,1937,1,167,,Active,,,http://www.redfin.com/RI/Cranston/30-Talbot-Mnr-02905/home/51858506,RIS,1252874,N,Y,41.7824027,-71.3997632
MLS Listing,,Single Family Residential,24 Oak Ave,East Providence,RI,02915,139900,3,1.5,RIVERSIDE,1344,4356,1928,1,104,,Active,,,http://www.redfin.com/RI/Riverside/24-Oak-Ave-02915/home/51954184,RIS,1252876,N,Y,41.7695032,-71.3624201
MLS Listing,,Single Family Residential,161 Gentian Ave,Providence,RI,02908,410000,4,3.5,Providence,3673,7080,1958,1,112,,Active,,,http://www.redfin.com/RI/Providence/161-Gentian-Ave-02908/home/51713399,RIS,1252909,N,Y,41.850606,-71.449416
MLS Listing,,Single Family Residential,17 Mulberry Cir,Johnston,RI,02919,275000,4,1.0,Greenville Ave,1670,10146,1960,1,165,,Active,,,http://www.redfin.com/RI/Johnston/17-Mulberry-Cir-02919/home/51894586,RIS,1252888,N,Y,41.8425737,-71.5000253
MLS Listing,,Multi-Family (2-4 Unit),171 Robinson St,Woonsocket,RI,02895,280000,9,3.0,Woonsocket,3612,6434,1900,1,78,,Active,,,http://www.redfin.com/RI/Woonsocket/171-Robinson-St-02895/home/51963770,RIS,1252736,N,Y,42.0092049,-71.498553
MLS Listing,,Single Family Residential,56 Victor Ave,Johnston,RI,02919,250000,3,1.0,Johnston,1677,10000,1958,1,149,,Active,,,http://www.redfin.com/RI/Johnston/56-Victor-Ave-02919/home/51891573,RIS,1252857,N,Y,41.828663,-71.475958
MLS Listing,,Single Family Residential,357 Rocky Hill Rd,Scituate,RI,02857,289900,3,2.0,Scituate,1196,43560,1830,1,242,,Active,,,http://www.redfin.com/RI/Scituate/357-Rocky-Hill-Rd-02857/home/51973656,RIS,1252889,N,Y,41.85269,-71.640953
MLS Listing,,Single Family Residential,765 Old Smithfield Rd,North Smithfield,RI,02896,409900,4,3.5,North Smithfield,2524,579710,1982,1,162,200,Active,,,http://www.redfin.com/RI/North-Smithfield/765-Old-Smithfield-Rd-02896/home/51878427,RIS,1252682,N,Y,41.9696209,-71.501521
MLS Listing,,Single Family Residential,72 Valley St,Cranston,RI,02920,199900,2,1.0,Cranston,1010,4250,1953,1,198,,Active,,,http://www.redfin.com/RI/Cranston/72-Valley-St-02920/home/51840807,RIS,1252879,N,Y,41.7653787,-71.4779647
MLS Listing,,Single Family Residential,134 Danielson Pike,Foster,RI,02825,339900,3,2.0,Foster,2504,204732,1963,1,136,,Active,,,http://www.redfin.com/RI/Foster/134-Danielson-Pike-02825/home/51943469,RIS,1252872,N,Y,41.813728,-71.7469519
MLS Listing,,Single Family Residential,2 Mitris Blvd,Lincoln,RI,02865,549900,4,2.5,Kennedy Estates,3783,34848,1976,1,145,,Active,,,http://www.redfin.com/RI/Lincoln/2-Mitris-Blvd-02865/home/51884244,RIS,1252796,N,Y,41.9563922,-71.4621941
MLS Listing,,Single Family Residential,187 Saint Cecile Ave,Woonsocket,RI,02895,279900,4,2.0,East Woonsocket,2295,10001,1952,1,122,,Active,,,http://www.redfin.com/RI/Woonsocket/187-St-Cecile-Ave-02895/home/51964965,RIS,1252810,N,Y,42.0129139,-71.4915778
MLS Listing,,Single Family Residential,30 Groton St,Johnston,RI,02919,329900,3,2.0,Central Johnston,1954,10050,1990,1,169,,Active,,,http://www.redfin.com/RI/Johnston/30-Groton-St-02919/home/51899466,RIS,1252667,N,Y,41.8074729,-71.4723508
MLS Listing,,Single Family Residential,2 Lucille Dr,Smithfield,RI,02828,315000,3,2.5,Smithfield,2206,10454,1969,1,143,,Active,,,http://www.redfin.com/RI/Greenville/2-Lucille-Dr-02828/home/51814223,RIS,1252863,N,Y,41.8757131,-71.555114
