SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,127 Depot Rd,East Kingston,NH,03827,540000,3,2.5,East Kingston,2138,87120,2017,1,253,,Active,,,http://www.redfin.com/NH/East-Kingston/127-Depot-Rd-03827/home/88169208,MLS PIN,72651548,N,Y,42.9293094,-71.0285004
MLS Listing,,Single Family Residential,18 Porter St,Portsmouth,NH,03801,1395000,3,2.5,Portsmouth,2406,,2004,1,580,560,Active,,,http://www.redfin.com/NH/Portsmouth/18-Porter-St-03801/home/87962921,MLS PIN,72651541,N,Y,43.0762995,-70.7581328
MLS Listing,,Single Family Residential,18 Treat Farm Rd Lot 18,Stratham,NH,03885,899900,4,2.25,Stratham,3167,31798,2020,1,284,,Active,,,http://www.redfin.com/NH/Stratham/18-Country-Farm-Rd-03885/unit-18/home/171545186,NEREN,4803738,N,Y,42.9931539,-70.904453
MLS Listing,,Single Family Residential,4 King John Dr,Londonderry,NH,03053,550000,4,3.0,Londonderry,3284,43560,1972,1,167,,Active,,,http://www.redfin.com/NH/Londonderry/4-King-John-Dr-03053/home/143924823,NEREN,4803734,N,Y,42.8787892,-71.3704921
MLS Listing,,Single Family Residential,5 Treat Farm Rd Lot 5,Stratham,NH,03885,769900,4,2.5,Stratham,2687,34412,2020,1,287,,Active,,,http://www.redfin.com/NH/Stratham/5-Breslin-Farm-Rd-03885/unit-5/home/145386540,NEREN,4803732,N,Y,42.9892084,-70.9005521
MLS Listing,,Condo/Co-op,53 Pineview Dr,Candia,NH,03034,389900,2,2.5,Candia,1616,1873080,2020,1,241,275,Active,,,http://www.redfin.com/NH/Candia/53-Pineview-DR-03034/home/171544718,NEREN,4803731,N,Y,43.06290941044767,-71.29475129089357
MLS Listing,,Single Family Residential,59 Cluff Rd #5,Salem,NH,03079,289500,2,1.75,Salem,966,4791,2004,1,300,258,Active,,,http://www.redfin.com/NH/Salem/59-Cluff-Rd-03079/unit-5/home/88150487,NEREN,4803729,N,Y,42.7650009,-71.2115588
MLS Listing,,Condo/Co-op,113 Bow St Unit 3A,Portsmouth,NH,03801,829000,2,2.0,Portsmouth,1109,,1997,1,748,467,Active,,,http://www.redfin.com/NH/Portsmouth/113-Bow-St-03801/unit-3A/home/87960176,NEREN,4803724,N,Y,43.0790953,-70.755271
MLS Listing,,Single Family Residential,7 Battcock Ave,Hampton,NH,03842,369900,3,0.75,Hampton,748,2613,1964,1,495,,Active,,,http://www.redfin.com/NH/Hampton/7-Battcock-Ave-03842/home/88263318,NEREN,4803716,N,Y,42.9132127,-70.815038
MLS Listing,,Single Family Residential,20 North,Kingston,NH,03848,529900,4,2.5,Kingston,2787,239580,1990,1,190,,Active,,,http://www.redfin.com/NH/Kingston/20-North-Rd-03848/home/171543815,MLS PIN,72651465,N,Y,42.9435647,-71.0654752
