SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,405 Route 103 Rte,Clarendon,VT,05759,93500,,,Clarendon,,1001880,,1,,,Active,,,http://www.redfin.com/VT/Clarendon/405-Vermont-103-05759/home/145866215,NEREN,4803665,N,Y,43.530345,-72.9373268
MLS Listing,,Single Family Residential,63 Rockview Rd,Castleton,VT,05735,359000,3,1.0,Castleton,1402,17424,1947,1,256,,Active,,,http://www.redfin.com/VT/CASTLETON/63-ROCKVIEW-RD-05735/home/107862348,NEREN,4803657,N,Y,43.67153,-73.201126
MLS Listing,,Single Family Residential,1685 Scottsville Rd,Danby,VT,05739,149900,2,2.0,Danby,954,111077,1988,1,157,,Active,,,http://www.redfin.com/VT/Danby/1685-Scottsville-Rd-05739/home/91391431,NEREN,4803646,N,Y,43.3965401,-73.0206258
MLS Listing,,Single Family Residential,287 Andrus Dr,Pawlet,VT,05761,295000,4,2.5,Pawlet,2850,182952,1983,1,104,,Active,,,http://www.redfin.com/VT/Pawlet/287-Andrus-Dr-05761/home/63517406,NEREN,4803581,N,Y,43.3600459,-73.1577609
MLS Listing,,Single Family Residential,663 Pearl St,Brandon,VT,05733,155000,2,0.75,Brandon,1168,454330,1880,2,133,,Active,,,http://www.redfin.com/VT/Brandon/663-Pearl-St-05733/home/95085039,NEREN,4803507,N,Y,43.794044,-73.1016771
MLS Listing,,Single Family Residential,3166 McConnell Rd,Brandon,VT,05733,375000,3,2.25,Brandon,2450,440391,2010,2,153,,Active,,,http://www.redfin.com/VT/Brandon/3166-McConnell-Rd-05733/home/95085008,NEREN,4803500,N,Y,43.778663,-73.0491119
MLS Listing,,Single Family Residential,3997 US 7 Rte,Pittsford,VT,05763,99900,4,3.0,Pittsford,1808,10890,1890,2,55,,Active,,,http://www.redfin.com/VT/Pittsford/3997-US-7-05763/home/91213970,NEREN,4803499,N,Y,43.707764,-73.0291979
MLS Listing,,Single Family Residential,37 High Mountain Rd,Killington,VT,05751,1239000,4,3.75,Killington,4708,20037,2009,2,263,180,Active,,,http://www.redfin.com/VT/Killington/37-High-Mountain-Rd-05751/unit-3/home/96692596,NEREN,4803486,N,Y,43.6349742,-72.779712
MLS Listing,,Multi-Family (5+ Unit),93 & 57 Crossman Dr,Rutland Town,VT,05701,450000,11,10.5,Rutland Town,4544,52272,1973,3,99,,Active,,,http://www.redfin.com/VT/Rutland/57-Crossman-Dr-05701/home/113923958,NEREN,4803482,N,Y,43.629489,-72.938315
MLS Listing,,Single Family Residential,169 Saint John St,Rutland City,VT,05071,154000,4,2.0,Rutland City,1686,26571,1948,3,91,,Active,,,http://www.redfin.com/VT/Rutland/169-St-John-St-05701/home/91299352,NEREN,4803464,N,Y,43.6161462,-72.9581675
MLS Listing,,Single Family Residential,65 Rockview Rd,Castleton,VT,05735,320000,3,0.75,Castleton,900,16552,1962,3,356,,Active,,,http://www.redfin.com/VT/CASTLETON/65-ROCKVIEW-RD-05735/home/91274151,NEREN,4803428,N,Y,43.671302,-73.201081
MLS Listing,,Single Family Residential,339 Mountain View Rdg,Sudbury,VT,05733,465000,3,2.5,Sudbury,2200,1202256,2005,3,211,,Active,,,http://www.redfin.com/VT/Sudbury/339-Mountain-View-RDG-05733/home/169917265,NEREN,4803427,N,Y,43.802040929034575,-73.18283376190185
MLS Listing,,Single Family Residential,1186 E State Route 4 Hwy,Castleton,VT,05735,429000,3,1.5,Castleton,1635,10978426,1900,4,262,,Active,,,http://www.redfin.com/VT/Castleton/1186-E-State-Route-4-HWY-05735/home/171499127,NEREN,4803367,N,Y,43.61178032005237,-73.14376311772156
MLS Listing,,Single Family Residential,251 N College Street St,Poultney,VT,05764,124500,3,1.5,Poultney,1303,11761,1895,4,96,,Active,,,http://www.redfin.com/VT/Poultney/251-College-St-N-05764/home/91185476,NEREN,4803353,N,Y,43.520726,-73.2406668
MLS Listing,,Single Family Residential,152 Crane Ln,Hubbardton,VT,05735,329900,2,0.75,Hubbardton,1189,69696,1953,4,277,,Active,,,http://www.redfin.com/VT/Hubbardton/152-Crane-LN-05735/home/168730412,NEREN,4803316,N,Y,43.74487173562571,-73.20869216690063
MLS Listing,,Single Family Residential,343 High Ridge Rd,Killington,VT,05751,1295000,5,4.75,Killington,5000,20037,1986,4,259,,Active,,,http://www.redfin.com/VT/Killington/343-High-Ridge-Rd-05751/home/91378742,NEREN,4803275,N,Y,43.633985,-72.78021
MLS Listing,,Single Family Residential,218 George St,Killington,VT,05751,269000,3,2.0,Killington,1643,43560,1982,4,164,,Active,,,http://www.redfin.com/VT/Killington/218-George-St-05751/home/91377580,NEREN,4803263,N,Y,43.6608152,-72.794054
MLS Listing,,Multi-Family (2-4 Unit),5-7 Cramton Ave,Rutland City,VT,05701,159000,,2.0,Rutland City,2560,9147,1900,4,62,,Active,,,http://www.redfin.com/VT/Rutland/57-Cramton-Ave-05701/home/91300782,NEREN,4803167,N,Y,43.6105744,-72.9973331
MLS Listing,,Single Family Residential,45 Piedmont Pkwy,Rutland City,VT,05701,199000,3,2.0,Rutland City,2191,26136,1953,4,91,,Active,,,http://www.redfin.com/VT/Rutland/45-Piedmont-Pkwy-05701/home/91301583,NEREN,4803163,N,Y,43.6101646,-72.9569679
MLS Listing,,Single Family Residential,168 Country Club Rd,Brandon,VT,05733,177900,3,1.5,Brandon,1240,100187,1980,5,143,,Active,,,http://www.redfin.com/VT/Brandon/168-Country-Club-Rd-05733/home/91194914,NEREN,4803102,N,Y,43.8100738,-73.0710533
MLS Listing,,Single Family Residential,453 Tabor Rd,Shrewsbury,VT,05738,339900,3,1.5,Shrewsbury,1855,470448,1975,5,183,,Active,,,http://www.redfin.com/VT/Shrewsbury/453-Tabor-Rd-05738/home/91206471,NEREN,4803086,N,Y,43.491352,-72.7933879
MLS Listing,,Single Family Residential,58 Tyminski Ln,Hubbardton,VT,05735,199500,3,0.75,Hubbardton,890,11325,1930,5,224,,Active,,,http://www.redfin.com/VT/Hubbardton/58-Tyminski-LN-05735/home/162286598,NEREN,4803012,N,Y,43.74561386902843,-73.22077015409472
MLS Listing,,Single Family Residential,49 West St,Proctor,VT,05765,155000,4,2.0,Proctor,1746,20473,1880,5,89,,Active,,,http://www.redfin.com/VT/Proctor/49-West-St-05765/home/91375770,NEREN,4803009,N,Y,43.6583792,-73.0438944
MLS Listing,,Single Family Residential,78 N St Ext,Rutland City,VT,05701,89900,3,1.0,Rutland City,880,6534,1930,5,102,,Active,,,http://www.redfin.com/VT/Rutland/78-N-St-Ext-05701/home/91301390,NEREN,4802980,N,Y,43.619685,-72.966605
MLS Listing,,Vacant Land,291 Turkey Farm Rd,Benson,VT,05731,45000,,,Benson,,402930,,6,,,Active,,,http://www.redfin.com/VT/Benson/291-Turkey-Farm-Rd-05731/home/96582177,NEREN,4802942,N,Y,43.75067525046865,-73.34333967857361
MLS Listing,,Vacant Land,0 Turkey Farm Rd,Benson,VT,05731,69900,,,Benson,,331056,,6,,,Active,,,http://www.redfin.com/VT/Benson/Turkey-Farm-Rd-Unknown/home/91197831,NEREN,4802940,N,Y,43.752883,-73.354417
MLS Listing,,Single Family Residential,184 School St,Pawlet,VT,05761,197500,4,1.75,Pawlet,3292,65340,1790,6,60,,Active,,,http://www.redfin.com/VT/Pawlet/184-School-St-05761/home/91317967,NEREN,4802893,N,Y,43.3456936,-73.1800683
MLS Listing,,Single Family Residential,2130 Vermont 30S Rte,Poultney,VT,05764,229000,2,1.75,Poultney,1624,644688,2003,6,141,,Active,,,http://www.redfin.com/VT/Poultney/2130-VT-30-05764/home/146217648,NEREN,4802876,N,Y,43.492218,-73.204651
MLS Listing,,Multi-Family (2-4 Unit),165 Granger St,Rutland City,VT,05701,130000,4,2.0,Rutland City,2184,10890,1903,7,60,,Active,,,http://www.redfin.com/VT/Rutland/165-Granger-St-05701/home/91301865,NEREN,4802801,N,Y,43.5977818,-72.9790197
MLS Listing,,Multi-Family (2-4 Unit),78 Cleveland Ave,Rutland City,VT,05701,94500,4,7.0,Rutland City,3586,13503,1884,7,26,,Active,,,http://www.redfin.com/VT/Rutland/78-Cleveland-Ave-05701/home/91297375,NEREN,4802775,N,Y,43.6123727,-72.9884534
MLS Listing,,Vacant Land,00 Fiddlehill Rd,Sudbury,VT,05733,197500,,,Sudbury,,1742400,,8,,,Active,,,http://www.redfin.com/VT/Sudbury/Fiddle-Hill-Rd-05733/home/91378856,NEREN,4802653,N,Y,43.716285,-72.823712
MLS Listing,,Single Family Residential,61 Grove St,Poultney,VT,05764,110000,3,1.0,Poultney,2040,3484,1900,9,54,,Active,,,http://www.redfin.com/VT/Poultney/61-Grove-St-05764/home/95081104,NEREN,4802525,N,Y,43.5160178,-73.2325222
MLS Listing,,Single Family Residential,330 old ti Rd,Hubbardton,VT,05743,94900,4,2.5,Hubbardton,3120,436035,1985,9,30,,Active,,,http://www.redfin.com/VT/Fair-Haven/330-Old-Ti-Rd-05743/home/91367133,NEREN,4802523,N,Y,43.7179069,-73.188492
MLS Listing,,Single Family Residential,887 Townline Rd,Mendon,VT,05701,259000,4,1.5,Mendon,2232,132858,1900,9,116,,Active,,,http://www.redfin.com/VT/Mendon/887-Town-Line-Rd-05701/home/169139434,NEREN,4802518,N,Y,43.6220574,-72.9365936
MLS Listing,,Single Family Residential,16 Rachael Dr,Rutland City,VT,05701,224000,3,2.0,Rutland City,1814,30056,1989,11,123,,Active,,,http://www.redfin.com/VT/Rutland/16-Rachel-Dr-05701/home/91302091,NEREN,4802345,N,Y,43.6123212,-72.9515239
MLS Listing,,Condo/Co-op,180 Valley Park Rd Unit A-4,Killington,VT,05751,119500,2,1.0,Killington,864,,1979,12,138,507,Active,,,http://www.redfin.com/VT/Killington/180-Valley-Park-05751/unit-A-4/home/171407871,NEREN,4802215,N,Y,43.6618769,-72.774254
MLS Listing,,Single Family Residential,1765 Lilly Hill Rd,Danby,VT,05739,179900,4,2.5,Danby,2849,165528,2005,13,63,,Active,,,http://www.redfin.com/VT/Danby/1765-Lilly-Hill-RD-05739/home/171404116,NEREN,4802140,N,Y,43.3863430591881,-73.1106352149963
MLS Listing,,Vacant Land,442 Little Rutland Rd Unit (LOT),Castleton,VT,05735,499000,,,Castleton,,81021,,13,,,Active,,,http://www.redfin.com/VT/Castleton/442-Little-Rutland-RD-05735/unit-LOT/home/171397855,NEREN,4802114,N,Y,43.625592521390985,-73.21892747650146
MLS Listing,,Single Family Residential,440 Little Rutland Rd Unit (HL),Castleton,VT,05735,995000,8,2.5,Castleton,2254,118483,1950,13,441,,Active,,,http://www.redfin.com/VT/Castleton/440-Parsons-Hill-Rd-05735/unit-HL/home/167412150,NEREN,4802099,N,Y,43.625798298123556,-73.21919534654616
MLS Listing,,Single Family Residential,54 Pine Shadows Ln,Poultney,VT,05764,348000,2,1.0,Poultney,768,18730,1962,13,453,,Active,,,http://www.redfin.com/VT/Poultney/54-Pine-Shadows-Ln-05764/home/144228769,NEREN,4802079,N,Y,43.4703071,-73.2199135
MLS Listing,,Single Family Residential,18 Ward Rd,Poultney,VT,05764,1200000,4,3.25,Poultney,3222,5758631,1890,14,372,,Active,,,http://www.redfin.com/VT/Poultney/18-Ward-Rd-05764/home/91186019,NEREN,4801918,N,Y,43.561417,-73.224236
For-Sale-by-Owner Listing,,Single Family Residential,164 Meadowcrest Dr,North Clarendon,VT,05759,248000,3,1.75,Clarendon,2112,43560,1987,2,117,,Active,,,http://www.redfin.com/VT/North-Clarendon/164-Meadowcrest-Dr-05759/unit-44/home/91423089,Fizber.com,5054475,N,Y,43.550736,-72.966966
New Construction Plan,,Single Family Residential,Auburne,Rutland,VT,05701,322170,3,2.0,Wynnmere,1250,,,,258,,Active,,,http://www.redfin.com/VT/Unknown/Wynnmere/Auburne/home/171410425,NewHomeSource.com,Plan-121358857,N,Y,43.608408,-72.945673
