SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,7 Pine Hill Dr #7,Bath,ME,04530,140000,3,1.5,Bath,1248,265716,1986,1,112,210,Active,,,http://www.redfin.com/ME/Bath/7-Pine-Hill-Dr-04530/unit-7/home/171535296,MREIS,1451136,N,Y,43.90652,-69.8245031
MLS Listing,,Single Family Residential,45 Shell Rd,Phippsburg,ME,04562,4250000,28,23.0,Phippsburg,12694,200375,1900,1,335,,Active,,,http://www.redfin.com/ME/Phippsburg/45-Shell-Rd-04562/home/167083677,MREIS,1451070,N,Y,43.7632016,-69.8629672
MLS Listing,,Single Family Residential,40 Hamel Ridge Rd,Richmond,ME,04357,265000,3,2.0,Richmond,1344,304920,2013,3,197,21,Active,,,http://www.redfin.com/ME/Richmond/Hamel-Ridge-Dr-04357/home/100221091,MREIS,1451006,N,Y,44.131018,-69.878648
MLS Listing,,Single Family Residential,9 Beverly Blvd,Phippsburg,ME,04562,600000,3,2.0,Phippsburg,1500,25264,1970,4,400,,Active,,,http://www.redfin.com/ME/Phippsburg/9-Beverly-Blvd-04562/home/97621559,MREIS,1450956,N,Y,43.8149963,-69.8556606
MLS Listing,,Single Family Residential,77 Varney Mill Rd,Bath,ME,04530,325000,3,2.0,Bath,2992,82764,2004,4,109,,Active,,,http://www.redfin.com/ME/Bath/77-S-Varney-Mill-Rd-04530/home/100235947,MREIS,1450948,N,Y,43.9616721,-69.8436794
MLS Listing,,Vacant Land,Lot 2 New Meadows Rd,West Bath,ME,04530,250000,,,West Bath,,174240,,4,,,Active,,,http://www.redfin.com/ME/West-Bath/2-New-Meadows-Rd-04530/home/171498020,MREIS,1450918,N,Y,43.9094601,-69.8654991
MLS Listing,,Vacant Land,Lot 1 New Meadows Rd,West Bath,ME,04530,180000,,,West Bath,,174240,,4,,,Active,,,http://www.redfin.com/ME/West-Bath/1-New-Meadows-Rd-04530/home/171497997,MREIS,1450917,N,Y,43.9094601,-69.8654991
MLS Listing,,Single Family Residential,589 Post Rd,Bowdoinham,ME,04008,269000,3,2.0,Bowdoinham,1144,87120,2000,4,235,,Active,,,http://www.redfin.com/ME/Bowdoinham/589-Post-Rd-04008/home/100104481,MREIS,1450900,N,Y,44.0463476,-69.9035993
MLS Listing,,Single Family Residential,10 Bailey St,Bath,ME,04530,168500,2,1.0,Bath,1126,3049,1917,4,150,,Active,,,http://www.redfin.com/ME/Bath/10-Bailey-St-04530/home/100235643,MREIS,1450799,N,Y,43.9187803,-69.8216425
MLS Listing,,Single Family Residential,63 Varney Mill Rd,Bath,ME,04530,329000,2,1.0,Bath,1152,196020,1971,4,286,,Active,,,http://www.redfin.com/ME/Bath/63-S-Varney-Mill-Rd-04530/home/100237253,MREIS,1450773,N,Y,43.9603384,-69.8418581
MLS Listing,,Single Family Residential,39 Weeks St,Bath,ME,04530,125000,3,1.0,Bath,1839,8712,1900,5,68,,Active,,,http://www.redfin.com/ME/Bath/39-Weeks-St-04530/home/100235479,MREIS,1450718,N,Y,43.8990555,-69.8184462
MLS Listing,,Vacant Land,TBD Meadow Brook Rd,Phippsburg,ME,04562,199000,,,Phippsburg,,479160,,6,,,Active,,,http://www.redfin.com/ME/Phippsburg/TBD-Meadowbrook-Rd-04562/home/171444317,MREIS,1450554,N,Y,43.8265357,-69.8450714
MLS Listing,,Single Family Residential,29 & 30 Arrowhead Lane + 5 acres Land,Arrowsic,ME,04530,810000,4,3.5,Arrowsic,2647,410770,1986,7,306,,Active,,,http://www.redfin.com/ME/Arrowsic/29-30-Arrowhead-Lane-5-acres-LAND-Unknown/home/171437905,MREIS,1450498,N,Y,43.8498037,-69.7781014
MLS Listing,,Single Family Residential,29 & 30 Arrowhead Ln,Arrowsic,ME,04530,670000,4,3.5,Arrowsic,2647,179467,1986,7,253,,Active,,,http://www.redfin.com/ME/Arrowsic/29-30-Arrowhead-LN-Unknown/home/171437840,MREIS,1450496,N,Y,43.8498037,-69.7781014
MLS Listing,,Single Family Residential,30 Arrowhead Ln,Arrowsic,ME,04530,300000,2,1.0,Arrowsic,1066,90169,1986,7,281,,Active,,,http://www.redfin.com/ME/Arrowsic/25-Mosquito-Run-04530/home/106096354,MREIS,1450494,N,Y,43.8561698,-69.7741173
MLS Listing,,Single Family Residential,29 Arrowhead Ln,Arrowsic,ME,04530,380000,2,2.5,Arrowsic,1581,89297,1986,7,240,,Active,,,http://www.redfin.com/ME/Arrowsic/23-Mosquito-Run-04530/home/106096352,MREIS,1450493,N,Y,43.8561883,-69.7741166
MLS Listing,,Vacant Land,0 Fisher Rd,Bowdoinham,ME,04008,170000,,,Bowdoinham,,2395800,,7,,,Active,,,http://www.redfin.com/ME/Bowdoinham/Fisher-Rd-04008/home/100103443,MREIS,1450480,N,Y,43.993447,-69.915895
MLS Listing,,Vacant Land,3B (Lot) Narrows Way,Georgetown,ME,04548,180000,,,Georgetown,,104544,,8,,,Active,,,http://www.redfin.com/ME/Georgetown/3-Narrows-Way-04548/home/66671113,MREIS,1450450,N,Y,43.8321612,-69.7131601
MLS Listing,,Single Family Residential,39 Driftwood Ln #11,Phippsburg,ME,04562,465000,3,2.0,Phippsburg,1680,130680,1940,8,277,200,Active,,,http://www.redfin.com/ME/Phippsburg/39-Driftwood-LN-04562/unit-11/home/171544159,MREIS,1450407,N,Y,43.820638,-69.8147684
