SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6 Deerfield Ct,Rochester,NH,03868,269900,4,2.0,Rochester,1960,23958,2001,1,138,,Active,,,http://www.redfin.com/NH/Rochester/6-Deerfield-Ct-03868/home/96640329,NEREN,4803743,N,Y,43.3231166,-70.9781543
MLS Listing,,Single Family Residential,3 Capitol Cir,Rochester,NH,03867,299900,3,1.75,Rochester,1787,30056,1998,1,168,,Active,,,http://www.redfin.com/NH/Rochester/3-Capitol-Cir-03867/home/108638209,NEREN,4803700,N,Y,43.3185571,-71.0033223
MLS Listing,,Vacant Land,3 Adams Way Lot Adams,Middleton,NH,03887,82900,,,Middleton,,327135,,1,,,Active,,,http://www.redfin.com/NH/Middleton/3-Adams-Way-03887/unit-Adams/home/171538071,NEREN,4803694,N,Y,43.4798205,-71.041516
MLS Listing,,Vacant Land,25 Adams Way Lot 25,Middleton,NH,03887,33900,,,Middleton,,111513,,1,,,Active,,,http://www.redfin.com/NH/Middleton/25-Adams-Way-03887/unit-25/home/109213168,NEREN,4803692,N,Y,43.4786083,-71.0375984
MLS Listing,,Vacant Land,23 Adams Way Lot 23,Middleton,NH,03887,28900,,,Middleton,,111077,,1,,,Active,,,http://www.redfin.com/NH/Middleton/23-Adams-Way-03887/unit-23/home/109213166,NEREN,4803691,N,Y,43.4782702,-71.0382135
MLS Listing,,Vacant Land,9 Adams Way Lot 9,Middleton,NH,03887,28900,,,Middleton,,104544,,1,,,Active,,,http://www.redfin.com/NH/Middleton/9-Adams-Way-03887/unit-9/home/109213163,NEREN,4803689,N,Y,43.4796733,-71.0400826
MLS Listing,,Townhouse,58 Woodland Green Rd #58,Rochester,NH,03803,129000,2,1.5,Rochester,1048,,1987,1,123,335,Active,,,http://www.redfin.com/NH/Rochester/58-Woodland-Grn-03868/unit-58/home/112873563,NEREN,4803661,N,Y,43.3282408,-70.9610718
MLS Listing,,Single Family Residential,7 Oak Knoll Ln,Durham,NH,03824,489000,3,2.25,Durham,2098,40075,2019,1,233,76,Active,,,http://www.redfin.com/NH/DURHAM/7-OAK-KNOLL-LN-03824/home/109817942,NEREN,4803655,N,Y,43.15041825577134,-70.92581795469998
MLS Listing,,Single Family Residential,10 Florence St,Dover,NH,03820,250000,3,1.5,Dover,1352,5096,1900,1,185,,Active,,,http://www.redfin.com/NH/Dover/10-Florence-St-03820/home/88162066,NEREN,4803649,N,Y,43.2050737,-70.8705819
MLS Listing,,Single Family Residential,25 Foster's Dr Lot 3,Dover,NH,03820,1099000,5,3.5,Dover,3766,94525,2017,1,292,133,Active,,,http://www.redfin.com/NH/Dover/25-Fosters-Dr-03820/unit-3/home/145247665,NEREN,4803648,N,Y,43.1530609,-70.8399554
