SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,10 Emmet St #2,Boston,MA,02127,424900,1,1.0,South Boston,375,375,1890,6,1133,135,Active,,,http://www.redfin.com/MA/Boston/10-Emmet-St-02127/unit-2/home/12439658,MLS PIN,72649102,N,Y,42.3369021,-71.0388543
MLS Listing,,Condo/Co-op,1754 Commonwealth Ave #12,Boston,MA,02135,499000,2,1.0,Boston,819,819,1910,12,609,415,Active,,,http://www.redfin.com/MA/Boston/1754-Commonwealth-Ave-02135/unit-12/home/9022982,MLS PIN,72647133,N,Y,42.3407852,-71.1498412
MLS Listing,,Condo/Co-op,109 D St #3,Boston,MA,02127,679000,2,1.0,South Boston,1062,1062,2006,12,639,155,Active,,,http://www.redfin.com/MA/Boston/109-D-St-02127/unit-3/home/18983096,MLS PIN,72646991,N,Y,42.3353257,-71.0546622
MLS Listing,,Condo/Co-op,109 N St #1,Boston,MA,02127,459000,1,1.0,South Boston,480,480,1920,12,956,140,Active,,,http://www.redfin.com/MA/Boston/109-N-St-02127/unit-1/home/11511722,MLS PIN,72646946,N,Y,42.3344853,-71.0314719
MLS Listing,,Condo/Co-op,1501 Commonwealth Ave #302,Boston,MA,02135,850000,2,2.0,Brighton,995,,2015,19,854,452,Active,,,http://www.redfin.com/MA/Boston/1501-Commonwealth-Ave-02135/unit-302/home/101661823,MLS PIN,72644605,N,Y,42.3475081,-71.1413866
MLS Listing,,Condo/Co-op,865 E 2nd St #1,Boston,MA,02127,899000,2,2.0,Boston,1687,1687,1899,40,533,200,Active,,,http://www.redfin.com/MA/Boston/865-E-2nd-St-02127/unit-1/home/21719483,MLS PIN,72638211,N,Y,42.3371892,-71.0282927
MLS Listing,,Townhouse,794 E 7Th St Unit K,Boston,MA,02127,1050000,2,2.5,South Boston,1152,1152,2000,54,911,442,Active,,,http://www.redfin.com/MA/Boston/794-E-7th-St-02127/unit-K/home/9303434,MLS PIN,72632411,N,Y,42.3326206,-71.0286744
MLS Listing,,Condo/Co-op,106 13th St #317,Boston,MA,02129,599000,2,2.0,Charlestown's Navy Yard,1077,,1920,62,556,1022,Active,,,http://www.redfin.com/MA/Boston/106-13th-St-02129/unit-317/home/9051197,MLS PIN,72628095,N,Y,42.377706,-71.0505749
MLS Listing,,Condo/Co-op,59 Fleet St #5,Boston,MA,02109,790000,2,1.0,Waterfront,792,792,1900,76,997,477,Active,,,http://www.redfin.com/MA/Boston/59-Fleet-St-02109/unit-5/home/9269712,MLS PIN,72621286,N,Y,42.3639789,-71.0513732
MLS Listing,,Condo/Co-op,156-160 Chelsea St #101,Boston,MA,02128,505000,1,2.0,East Boston,1377,1377,1945,83,367,461,Active,,,http://www.redfin.com/MA/Boston/156-Chelsea-St-02128/unit-101/home/21717224,MLS PIN,72618581,N,Y,42.3740594,-71.0341774
MLS Listing,,Condo/Co-op,650 Columbia Rd #1,Boston,MA,02125,425000,3,1.0,Dorchester's Uphams Corner,1297,,1907,88,328,200,Active,,,http://www.redfin.com/MA/Dorchester/650-Columbia-Rd-02125/unit-1/home/145353442,MLS PIN,72616901,N,Y,42.318819,-71.0637193
MLS Listing,,Condo/Co-op,574 E Broadway #2,Boston,MA,02127,579900,2,1.0,South Boston,702,702,1890,1,826,135,Active,,,http://www.redfin.com/MA/Boston/574-E-Broadway-02127/unit-2/home/18982360,MLS PIN,72651519,N,Y,42.3357744,-71.0411722
MLS Listing,,Townhouse,43 Worcester St #1,Boston,MA,02118,1775000,3,2.0,South End,2202,2202,1890,1,806,301,Active,,,http://www.redfin.com/MA/Boston/43-Worcester-St-02118/unit-1/home/9322330,MLS PIN,72651499,N,Y,42.338769,-71.0768884
MLS Listing,,Condo/Co-op,26 Bardwell St #1,Boston,MA,02130,929000,3,3.0,Jamaica Plain,1936,,2019,1,480,330,Active,May-9-2020 12:00 PM,May-9-2020 02:00 PM,http://www.redfin.com/MA/Jamaica-Plain/26-Bardwell-St-02130/unit-1/home/169600845,MLS PIN,72651460,N,Y,42.3079808,-71.1171624
MLS Listing,,Single Family Residential,52 Piedmont St,Boston,MA,02116,2249000,2,3.5,Bay Village,2400,653,1910,1,937,,Active,,,http://www.redfin.com/MA/Boston/52-Piedmont-St-02116/home/9263346,MLS PIN,72651412,N,Y,42.3496593,-71.0692183
MLS Listing,,Condo/Co-op,1313 Washington St #413,Boston,MA,02118,995000,1,1.0,South End,945,945,2002,1,1053,849,Active,,,http://www.redfin.com/MA/Boston/1313-Washington-St-02118/unit-413/home/9316667,MLS PIN,72651395,N,Y,42.3422378,-71.0685375
MLS Listing,,Condo/Co-op,63 Atlantic Ave Unit 5E,Boston,MA,02110,649000,1,1.0,Waterfront,591,,1920,1,1098,602,Active,,,http://www.redfin.com/MA/Boston/63-Atlantic-Ave-02110/unit-5E/home/28961455,MLS PIN,72651363,N,Y,42.3631262,-71.0513089
MLS Listing,,Condo/Co-op,3 Oakdale St #1,Boston,MA,02130,435000,2,1.0,Boston,757,701,1920,1,575,175,Active,,,http://www.redfin.com/MA/Boston/3-Oakdale-St-02130/unit-1/home/9145134,MLS PIN,72651355,N,Y,42.3129283,-71.1070809
MLS Listing,,Townhouse,616 E 8th St #0,Boston,MA,02127,1400000,3,2.5,South Boston,1950,,1910,1,718,,Active,,,http://www.redfin.com/MA/Boston/616-E-8th-St-02127/unit-616/home/40294336,MLS PIN,72651351,N,Y,42.3316257,-71.0365256
MLS Listing,,Condo/Co-op,7 Lothian Rd #6,Boston,MA,02135,420000,2,1.0,Brighton's Cleveland Circle,700,,1900,1,600,354,Active,,,http://www.redfin.com/MA/Brighton/7-Lothian-Rd-02135/unit-6/home/137405774,MLS PIN,72651348,N,Y,42.3403411,-71.1536477
MLS Listing,,Condo/Co-op,16 Harcourt St Unit 6B,Boston,MA,02116,1469000,2,2.0,Back Bay,1100,,1985,1,1335,1454,Active,,,http://www.redfin.com/MA/Boston/16-Harcourt-St-02116/unit-6B/home/166637489,MLS PIN,72651309,N,Y,42.346096,-71.078088
MLS Listing,,Condo/Co-op,97 Green St #3,Boston,MA,02130,1100000,3,2.0,Jamaica Plain,1225,,1905,1,898,225,Active,,,http://www.redfin.com/MA/Jamaica-Plain/97-Green-St-02130/unit-3/home/171536043,MLS PIN,72651253,N,Y,42.3112173,-71.1091664
MLS Listing,,Condo/Co-op,69 Preble Ph 2,Boston,MA,02127,989000,2,2.5,South Boston,1504,,2020,1,658,350,Active,,,http://www.redfin.com/MA/Boston/69-Preble-St-02109/unit-2/home/170215729,MLS PIN,72651245,N,Y,42.3290853,-71.0538866
MLS Listing,,Single Family Residential,118 W Concord St,Boston,MA,02118,4895000,4,4.0,South End,4554,2222,1875,1,1075,,Active,,,http://www.redfin.com/MA/Boston/118-W-Concord-St-02118/home/9289966,MLS PIN,72651227,N,Y,42.3392041,-71.076809
MLS Listing,,Condo/Co-op,23 Saint Gregory St #2,Boston,MA,02124,750000,3,2.5,Dorchester's Lower Mills,1875,,2017,1,400,212,Active,,,http://www.redfin.com/MA/Boston/23-St-Gregory-St-02124/unit-2/home/113012266,MLS PIN,72651213,N,Y,42.2757496,-71.0681035
MLS Listing,,Condo/Co-op,3 Battery Wharf #3606,Boston,MA,02109,2195000,2,2.0,Waterfront,1478,1478,2008,1,1485,2441,Active,,,http://www.redfin.com/MA/Boston/3-Battery-Wharf-02109/unit-3606/home/17486370,MLS PIN,72651178,N,Y,42.3673532,-71.0503107
MLS Listing,,Condo/Co-op,8 Linwood Sq #2,Boston,MA,02119,749999,2,2.5,Roxbury's Fort Hill,1681,,1900,1,446,225,Active,,,http://www.redfin.com/MA/Boston/8-Linwood-Sq-02119/unit-2/home/171535162,MLS PIN,72651195,N,Y,42.32846,-71.09404
MLS Listing,,Multi-Family (2-4 Unit),48 Charger St,Revere,MA,02151,849900,5,3.5,Revere,3673,5344,1991,1,231,,Active,,,http://www.redfin.com/MA/Revere/48-Charger-St-02151/home/9052822,MLS PIN,72651153,N,Y,42.4220914,-71.0157467
MLS Listing,,Townhouse,6 Summit Ave #2,Chelsea,MA,02150,539900,3,2.0,Chelsea,1410,,2020,1,383,,Active,,,http://www.redfin.com/MA/Chelsea/6-Summit-Ave-02150/unit-2/home/171534526,MLS PIN,72651151,N,Y,42.401029,-71.0249517
MLS Listing,,Single Family Residential,4 Destefano Rd,Boston,MA,02131,789999,3,2.5,Roslindale,1690,5644,1900,1,467,,Active,,,http://www.redfin.com/MA/Roslindale/4-Destefano-Rd-02131/home/9181825,MLS PIN,72651149,N,Y,42.284088,-71.1185087
MLS Listing,,Condo/Co-op,714 E 5th St #2,Boston,MA,02127,825000,2,2.0,South Boston's City Point,1379,,1875,1,598,205,Active,,,http://www.redfin.com/MA/Boston/714-E-5th-St-02127/unit-2/home/145472751,MLS PIN,72651134,N,Y,42.3341016,-71.0316198
MLS Listing,,Condo/Co-op,520 Dorchester Ave #2,Boston,MA,02127,899000,2,2.0,South Boston,1270,,2019,1,708,275,Active,,,http://www.redfin.com/MA/Boston/520-Dorchester-Ave-02127/unit-2/home/171533716,MLS PIN,72651089,N,Y,42.3314502,-71.0567625
MLS Listing,,Condo/Co-op,45 Church St #2,Boston,MA,02116,1389000,2,2.5,Bay Village,1295,,1954,1,1073,447,Active,,,http://www.redfin.com/MA/Boston/45-Church-St-02116/unit-2/home/9321338,MLS PIN,72651047,N,Y,42.3495087,-71.068123
MLS Listing,,Condo/Co-op,9 W Broadway #310,Boston,MA,02127,1069000,2,2.0,South Boston,1167,,1906,1,916,658,Active,,,http://www.redfin.com/MA/Boston/9-W-Broadway-02127/unit-310/home/11837639,MLS PIN,72650977,N,Y,42.3423405,-71.0578677
MLS Listing,,Condo/Co-op,790 E 4Th St #2,Boston,MA,02127,549900,1,1.0,South Boston,736,736,1890,1,747,200,Active,,,http://www.redfin.com/MA/Boston/790-E-4th-St-02127/unit-2/home/9323992,MLS PIN,72650965,N,Y,42.3350564,-71.0316786
MLS Listing,,Single Family Residential,616 E 8th St,Boston,MA,02127,1400000,3,2.5,South Boston,1950,,1910,1,718,,Active,,,http://www.redfin.com/MA/Boston/616-E-8th-St-02127/home/9193290,MLS PIN,72650940,N,Y,42.3316257,-71.0365256
MLS Listing,,Multi-Family (2-4 Unit),29 Winthrop Shore Dr,Winthrop,MA,02152,949000,3,2.5,Winthrop,3175,6149,1901,1,299,,Active,,,http://www.redfin.com/MA/Winthrop/29-Winthrop-Shore-Dr-02152/home/11513279,MLS PIN,72650934,N,Y,42.3713578,-70.968449
MLS Listing,,Condo/Co-op,44 Prince St #212,Boston,MA,02113,368649,1,1.0,North End,692,692,2005,1,533,184,Active,,,http://www.redfin.com/MA/Boston/44-Prince-St-02113/unit-212/home/12439676,MLS PIN,72650921,N,Y,42.3644389,-71.0549785
MLS Listing,,Condo/Co-op,505 Tremont St #210,Boston,MA,02116,2200000,2,2.0,South End,1561,,2004,2,1409,1713,Active,,,http://www.redfin.com/MA/Boston/505-Tremont-St-02116/unit-210/home/9325973,MLS PIN,72650880,N,Y,42.3449407,-71.0707026
MLS Listing,,Single Family Residential,5 Hubbard St,Boston,MA,02130,1370000,4,2.0,Jamaica Plain,2293,2255,1910,2,597,,Active,,,http://www.redfin.com/MA/Jamaica-Plain/5-Hubbard-St-02130/home/9142666,MLS PIN,72650865,N,Y,42.3164576,-71.1060677
