SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,53 Coolidge Dr,Washington,NH,03280,299000,3,1.75,Washington,1547,48787,2020,7,193,,Active,,,http://www.redfin.com/NH/Washington/53-Coolidge-Dr-03280/home/88211613,NEREN,4802779,N,Y,43.1611598,-72.1399492
MLS Listing,,Single Family Residential,86 Hamel Rd,Sunapee,NH,03782,379000,3,1.5,Sunapee,1272,2613,1970,1,298,,Active,,,http://www.redfin.com/NH/Sunapee/86-Hamel-Rd-03782/home/103029135,NEREN,4803745,N,Y,43.3470274,-72.0854763
MLS Listing,,Single Family Residential,884 Hurd Pond Rd #512,Unity,NH,03743,295000,3,3.0,Unity,2028,248292,1967,1,145,,Active,,,http://www.redfin.com/NH/Unity/884-Hurd-Pond-RD-03743/unit-512/home/171535576,NEREN,4803652,N,Y,43.29026484390144,-72.19669308090208
MLS Listing,,Vacant Land,108 Hayward Rd,Croydon,NH,03773,69000,,,Croydon,,348480,,1,,,Active,,,http://www.redfin.com/NH/Croydon/108-Hayward-Rd-03773/home/112360730,NEREN,4803635,N,Y,43.4099608,-72.1794404
MLS Listing,,Single Family Residential,543 Hanover St,Claremont,NH,03743,199000,2,1.0,Claremont,1493,576734,1945,1,133,,Active,,,http://www.redfin.com/NH/Claremont/543-Hanover-St-03743/home/108651729,NEREN,4803564,N,Y,43.4079491,-72.3307435
MLS Listing,,Single Family Residential,56 Mulberry St,Claremont,NH,03743,139900,5,3.75,Claremont,2835,7405,1940,1,49,,Active,,,http://www.redfin.com/NH/Claremont/56-Mulberry-St-03743/home/108650876,NEREN,4803558,N,Y,43.3704569,-72.3435769
MLS Listing,,Single Family Residential,108 High Ridge Rd,Sunapee,NH,03782,1995000,5,7.0,Sunapee,7389,94089,1995,1,270,,Active,,,http://www.redfin.com/NH/Sunapee/108-High-Ridge-Rd-03782/home/88210352,NEREN,4803535,N,Y,43.4123973,-72.0738977
MLS Listing,,Single Family Residential,22 Woodland Rd,Sunapee,NH,03782,1695000,5,3.5,Sunapee,4229,30056,1998,1,401,,Active,,,http://www.redfin.com/NH/Sunapee/22-Woodland-Rd-03782/home/88209820,NEREN,4803526,N,Y,43.4111982,-72.0620702
MLS Listing,,Vacant Land,Lemere and Potato Hill Rd,Unity,NH,03603,311250,,,Unity,,11543400,,3,,,Active,,,http://www.redfin.com/NH/Unity/Potato-Hill-Rd-03773/home/88026920,NEREN,4803481,N,Y,43.30117853209065,-72.23053056488035
MLS Listing,,Vacant Land,00 Lemere Rd,Unity,NH,03743,187000,,,Unity,,6534000,,3,,,Active,,,http://www.redfin.com/NH/Claremont/Lemere-Rd-03743/home/88027286,NEREN,4803480,N,Y,43.30155619478796,-72.23387922668456
MLS Listing,,Condo/Co-op,43 Black Duck Spur,Grantham,NH,03753,284043,3,2.0,Grantham,1362,,1979,3,209,668,Active,,,http://www.redfin.com/NH/Grantham/43-Black-Duck-Spur-03753/home/96652459,NEREN,4803429,N,Y,43.5172328,-72.113116
MLS Listing,,Vacant Land,L49 Ashuelot Dr,Washington,NH,03280,10000,,,Washington,,72309,,3,,,Active,,,http://www.redfin.com/NH/Washington/Ashuelot-Dr-03280/home/88210926,NEREN,4803423,N,Y,43.174317,-72.149499
MLS Listing,,Single Family Residential,354 Bay Point Rd,Sunapee,NH,03782,2495000,5,5.5,Sunapee,6626,34412,2000,3,377,,Active,,,http://www.redfin.com/NH/Sunapee/354-Bay-Point-Rd-03782/home/63516831,NEREN,4803409,N,Y,43.3615674,-72.0654496
MLS Listing,,Single Family Residential,103 2nd NH Tpke,Unity,NH,03743,229900,2,1.0,Unity,1936,306662,1999,4,119,,Active,,,http://www.redfin.com/NH/Claremont/103-2nd-NH-Tpke-03743/home/63519935,NEREN,4803352,N,Y,43.3265591,-72.3101641
MLS Listing,,Single Family Residential,24 Fairway Dr,Grantham,NH,03753,425000,3,3.0,Grantham,2570,19166,1985,4,165,304,Active,,,http://www.redfin.com/NH/Grantham/24-Fairway-Dr-03753/home/96450304,NEREN,4803336,N,Y,43.5027269,-72.1205319
MLS Listing,,Vacant Land,Connecticut Heights Rd,Charlestown,NH,03603,65000,,,Charlestown,,426888,,5,,,Active,,,http://www.redfin.com/NH/CHARLESTOWN/CONNECTICUT-HEIGHTS-RD-03603/home/103046050,NEREN,4803056,N,Y,43.226133,-72.396166
MLS Listing,,Single Family Residential,14 Valley Rd Lot 14,Washington,NH,03280,299000,2,1.75,Washington,1303,230868,2020,5,229,,Active,,,http://www.redfin.com/NH/Washington/14-Valley-Rd-03280/unit-14/home/171219738,NEREN,4803017,N,Y,43.1736203,-72.0934105
MLS Listing,,Single Family Residential,69 Washington Dr Lot 69,Washington,NH,03280,535000,3,1.75,Washington,1666,33976,2020,5,321,,Active,,,http://www.redfin.com/NH/Washington/69-Washington-Dr-03280/unit-69/home/160664517,NEREN,4802993,N,Y,43.166015,-72.0642438
MLS Listing,,Condo/Co-op,19 Kimball Pl,Claremont,NH,03743,114900,2,1.5,Claremont,1494,,1989,6,77,230,Active,,,http://www.redfin.com/NH/Claremont/19-Kimball-Pl-03743/home/96626763,NEREN,4802944,N,Y,43.3645139,-72.3653805
MLS Listing,,Vacant Land,100 Long Pond Rd,Washington,NH,03280,55000,,,Washington,,614196,,7,,,Active,,,http://www.redfin.com/NH/Washington/100-Long-Pond-RD-03280/home/171442045,NEREN,4802820,N,Y,43.1386372325444,-72.0680046188354
MLS Listing,,Single Family Residential,30 Winding Wood Rd,Springfield,NH,03284,179900,2,2.0,Springfield,1408,101059,1978,7,128,304,Active,,,http://www.redfin.com/NH/SPRINGFIELD/30-WINDING-WOOD-RD-03284/home/77475502,NEREN,4802800,N,Y,43.515565,-72.096387
MLS Listing,,Single Family Residential,10 2Nd Nh,Lempster,NH,03605,245000,3,2.25,Lempster,2483,19602,1900,8,99,,Active,,,http://www.redfin.com/NH/Lempster/10-N-2nd-H-Tpke-03605/home/63530687,NEREN,4802580,N,Y,43.2260723,-72.1789356
MLS Listing,,Single Family Residential,54 Brookridge Dr,Grantham,NH,03753,229054,3,1.5,Grantham,1309,48264,1975,10,175,304,Active,,,http://www.redfin.com/NH/Grantham/54-Brookridge-Dr-03753/home/96460744,NEREN,4802438,N,Y,43.4988707,-72.1045174
MLS Listing,,Single Family Residential,68 Burkehaven Ln,Sunapee,NH,03782,4750000,3,2.0,Sunapee,1678,644688,1935,10,2831,,Active,,,http://www.redfin.com/NH/Sunapee/68-Burkehaven-Ln-03782/home/103029436,NEREN,4802426,N,Y,43.3723501,-72.0738664
MLS Listing,,Vacant Land,0 of Brook Rd Ofc of,Goshen,NH,03752,197500,,,Goshen,,596772,,11,,,Active,,,http://www.redfin.com/NH/Goshen/Brook-Rd-03752/unit-of/home/169427934,NEREN,4802287,N,Y,43.32567682717706,-72.09787161750795
MLS Listing,,Vacant Land,000 Beryl Mountain Rd,Acworth,NH,03601,32500,,,Acworth,,97138,,14,,,Active,,,http://www.redfin.com/NH/Acworth/Beryl-Mountain-Rd-03607/home/88027829,NEREN,4801900,N,Y,43.186922,-72.289436
