SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,336 Route 87,Columbia,CT,06237,189900,2,1.0,Columbia,1052,81021,1900,1,181,,Active,,,http://www.redfin.com/CT/Columbia/336-CT-87-06237/home/53775547,Smart MLS,170292125,N,Y,41.6995802,-72.3013202
MLS Listing,,Single Family Residential,322 Lake St,Vernon,CT,06066,369900,4,2.5,Vernon,2133,35719,2019,1,173,,Active,,,http://www.redfin.com/CT/Vernon/322-Lake-St-06066/home/147844946,Smart MLS,170292354,N,Y,41.8051048,-72.4700439
MLS Listing,,Single Family Residential,6 Eagle Dr,Ellington,CT,06029,514900,4,3.5,Ellington,3015,40075,2006,1,171,,Active,,,http://www.redfin.com/CT/Ellington/6-Eagle-Dr-06029/home/54248185,Smart MLS,170291762,N,Y,41.8823074,-72.5122792
MLS Listing,,Single Family Residential,34 Brook Crossing Ext Ext,Ellington,CT,06029,499900,3,2.5,Highfield Estate,2500,58370,2021,1,200,,Active,,,http://www.redfin.com/CT/Ellington/34-Brook-Xing-06029/home/54248295,Smart MLS,170291753,N,Y,41.9327068,-72.4821714
MLS Listing,,Single Family Residential,77 Westford Ave,Stafford,CT,06076,289900,3,2.0,Stafford,2642,40075,1956,1,110,,Active,,,http://www.redfin.com/CT/Stafford-Springs/77-Westford-Ave-06076/home/53905839,Smart MLS,170292204,N,Y,41.9529663,-72.2900178
MLS Listing,,Single Family Residential,62 Meadowlark Rd,Vernon,CT,06066,229900,4,2.0,Vernon,1304,23086,1968,1,176,,Active,,,http://www.redfin.com/CT/Vernon/62-Meadowlark-Rd-06066/home/54340835,Smart MLS,170292127,N,Y,41.8467619,-72.4580138
MLS Listing,,Single Family Residential,180 Talcott Hill Rd,Coventry,CT,06238,279900,4,2.0,Coventry,2308,51836,1977,1,121,,Active,,,http://www.redfin.com/CT/Coventry/180-Talcott-Hill-Rd-06238/home/54452574,Smart MLS,170278253,N,Y,41.7857193,-72.3489414
MLS Listing,,Single Family Residential,71 Old Farms Rd,Tolland,CT,06084,229900,3,2.0,Tolland,1511,33541,1962,1,152,,Active,,,http://www.redfin.com/CT/Tolland/71-Old-Farm-Rd-06084/home/54112683,Smart MLS,170292045,N,Y,41.8432042,-72.3314302
MLS Listing,,Single Family Residential,121 Snipsic Lake Rd,Ellington,CT,06029,105000,3,1.0,Ellington,1404,30056,1957,1,75,,Active,,,http://www.redfin.com/CT/Ellington/121-Snipsic-Lake-Rd-06029/home/54252398,Smart MLS,170292115,N,Y,41.9000748,-72.4573089
MLS Listing,,Vacant Land,12 Broad Brook Rd,Ellington,CT,06029,154900,,,Ellington,,383328,,2,,,Active,,,http://www.redfin.com/CT/Ellington/12-Broad-Brook-Rd-06029/home/145077212,Smart MLS,170292051,N,Y,41.9186152,-72.5066074
MLS Listing,,Single Family Residential,16 Tannery Hill Ln,Hebron,CT,06248,339000,4,2.5,Gilead,2717,37897,1995,2,125,,Active,,,http://www.redfin.com/CT/Hebron/16-Tannery-Hill-Ln-06248/home/54032616,Smart MLS,170290695,N,Y,41.6790886,-72.4305071
MLS Listing,,Condo/Co-op,60 Old Town Rd #60,Vernon,CT,06066,75000,2,1.5,Vernon,1292,,1983,2,58,268,Active,,,http://www.redfin.com/CT/Vernon/60-Old-Town-Rd-06066/unit-60/home/171515571,Smart MLS,170291969,N,Y,41.8607812,-72.4796898
MLS Listing,,Multi-Family (2-4 Unit),122 Windermere Ave,Ellington,CT,06029,349900,8,4.0,Ellington,3794,60983,1989,3,92,,Active,,,http://www.redfin.com/CT/Ellington/122-Windermere-Ave-06029/home/54249561,Smart MLS,170291940,N,Y,41.8768544,-72.4782144
MLS Listing,,Single Family Residential,44 Barbers Way #44,Hebron,CT,06248,269900,3,2.5,Hebron,1760,,2006,3,153,290,Active,,,http://www.redfin.com/CT/Hebron/44-Barber-s-Way-06248/unit-44/home/144798235,Smart MLS,170289727,N,Y,41.6623386,-72.3534735
MLS Listing,,Single Family Residential,486 Tolland Stage Rd,Tolland,CT,06084,494900,4,5.5,Tolland,3845,270943,2003,3,129,,Active,,,http://www.redfin.com/CT/Tolland/486-Tolland-Stage-Rd-06084/home/54110383,Smart MLS,170291029,N,Y,41.8775733,-72.388688
MLS Listing,,Single Family Residential,40 Charlotte Dr,Tolland,CT,06084,195000,3,2.0,Tolland,1882,44431,1996,3,104,,Active,,,http://www.redfin.com/CT/Tolland/40-Charlotte-Dr-06084/home/54108163,Smart MLS,170291871,N,Y,41.9173564,-72.3941663
MLS Listing,,Single Family Residential,13 Reservoir Ln,Stafford,CT,06076,379000,1,1.0,Stafford,460,97574,1930,3,824,,Active,,,http://www.redfin.com/CT/Stafford-Springs/13-Reservoir-Ln-06076/home/53902636,Smart MLS,170290668,N,Y,42.0133209,-72.2583438
MLS Listing,,Single Family Residential,43 Grove St,Vernon,CT,06066,184900,3,2.0,Vernon,1746,4356,1931,3,106,,Active,,,http://www.redfin.com/CT/Vernon/43-Grove-St-06066/home/54337866,Smart MLS,170290932,N,Y,41.864926,-72.4408629
