SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,33 Prospect St,Essex,CT,06426,1295000,3,4.5,Essex Village,8543,16117,1849,1,152,,Active,,,http://www.redfin.com/CT/Essex/33-Prospect-St-06426/home/54239381,Smart MLS,170277558,N,Y,41.3532845,-72.3925305
MLS Listing,,Single Family Residential,39 Prospect St,Essex,CT,06426,399900,2,1.5,Essex Village,961,3049,1900,2,416,,Active,,,http://www.redfin.com/CT/Essex/39-Prospect-St-06426/home/54239884,Smart MLS,170278487,N,Y,41.3530137,-72.3930094
MLS Listing,,Single Family Residential,11 Blake St,Essex,CT,06442,279900,2,1.0,Ivoryton,835,20037,1900,7,335,,Active,,,http://www.redfin.com/CT/Ivoryton/11-Blake-St-06442/home/54239020,Smart MLS,170279490,N,Y,41.3489554,-72.4457171
MLS Listing,,Single Family Residential,17 Scholes Ln,Essex,CT,06426,1395000,3,2.0,Essex Village,2620,13939,1784,7,532,,Active,,,http://www.redfin.com/CT/Essex/17-Scholes-Ln-06426/home/54241319,Smart MLS,170280411,N,Y,41.350063907,-72.38673395
MLS Listing,,Single Family Residential,93 Saybrook Rd,Essex,CT,06426,499900,3,2.5,Essex Village,2016,50965,1844,8,248,,Active,,,http://www.redfin.com/CT/Essex/93-Saybrook-Rd-06426/home/54239906,Smart MLS,170280111,N,Y,41.3438698,-72.3923167
MLS Listing,,Single Family Residential,34 W Hills Rd,Essex,CT,06442,239900,4,2.5,Ivoryton,1949,51400,1969,12,123,,Active,,,http://www.redfin.com/CT/Ivoryton/34-W-Hills-Rd-06442/home/54240866,Smart MLS,170279052,N,Y,41.3528965,-72.4329389
MLS Listing,,Single Family Residential,39 Main St,Essex,CT,06426,1735000,3,3.5,Essex Village,3510,21344,1803,12,494,,Active,,,http://www.redfin.com/CT/ESSEX/39-MAIN-ST-06426/home/54241230,Smart MLS,170274402,N,Y,41.352281,-72.387127
MLS Listing,,Single Family Residential,57 Comstock Ave,Essex,CT,06442,184900,3,1.0,Ivoryton,1088,26571,1890,14,170,,Active,,,http://www.redfin.com/CT/Ivoryton/57-Comstock-Ave-06442/home/54239355,Smart MLS,170277983,N,Y,41.3440492,-72.4442377
MLS Listing,,Single Family Residential,15 Harbor Vw,Essex,CT,06426,435000,3,2.5,Essex Village,2212,47916,1979,15,197,,Active,,,http://www.redfin.com/CT/Essex/15-Harbor-View-Dr-06426/home/54240975,Smart MLS,170276190,N,Y,41.341295,-72.393158
MLS Listing,,Condo/Co-op,27 S Main St #8,Essex,CT,06426,350000,3,2.5,Essex Village,1529,,1850,15,229,300,Active,,,http://www.redfin.com/CT/Essex/27-S-Main-St-06426/unit-8/home/54240505,Smart MLS,170277674,N,Y,41.3514659,-72.3936107
MLS Listing,,Single Family Residential,6 Crosstrees Hill Rd,Essex,CT,06426,1250000,5,4.5,Essex Village,5071,75358,1965,17,246,,Active,,,http://www.redfin.com/CT/Essex/6-Crosstrees-Hill-Rd-06426/home/54240964,Smart MLS,170274804,N,Y,41.3416924,-72.3900807
MLS Listing,,Single Family Residential,11-1 Earl St,Essex,CT,06409,450000,2,2.0,Centerbrook,1513,23086,2020,29,297,,Active,,,http://www.redfin.com/CT/Centerbrook/11-Earl-St-06409/home/106638751,Smart MLS,170272902,N,Y,41.3475809,-72.4218634
MLS Listing,,Condo/Co-op,85 River Rd Unit B5,Essex,CT,06426,459900,2,2.0,Essex Village,1224,,1967,30,376,522,Active,,,http://www.redfin.com/CT/Essex/85-River-Rd-06426/unit-B5/home/54240982,Smart MLS,170272407,N,Y,41.3709966,-72.3927166
MLS Listing,,Single Family Residential,1 Foxboro Rd,Essex,CT,06426,2495000,4,4.5,Essex,4500,66646,1870,33,554,,Active,,,http://www.redfin.com/CT/Essex/1-Foxboro-Rd-06426/home/54239721,Smart MLS,170266106,N,Y,41.3664225,-72.388502
MLS Listing,,Single Family Residential,5 Westwood Rd,Essex,CT,06442,395000,4,3.0,Ivoryton,2802,67082,1988,34,141,,Active,,,http://www.redfin.com/CT/Ivoryton/5-Westwood-Rd-06442/home/54240042,Smart MLS,170267638,N,Y,41.3340728,-72.4430574
MLS Listing,,Single Family Residential,93 Book Hill Rd,Essex,CT,06426,343900,3,2.5,Essex Village,1572,10018,1935,34,219,,Active,,,http://www.redfin.com/CT/Essex/93-Book-Hill-Rd-06426/home/54240371,Smart MLS,170271602,N,Y,41.3731555,-72.4072652
MLS Listing,,Vacant Land,0 Old Deep River Rd,Essex,CT,06426,550000,,,Essex,,840708,,46,,,Active,,,http://www.redfin.com/CT/Essex/Old-Deep-River-Rd-06409/home/106638769,Smart MLS,170268479,N,Y,41.356239,-72.417286
MLS Listing,,Single Family Residential,16 Bank Ln,Essex,CT,06426,1425000,4,4.0,Essex Village,4380,15681,1860,55,325,,Active,,,http://www.redfin.com/CT/Essex/16-Bank-Ln-06426/home/54239617,Smart MLS,170258277,N,Y,41.3514342,-72.3906521
MLS Listing,,Single Family Residential,9 Cedar St,Essex,CT,06409,246800,3,3.0,Essex,1471,16117,1914,61,168,,Active,,,http://www.redfin.com/CT/Centerbrook/9-Cedar-St-06409/home/54241183,Smart MLS,170264603,N,Y,41.3488976,-72.4210872
MLS Listing,,Vacant Land,Lot#6 Mitchel Ter,Essex,CT,06442,59900,,,Ivoryton,,96703,,61,,,Active,,,http://www.redfin.com/CT/Ivoryton/6-Mitchel-Ter-06442/home/170331084,Smart MLS,170264439,N,Y,41.3529424,-72.4371855
MLS Listing,,Single Family Residential,15 Summitt St,Essex,CT,06442,264900,3,2.0,Ivoryton,1670,50965,1888,62,159,,Active,,,http://www.redfin.com/CT/Ivoryton/15-Summit-St-06442/home/54240114,Smart MLS,170264287,N,Y,41.3485591,-72.4437669
MLS Listing,,Single Family Residential,26 Harbor Vw,Essex,CT,06426,819000,3,3.0,Essex,4154,39204,1961,63,197,,Active,,,http://www.redfin.com/CT/Essex/26-Harbor-View-Dr-06426/home/54239161,Smart MLS,170263336,N,Y,41.342112,-72.39455
