SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,161 Deerfield Ridge Dr,Groton,CT,06355,299000,3,2.5,Mystic,1670,20037,1997,1,179,,Active,,,http://www.redfin.com/CT/Mystic/161-Deerfield-Ridge-Dr-06355/home/54181128,Smart MLS,170282718,N,Y,41.3911404,-71.9870669
MLS Listing,,Single Family Residential,96 Mirra Dr,Groton,CT,06340,235000,3,2.0,Groton City,1414,8494,1992,1,166,,Active,March-22-2020 01:30 PM,March-22-2020 03:30 PM,http://www.redfin.com/CT/Groton/96-Mirra-Dr-06340/home/54183112,Smart MLS,170282109,N,Y,41.3483943,-72.0648478
MLS Listing,,Single Family Residential,335 Cow Hill Rd,Groton,CT,06355,235000,4,1.5,Mystic,1664,12196,1960,1,141,,Active,,,http://www.redfin.com/CT/Mystic/335-Cow-Hill-Rd-06355/home/54182185,Smart MLS,170280742,N,Y,41.378309,-71.978026
MLS Listing,,Single Family Residential,98 Oslo St,Groton,CT,06355,210000,3,1.0,Mystic,988,13068,1960,1,213,,Active,,,http://www.redfin.com/CT/Mystic/98-Oslo-St-06355/home/54181048,Smart MLS,170276146,N,Y,41.3811586,-71.9853536
MLS Listing,,Condo/Co-op,375 Allyn St #29,Groton,CT,06355,375000,3,2.5,Mystic,2240,,2006,2,167,345,Active,,,http://www.redfin.com/CT/Mystic/375-Allyn-St-06355/unit-29/home/52249483,Smart MLS,170280387,N,Y,41.3635379,-71.982655
MLS Listing,,Single Family Residential,164 Meridian St,Groton,CT,06340,199900,3,2.0,Groton City,1388,13503,1910,2,144,,Active,,,http://www.redfin.com/CT/Groton/164-Meridian-St-06340/home/54183210,Smart MLS,170281917,N,Y,41.3566615,-72.0739787
MLS Listing,,Single Family Residential,578 Cow Hill Rd,Groton,CT,06355,229000,3,1.0,Mystic,1909,24829,1963,2,120,,Active,,,http://www.redfin.com/CT/Mystic/578-Cow-Hill-Rd-06355/home/54182149,Smart MLS,170280032,N,Y,41.3843529,-71.9782458
MLS Listing,,Single Family Residential,299 Ring Dr,Groton,CT,06340,179900,3,1.0,Poquonock Bridge,912,11761,1965,4,197,,Active,,,http://www.redfin.com/CT/Groton/299-Ring-Dr-06340/home/54178903,Smart MLS,170281634,N,Y,41.3501227,-72.0253117
MLS Listing,,Single Family Residential,129 Prospect Hill Rd,Groton,CT,06340,1550000,4,3.5,Noank,2940,98010,1953,5,527,,Active,,,http://www.redfin.com/CT/Groton/129-Prospect-Hill-Rd-06340/home/54180282,Smart MLS,170280730,N,Y,41.3255694,-71.9967906
MLS Listing,,Single Family Residential,24 Atlantic Ave,Groton,CT,06340,545000,4,2.0,Groton Long Point,1696,6098,1947,6,321,,Active,,,http://www.redfin.com/CT/Groton/24-Atlantic-Ave-06340/home/54179693,Smart MLS,170279171,N,Y,41.3137477,-72.0104148
