SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1 Honey Hill #A Ln,Lyme,CT,06371,616000,3,2.5,Mount Archer,3111,65340,1796,2,198,,Active,,,http://www.redfin.com/CT/Lyme/1-Honey-Hill-Ln-06371/unit-A/home/54048242,Smart MLS,170277419,N,Y,41.404656,-72.345472
MLS Listing,,Single Family Residential,155 Rogers Lake Trl,Lyme,CT,06371,285000,3,1.0,Rogers Lake West Shores,1456,15681,1994,16,196,14,Active,,,http://www.redfin.com/CT/Lyme/155-Rogers-Lake-Trl-06371/home/54048504,Smart MLS,170275205,N,Y,41.3616026,-72.3061143
MLS Listing,,Single Family Residential,138 Brush Hill Rd,Lyme,CT,06371,539000,4,3.5,Lyme,4662,255261,1967,23,116,,Active,,,http://www.redfin.com/CT/Lyme/138-Brush-Hill-Rd-06371/home/54047309,Smart MLS,170271641,N,Y,41.416509,-72.376658
MLS Listing,,Vacant Land,0 Mount Archer Rd,Lyme,CT,06371,245000,,,Mount Archer,,209959,,26,,,Active,,,http://www.redfin.com/CT/Lyme/Mount-Archer-Rd-06371/home/146163993,Smart MLS,170274434,N,Y,41.410856,-72.358654
MLS Listing,,Single Family Residential,81 Beaver Brook Rd,Lyme,CT,06371,499900,3,3.0,Lyme,2560,208216,1910,30,195,,Active,,,http://www.redfin.com/CT/Lyme/81-Beaver-Brook-Rd-06371/home/54047549,Smart MLS,170269681,N,Y,41.4109761,-72.3226262
MLS Listing,,Single Family Residential,103-4 Ferry Rd,Lyme,CT,06371,689900,4,5.0,Lyme,7185,426016,1975,33,96,,Active,,,http://www.redfin.com/CT/Lyme/103-Elys-Ferry-Rd-06371/home/54047383,Smart MLS,170272271,N,Y,41.37218,-72.3634623
MLS Listing,,Single Family Residential,172-2 Brush Hill Rd,Lyme,CT,06371,625000,4,5.0,Brush Hill,3442,607662,1983,124,182,,Active,,,http://www.redfin.com/CT/Lyme/172-Brush-Hill-Rd-06371/home/54048077,Smart MLS,170252035,N,Y,41.415822,-72.372251
MLS Listing,,Single Family Residential,103 Blood St,Lyme,CT,06371,669000,3,2.0,Grassy Hill,1520,607662,1963,133,440,,Active,,,http://www.redfin.com/CT/Lyme/103-Blood-St-06371/home/54047581,Smart MLS,170250597,N,Y,41.366078,-72.318602
MLS Listing,,Single Family Residential,389-1 Grassy Hill Rd,Lyme,CT,06371,589000,3,2.5,Grassy Hill,3666,209959,1989,166,161,,Active,,,http://www.redfin.com/CT/Lyme/389-Grassy-Hill-Rd-06371/unit-A/home/54048417,Smart MLS,170240800,N,Y,41.396213,-72.284338
MLS Listing,,Single Family Residential,107 Ferry Rd,Lyme,CT,06371,649000,2,2.5,Hadlyme,2152,139392,1800,167,302,,Active,,,http://www.redfin.com/CT/Lyme/107-Ferry-Rd-06371/home/54048305,Smart MLS,170241105,N,Y,41.419979,-72.4179409
MLS Listing,,Single Family Residential,22 Avenue B,Lyme,CT,06371,410000,5,2.5,Lyme,2780,10018,1960,175,147,13,Active,,,http://www.redfin.com/CT/Lyme/22-Ave-B-06371/home/54047860,Smart MLS,170238938,N,Y,41.3647908,-72.296031
MLS Listing,,Single Family Residential,27 Elys Ferry Rd,Lyme,CT,06371,325000,3,2.5,Elys Ferry,1232,179902,1965,195,264,,Active,,,http://www.redfin.com/CT/Lyme/27-Elys-Ferry-Rd-06371/home/54048147,Smart MLS,170230604,N,Y,41.3688784,-72.3502363
MLS Listing,,Single Family Residential,183 Joshuatown Rd,Lyme,CT,06371,890000,3,3.5,Lyme,3366,564973,1995,196,264,,Active,,,http://www.redfin.com/CT/Lyme/183-Joshuatown-Rd-06371/unit-C/home/54047395,Smart MLS,170229856,N,Y,41.39821,-72.373758
MLS Listing,,Single Family Residential,85 Joshua Ln,Lyme,CT,06371,2900000,4,4.5,Lyme,6022,1568160,1943,230,482,,Active,,,http://www.redfin.com/CT/Lyme/85-Joshua-Ln-06371/unit-B/home/109655992,Smart MLS,170218675,N,Y,41.3823269,-72.375946
MLS Listing,,Single Family Residential,30 Josie Perkins Ln,Lyme,CT,06371,925000,3,3.5,Lyme,4449,350222,2003,257,208,,Active,,,http://www.redfin.com/CT/Lyme/30-Josie-Perkins-Ln-06371/home/54047838,Smart MLS,170208155,N,Y,41.41011,-72.39095
MLS Listing,,Single Family Residential,1-5 Town St,Lyme,CT,06439,695000,3,1.0,Hadlyme,1960,204732,1900,277,355,,Active,,,http://www.redfin.com/CT/Lyme/1-Town-St-06371/home/144530802,Smart MLS,170206723,N,Y,41.4247356,-72.4050845
MLS Listing,,Single Family Residential,102 Town Woods Rd,Old Lyme,CT,06371,2495000,5,6.5,Old Lyme,6132,935233,1990,310,407,,Active,,,http://www.redfin.com/CT/Lyme/102-Town-Woods-Rd-06371/home/54444208,Smart MLS,170194243,N,Y,41.358421,-72.321114
MLS Listing,,Single Family Residential,111 Cove Rd,Lyme,CT,06371,1395000,3,3.5,Lyme,2670,178595,1968,331,522,,Active,,,http://www.redfin.com/CT/Lyme/111-Cove-Rd-06371/home/109656010,Smart MLS,170186421,N,Y,41.3722914,-72.3615201
MLS Listing,,Single Family Residential,33 Joshuatown Rd,Lyme,CT,06371,940000,3,3.5,Lyme,4030,119790,1808,342,233,,Active,,,http://www.redfin.com/CT/Lyme/33-Joshuatown-Rd-06371/home/54047741,Smart MLS,170182739,N,Y,41.393614,-72.3523521
MLS Listing,,Single Family Residential,23 Meadowlark Rd,Lyme,CT,06371,895000,5,4.5,Hadlyme,5138,360676,2002,351,174,167,Active,,,http://www.redfin.com/CT/Lyme/23-Meadowlark-Rd-06371/home/54048191,Smart MLS,170179401,N,Y,41.428148,-72.357469
MLS Listing,,Vacant Land,151-2 Mitchell Hill Rd #2,Lyme,CT,06371,299000,,,Hadlyme,,882525,,358,,,Active,,,http://www.redfin.com/CT/Lyme/151-Mitchell-Hill-Rd-06371/unit-2/home/160759528,Smart MLS,170176534,N,Y,41.4135525,-72.3870455
MLS Listing,,Vacant Land,00 Brush Hill Rd,Lyme,CT,06371,239500,,,Hadlyme,,1176120,,407,,,Active,,,http://www.redfin.com/CT/Lyme/Brush-Hill-Rd-06371/home/167026167,Smart MLS,170161645,N,Y,41.41693,-72.388427
MLS Listing,,Vacant Land,11 Old Stone Post Rd,Lyme,CT,06371,185000,,,Stone Post Road,,86248,,414,,,Active,,,http://www.redfin.com/CT/Lyme/11-Stone-Post-Rd-06371/home/160343218,Smart MLS,170159764,N,Y,41.384137,-72.348632
MLS Listing,,Single Family Residential,17 Stone Post Rd,Lyme,CT,06371,899000,3,3.5,Lyme,2966,91476,1776,422,303,,Active,,,http://www.redfin.com/CT/Lyme/Stone-Post-Rd-06371/home/54048217,Smart MLS,170157371,N,Y,41.38397,-72.346313
MLS Listing,,Single Family Residential,35-1 Ferry Rd,Lyme,CT,06371,279800,2,1.5,Hadlyme,880,60983,1950,447,318,,Active,,,http://www.redfin.com/CT/Lyme/35-Ferry-Rd-06371/home/54047563,Smart MLS,170151288,N,Y,41.4208066,-72.4058296
MLS Listing,,Vacant Land,34 Stone Post Rd,Lyme,CT,06371,275000,,,Stone Post Road,,81021,,769,,,Active,,,http://www.redfin.com/CT/Lyme/34-Stone-Post-Rd-06371/home/146106733,Smart MLS,170050021,N,Y,41.38369,-72.342297
MLS Listing,,Vacant Land,24 Stone Post Rd,Lyme,CT,06371,265000,,,Lyme,,98445,,769,,,Active,,,http://www.redfin.com/CT/Lyme/24-Stone-Post-Rd-06371/home/146106737,Smart MLS,170050009,N,Y,41.384132,-72.343643
MLS Listing,,Vacant Land,6 Old Stone Post Rd,Lyme,CT,06371,375000,,,Stone Post Road,,115434,,769,,,Active,,,http://www.redfin.com/CT/Lyme/6-Old-Stone-Post-Rd-06371/home/144834327,Smart MLS,170050030,N,Y,41.383144,-72.346344
MLS Listing,,Vacant Land,10 Old Stone Post Rd,Lyme,CT,06371,400000,,,Stone Post Road,,126324,,769,,,Active,,,http://www.redfin.com/CT/Lyme/10-Old-Stone-Post-Rd-06371/home/144834319,Smart MLS,170049753,N,Y,41.383333,-72.347202
