SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8 Beechwood Dr,Waterford,CT,06385,275000,2,2.0,Waterford,1628,,2001,1,169,225,Active,,,http://www.redfin.com/CT/Waterford/8-Beechwood-Dr-06385/home/171147464,Smart MLS,170282363,N,Y,41.367339,-72.157457
MLS Listing,,Single Family Residential,26 Giovanni Dr,Waterford,CT,06385,329900,3,2.5,Fog Plain,2051,10454,2001,1,161,13,Active,,,http://www.redfin.com/CT/Waterford/26-Giovanni-Dr-06385/home/54092830,Smart MLS,170274016,N,Y,41.3606615,-72.1345554
MLS Listing,,Single Family Residential,9 Mayfair Dr,Waterford,CT,06385,354500,4,2.5,Great Neck,3334,31363,1987,3,106,8,Active,,,http://www.redfin.com/CT/Waterford/9-Mayfair-Dr-06385/home/54093955,Smart MLS,170280869,N,Y,41.3186096,-72.1172921
MLS Listing,,Single Family Residential,25 Kenyon Rd,Waterford,CT,06385,289900,4,2.5,Waterford,2100,20037,1982,5,138,,Active,,,http://www.redfin.com/CT/Waterford/25-Kenyon-Rd-06385/home/54097106,Smart MLS,170281033,N,Y,41.3769117,-72.1339075
MLS Listing,,Single Family Residential,2 Almond Dr,Waterford,CT,06385,289900,3,2.5,Waterford,1828,20037,1980,6,159,,Active,,,http://www.redfin.com/CT/Waterford/2-Almond-Dr-06385/home/54096887,Smart MLS,170278657,N,Y,41.3548646,-72.1322414
MLS Listing,,Single Family Residential,93 Stonewall Rd,Salem,CT,06420,565000,4,4.5,Salem,3642,80150,2003,7,155,,Active,,,http://www.redfin.com/CT/Salem/93-Stone-Wall-Rd-06420/home/54361496,Smart MLS,170280568,N,Y,41.4588148,-72.2553931
MLS Listing,,Single Family Residential,121 Shore Rd,Waterford,CT,06385,219900,3,1.0,Pleasure Beach,1008,7405,1946,8,218,29,Active,,,http://www.redfin.com/CT/Waterford/121-Shore-Rd-06385/home/54092468,Smart MLS,170274014,N,Y,41.310335,-72.143597
MLS Listing,,Single Family Residential,12 E Bishop St,Waterford,CT,06385,147200,4,1.5,Mago Point,1152,4356,1954,8,128,13,Active,,,http://www.redfin.com/CT/Waterford/12-E-Bishop-St-06385/home/54093706,Smart MLS,170280216,N,Y,41.3308342,-72.1719481
MLS Listing,,Vacant Land,7 West St,Waterford,CT,06385,49000,,,Waterford,,10018,,9,,,Active,,,http://www.redfin.com/CT/Waterford/7-West-St-06385/home/54093510,Smart MLS,170278980,N,Y,41.3268259,-72.172043
MLS Listing,,Condo/Co-op,64 Scotch Cap Rd #108,Waterford,CT,06375,226000,2,1.5,Thames View,1470,,2005,10,154,210,Active,,,http://www.redfin.com/CT/Quaker-Hill/64-Scotch-Cap-Rd-06375/unit-108/home/54092260,Smart MLS,170275206,N,Y,41.4014869,-72.1014814
