SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,153 Court St,Machias,ME,04654,35200,3,,Machias,1216,30056,1900,1,29,,Active,,,http://www.redfin.com/ME/Machias/153-Court-St-04654/home/100098967,MREIS,1451210,N,Y,44.713974,-67.4652775
MLS Listing,,Vacant Land,"0 Route 190, aka County Rd",Perry,ME,04667,30000,,,Perry,,261360,,1,,,Active,,,http://www.redfin.com/ME/Pleasant-Point/State-Route-190-04667/home/171535301,MREIS,1451135,N,Y,44.9478865,-67.0394661
MLS Listing,,Single Family Residential,80 Hanscom Rd,Whitneyville,ME,04654,199999,2,1.0,Whitneyville,1000,378971,2013,1,200,,Active,,,http://www.redfin.com/ME/Whitneyville/80-Hanscom-Rd-04654/home/85729604,MREIS,1451054,N,Y,44.714717,-67.517789
MLS Listing,,Single Family Residential,688 S Princeton Rd,Princeton,ME,04668,129900,2,1.0,Princeton,1554,196020,1975,4,84,,Active,,,http://www.redfin.com/ME/Princeton/688-S-Princeton-Rd-04668/home/100353874,MREIS,1450964,N,Y,45.1600123,-67.5060642
MLS Listing,,Vacant Land,153 Missy Way,Steuben,ME,04680,69000,,,Steuben,,60983,,4,,17,Active,,,http://www.redfin.com/ME/Steuben/153-Missy-Way-04680/home/147491162,MREIS,1450936,N,Y,44.486834,-67.9020842
MLS Listing,,Single Family Residential,269 W West Beddington Lake Rd,Beddington,ME,04622,279990,3,1.0,Beddington,1152,65340,2008,4,243,,Active,,,http://www.redfin.com/ME/Beddington/269-W-Beddington-Lake-Rd-04622/home/107606987,MREIS,1450890,N,Y,44.8150608,-68.0489222
MLS Listing,,Single Family Residential,120 E Side Rd,Machiasport,ME,04655,255900,3,2.0,Machiasport,2232,505731,1996,4,115,,Active,,,http://www.redfin.com/ME/Machiasport/120-E-Side-Rd-04655/home/74816245,MREIS,1450754,N,Y,44.7076677,-67.3827242
MLS Listing,,Vacant Land,Lot 14 Deer Point West W,Robbinston,ME,04671,50000,,,Robbinston,,82328,,5,,,Active,,,http://www.redfin.com/ME/Robbinston/Lot-14-Deer-Point-West-W-04671/home/171474383,MREIS,1450668,N,Y,45.0566702,-67.1733777
MLS Listing,,Vacant Land,Lot 19 E East Side Rd,Addison,ME,04606,55900,,,Addison,,87120,,5,,,Active,,,http://www.redfin.com/ME/Addison/19-E-Side-Rd-04606/home/145346529,MREIS,1450659,N,Y,44.612124,-67.7359402
MLS Listing,,Vacant Land,Lot 13 Stillwater Dr,Steuben,ME,04680,95500,,,Steuben,,78408,,6,,,Active,,,http://www.redfin.com/ME/Steuben/Lot-13-Stillwater-Dr-04680/home/171447566,MREIS,1450607,N,Y,44.4756844,-67.8970032
