SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2 Reed Dr,Westerly,RI,02891,649900,4,2.5,Weekapaug Heights,3342,20175,2002,1,194,,Active,,,http://www.redfin.com/RI/Westerly/2-Reed-Dr-02891/home/51927060,RIS,1252819,N,Y,41.3428301,-71.7658392
MLS Listing,,Single Family Residential,31 Gould Way,North Kingstown,RI,02874,965000,3,3.5,SAUNDERSTOWN VILLAGE,2939,20202,1900,1,328,,Active,,,http://www.redfin.com/RI/Saunderstown/31-Gould-Way-02874/home/51990848,RIS,1252877,N,Y,41.5070014,-71.4208684
MLS Listing,,Single Family Residential,36 Brigade Dr,North Kingstown,RI,02877,679000,4,3.5,North Kingstown,3120,35050,2019,1,218,8,Active,,,http://www.redfin.com/RI/North-Kingstown/36-Brigade-DR-02877/home/171533912,RIS,1252900,N,Y,41.525094,-71.506527
MLS Listing,,Single Family Residential,24 Washington St,North Kingstown,RI,02852,829000,4,3.0,Wickford Village,2500,3670,1803,1,332,,Active,,,http://www.redfin.com/RI/North-Kingstown/24-Washington-St-02852/home/51994320,RIS,1252887,N,Y,41.5713892,-71.4494861
MLS Listing,,Single Family Residential,75 Spruce Rd,Charlestown,RI,02813,329000,3,1.0,Ocean Ridge,620,4791,1958,1,531,,Active,,,http://www.redfin.com/RI/Charlestown/75-Spruce-Rd-02813/home/51790826,RIS,1252895,N,Y,41.3790789,-71.620309
MLS Listing,,Single Family Residential,245 Greenwood Dr,South Kingstown,RI,02879,359000,3,3.0,South Kingstown,2014,12197,1981,1,178,,Active,,,http://www.redfin.com/RI/South-Kingstown/245-Greenwood-Dr-02879/home/51819827,RIS,1252520,N,Y,41.4639907,-71.517873
MLS Listing,,Single Family Residential,65 Harbour Island Rd,Narragansett,RI,02882,449800,2,1.5,HARBOUR ISLAND,816,6599,1960,1,551,,Active,,,http://www.redfin.com/RI/Narragansett/65-Harbour-Island-Rd-02882/home/51980076,RIS,1252871,N,Y,41.4113787,-71.4977646
MLS Listing,,Single Family Residential,104 Wild Goose Rd,South Kingstown,RI,02879,435000,1,1.0,Green Hill Beach,368,6534,1952,1,1182,,Active,,,http://www.redfin.com/RI/South-Kingstown/104-Wild-Goose-Rd-02879/home/51815313,RIS,1252864,N,Y,41.371373,-71.604722
MLS Listing,,Single Family Residential,393 School St,North Kingstown,RI,02852,249900,2,1.0,Davisville,1038,11761,1910,1,241,,Active,,,http://www.redfin.com/RI/North-Kingstown/393-School-St-02852/home/51988558,RIS,1252856,N,Y,41.6164632,-71.4699508
MLS Listing,,Single Family Residential,84 Shirley Dr,Charlestown,RI,02813,785000,3,2.5,SHADY HARBOR WITH WEEKAPAUG BEACH,2014,9148,1999,2,390,,Active,,,http://www.redfin.com/RI/Charlestown/84-Shirley-Dr-02813/home/51794669,RIS,1252421,N,Y,41.3520401,-71.7188039
