SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8 Benoit Dr,Barre Town,VT,05641,159000,4,1.0,Barre Town,1264,13939,1925,1,126,,Active,,,http://www.redfin.com/VT/Barre/8-Benoit-Dr-05641/home/95136018,NEREN,4803746,N,Y,44.176678,-72.469246
MLS Listing,,Single Family Residential,113 Jensen Rd,Barre Town,VT,05641,310000,2,2.5,Barre Town,1757,248292,1970,1,176,,Active,,,http://www.redfin.com/VT/Barre/113-Jensen-Rd-05641/home/91399650,NEREN,4803667,N,Y,44.196762,-72.530464
MLS Listing,,Single Family Residential,505 Hallstrom Rd,Northfield,VT,05663,425000,3,1.75,Northfield,2220,5575680,1830,1,191,,Active,,,http://www.redfin.com/VT/Northfield/505-Hallstrom-Rd-05663/home/171536186,NEREN,4803666,N,Y,44.1747129,-72.725105
MLS Listing,,Single Family Residential,145 Flood Rd,Plainfield,VT,05667,295000,4,2.0,Plainfield,2384,444311,1998,1,124,,Active,,,http://www.redfin.com/VT/Plainfield/145-Flood-RD-05667/home/166938481,NEREN,4803640,N,Y,44.23298929826579,-72.4602083236539
MLS Listing,,Single Family Residential,128 Richardson Rd,Barre Town,VT,05641,159000,3,2.0,Barre Town,1120,18295,,1,142,,Active,,,http://www.redfin.com/VT/Barre/128-Richardson-Rd-05641/home/171532473,NEREN,4803557,N,Y,44.2181492,-72.5227381
MLS Listing,,Single Family Residential,124 Washington St,Northfield,VT,05663,255000,3,1.5,Northfield,1846,43560,1946,1,138,,Active,,,http://www.redfin.com/VT/Northfield/124-Washington-St-05663/home/91246916,NEREN,4803553,N,Y,44.1443223,-72.6588266
MLS Listing,,Single Family Residential,890 Lyle Young Rd,East Montpelier,VT,05651,399900,3,1.75,East Montpelier,2626,1377802,1993,2,152,,Active,,,http://www.redfin.com/VT/East-Montpelier/890-Lyle-Young-Rd-05651/home/91194125,NEREN,4803493,N,Y,44.30275,-72.500671
MLS Listing,,Single Family Residential,23 Dagmont Ave,Barre City,VT,05641,190000,3,2.0,Barre City,1796,10454,1988,3,106,,Active,,,http://www.redfin.com/VT/Barre/23-Dagmont-Ave-05641/home/73382400,NEREN,4803462,N,Y,44.1979559,-72.5139924
MLS Listing,,Townhouse,9 Southface Ave #9,Warren,VT,05674,344000,2,1.75,Warren,1900,653400,1983,4,181,700,Active,,,http://www.redfin.com/VT/Warren/76-Sugarbush-Village-Dr-05674/unit-9/home/109182413,NEREN,4803394,N,Y,44.1390081,-72.8932414
MLS Listing,,Single Family Residential,139 Daggett Rd,East Montpelier,VT,05651,485000,5,2.5,East Montpelier,3729,1254528,1810,5,130,,Active,,,http://www.redfin.com/VT/East-Montpelier/139-Daggett-Rd-05651/home/95084180,NEREN,4803029,N,Y,44.2858919,-72.462814
MLS Listing,,Single Family Residential,3197 Danville Hill Rd,Cabot,VT,05647,329000,3,1.75,Cabot,1320,631620,2000,5,249,,Active,,,http://www.redfin.com/VT/Cabot/3197-Danville-Hill-Rd-05647/home/91422312,NEREN,4802977,N,Y,44.38827,-72.256717
MLS Listing,,Single Family Residential,49 Valley View Rd,Montpelier,VT,05602,329900,4,2.0,Montpelier,1970,79279,1989,6,167,,Active,,,http://www.redfin.com/VT/Montpelier/49-Valley-View-Rd-05602/home/91266144,NEREN,4802930,N,Y,44.238224,-72.565021
MLS Listing,,Single Family Residential,90 Fair Rd,East Montpelier,VT,05651,169000,3,2.0,East Montpelier,1456,43560,2006,6,116,,Active,,,http://www.redfin.com/VT/East-Montpelier/90-Fair-Rd-05651/home/76067677,NEREN,4802924,N,Y,44.256786,-72.482872
MLS Listing,,Single Family Residential,28 Goldsbury Rd,Barre Town,VT,05641,380000,3,2.5,Barre Town,3037,47480,2010,7,125,,Active,,,http://www.redfin.com/VT/Barre/28-Goldsbury-Woods-Rd-05641/home/91398024,NEREN,4802704,N,Y,44.2373738,-72.5656264
MLS Listing,,Vacant Land,3C Coits Pond Rd Lot 3C,Cabot,VT,05647,59900,,,Cabot,,261360,,8,,,Active,,,http://www.redfin.com/VT/Cabot/3-Coits-Pond-Rd-05647/unit-3C/home/160490780,NEREN,4802599,N,Y,44.4142559,-72.340072
MLS Listing,,Vacant Land,3B Coits Pond Rd Lot 3B,Cabot,VT,05647,59900,,,Cabot,,191664,,8,,,Active,,,http://www.redfin.com/VT/Cabot/3-Coits-Pond-Rd-05647/unit-3B/home/160490744,NEREN,4802587,N,Y,44.4142559,-72.340072
MLS Listing,,Single Family Residential,106 Currier St,Barre City,VT,05641,189000,3,1.75,Barre City,1908,35719,1970,8,99,,Active,,,http://www.redfin.com/VT/Barre/106-Currier-St-05641/home/63517802,NEREN,4802556,N,Y,44.1999497,-72.4917178
MLS Listing,,Single Family Residential,1567 Kent Hill Rd,Calais,VT,05650,95000,2,,Calais,1432,152460,1848,10,66,,Active,,,http://www.redfin.com/VT/East-Calais/1567-Kent-Hill-Rd-05650/home/91244510,NEREN,4802477,N,Y,44.369942,-72.470901
MLS Listing,,Vacant Land,3A Coits Pond Rd Lot 3A,Cabot,VT,05647,59900,,,Cabot,,130680,,10,,,Active,,,http://www.redfin.com/VT/Cabot/3-Coits-Pond-Rd-05647/unit-3A/home/171422744,NEREN,4802476,N,Y,44.4142578,-72.3400897
MLS Listing,,Vacant Land,1 Berno Rd Lot 1,Duxbury,VT,05676,150000,,,Duxbury,,904741,,10,,,Active,,,http://www.redfin.com/VT/Duxbury/1-Berno-RD-05676/unit-1/home/171422136,NEREN,4802452,N,Y,44.29140600253687,-72.78417262432863
MLS Listing,,Vacant Land,100 Walker Rd #3,Berlin,VT,05602,95000,,,Berlin,,438649,,11,,,Active,,,http://www.redfin.com/VT/Berlin/100-Walker-Rd-05602/unit-3/home/109321279,NEREN,4802358,N,Y,44.219475,-72.603426
MLS Listing,,Townhouse,99 Hideaway Dr #14,Berlin,VT,05602,249900,3,2.5,Berlin,1450,,2013,11,172,185,Active,,,http://www.redfin.com/VT/Barre/99-Hideaway-Dr-05641/unit-14/home/109552427,NEREN,4802297,N,Y,44.2290609,-72.547335
MLS Listing,,Vacant Land,"3 at 1140, off Warren Mountain Rd Lot 3",Roxbury,VT,05669-9753,43600,,,Roxbury,,614196,,12,,,Active,,,http://www.redfin.com/VT/Roxbury/1140-Warren-Mountain-Rd-05669/unit-3/home/171408999,NEREN,4802251,N,Y,44.105185,-72.74856
MLS Listing,,Mobile/Manufactured Home,45 Top Rd,Northfield,VT,05663,52500,3,2.0,Northfield,1140,,2001,13,46,,Active,,,http://www.redfin.com/VT/Northfield/45-Top-Rd-05663/home/95093774,NEREN,4802115,N,Y,44.121414,-72.663185
MLS Listing,,Single Family Residential,137 Coits Pond Rd,Cabot,VT,05647,374900,3,2.5,Cabot,2529,172497,2009,13,148,,Active,,,http://www.redfin.com/VT/Cabot/137-Coits-Pond-Rd-05647/home/91421774,NEREN,4802103,N,Y,44.416328,-72.340179
MLS Listing,,Condo/Co-op,60 Homestead Ln,Waterbury,VT,05677,455000,3,2.75,Waterbury,3070,,2004,13,148,225,Active,,,http://www.redfin.com/VT/Waterbury-Center/60-Homestead-Ln-05677/home/82652186,NEREN,4802033,N,Y,44.35972,-72.718902
MLS Listing,,Single Family Residential,56 Liberty St,Montpelier,VT,05602,289000,3,1.0,Montpelier,1610,11064,1890,14,180,,Active,,,http://www.redfin.com/VT/Montpelier/56-Liberty-St-05602/home/91266158,NEREN,4801983,N,Y,44.2586766,-72.5657195
MLS Listing,,Multi-Family (2-4 Unit),83 Orange St,Barre City,VT,05641,170000,6,2.0,Barre City,2332,7840,1910,14,73,,Active,,,http://www.redfin.com/VT/Barre/83-Orange-St-05641/home/91201949,NEREN,4801970,N,Y,44.1910118,-72.4926965
