SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,517 Danielle Way,Killingly,CT,06241,225000,2,1.0,Ballouville,1040,45302,2009,1,216,,Active,,,http://www.redfin.com/CT/Dayville/Unknown-06241/home/53743294,Smart MLS,170282782,N,Y,41.858169,-71.849456
MLS Listing,,Single Family Residential,39 Grey Fox Lndg,Woodstock,CT,06281,475000,3,3.5,Woodstock,3078,79714,2002,1,154,,Active,,,http://www.redfin.com/CT/Woodstock/39-Grey-Fox-Lndg-06281/home/53655249,Smart MLS,170276900,N,Y,41.9219832,-71.9310337
MLS Listing,,Single Family Residential,503 Putnam Rd,Plainfield,CT,06374,289900,3,2.5,Plainfield,1775,87120,1947,1,163,,Active,,,http://www.redfin.com/CT/PLAINFIELD/503-PUTNAM-RD-06374/home/53699025,Smart MLS,170282060,N,Y,41.754876,-71.901883
MLS Listing,,Multi-Family (2-4 Unit),90 Hope St,Windham,CT,06226,99900,4,2.0,Willimantic,1752,10018,1955,1,57,,Active,,,http://www.redfin.com/CT/Willimantic/90-Hope-St-06226/home/54363576,Smart MLS,170282772,N,Y,41.7173085,-72.2018403
MLS Listing,,Single Family Residential,22 Grove St,Sterling,CT,06377,109900,6,1.5,Sterling,1701,6098,1900,1,65,,Active,,,http://www.redfin.com/CT/Sterling/22-Grove-St-06377/home/53959522,Smart MLS,170282760,N,Y,41.7095152,-71.8318162
MLS Listing,,Single Family Residential,1535 Route 171,Woodstock,CT,06282,149900,4,2.5,Woodstock Valley,1056,21780,1977,1,142,,Active,,,http://www.redfin.com/CT/Woodstock-Valley/1535-CT-171-06282/home/53655209,Smart MLS,170282678,N,Y,41.9468924,-72.0624406
MLS Listing,,Vacant Land,130 Cranston Rd,Sterling,CT,06377,350000,,,Sterling,,4748040,,1,,,Active,,,http://www.redfin.com/CT/Sterling/130-Old-Cranston-Rd-06377/home/53960320,RIS,1250040,N,Y,41.714189,-71.808402
MLS Listing,,Single Family Residential,181 Insalaco Dr,Windham,CT,06280,179900,2,1.0,North Windham,1008,83635,1999,1,178,,Active,,,http://www.redfin.com/CT/Windham/181-Insalaco-Dr-06280/home/54363875,Smart MLS,170282655,N,Y,41.6793628,-72.1408843
MLS Listing,,Single Family Residential,114 Prospect St,Woodstock,CT,06281,629000,4,3.5,East Woodstock,3430,1842587,1984,1,183,,Active,March-21-2020 11:00 AM,March-21-2020 01:00 PM,http://www.redfin.com/CT/Woodstock/114-Prospect-St-06281/home/53655646,Smart MLS,170281210,N,Y,41.9921837,-71.9785468
MLS Listing,,Single Family Residential,40 Indian Spring Rd,Woodstock,CT,06281,519000,3,2.5,Woodstock Valley,2374,13068,1987,1,219,,Active,,,http://www.redfin.com/CT/Woodstock/40-Indian-Spring-Rd-06281/home/53655013,Smart MLS,170282549,N,Y,41.9451637,-72.0696621
MLS Listing,,Condo/Co-op,118 Ashford Rd #6,Eastford,CT,06242,199900,2,2.0,Eastford,1220,,2015,1,164,200,Active,,,http://www.redfin.com/CT/Eastford/118-Ashford-Rd-06242/unit-6/home/109637007,Smart MLS,170282573,N,Y,41.9084224,-72.1149328
MLS Listing,,Vacant Land,627 Bailey Rd,Sterling,CT,06377,59000,,,Sterling,,1176120,,1,,,Active,,,http://www.redfin.com/CT/Sterling/627-Bailey-Rd-06377/home/53959666,Smart MLS,170282563,N,Y,41.6963259,-71.8074535
