SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Single Family Residential,34 Meadow Ln,North Grafton,MA,01536,489900,4,2.5,North Grafton,2000,28028,1996,8,245,,Pre On-Market,,,http://www.redfin.com/MA/North-Grafton/34-Meadow-Ln-01536/home/16514153,Coming Soon,54755,N,Y,42.2229943,-71.7084227
MLS Listing,,Single Family Residential,4 Woodruff Rd,Clinton,MA,01510,339900,3,1.5,Clinton,1810,54155,1985,1,188,,Active,,,http://www.redfin.com/MA/Clinton/4-Woodruff-Rd-01510/home/16483635,MLS PIN,72645218,N,Y,42.4332452,-71.669884
MLS Listing,,Vacant Land,Lot 65.1 Davis Rd,New Braintree,MA,01531,48000,,,New Braintree,,144183,,1,,,Active,,,http://www.redfin.com/MA/New-Braintree/Lot-65-1-Davis-Rd-01531/home/169229775,MLS PIN,72651484,N,Y,42.3210618,-72.130459
MLS Listing,,Vacant Land,Lot 65 Davis Rd,New Braintree,MA,01531,48000,,,New Braintree,,151153,,1,,,Active,,,http://www.redfin.com/MA/New-Braintree/65-Davis-Rd-01531/home/55177074,MLS PIN,72651483,N,Y,42.3208621,-72.1289462
MLS Listing,,Single Family Residential,1711 Petersham Rd,Athol,MA,01331,269900,3,2.0,Athol,1400,1,2020,1,193,,Active,,,http://www.redfin.com/MA/Athol/1711-Petersham-Rd-01331/home/85677873,MLS PIN,72651466,N,Y,42.560335,-72.200797
MLS Listing,,Single Family Residential,6 Lakeside Dr,Dudley,MA,01571,249900,3,1.0,Dudley,1131,10454,1953,1,221,,Active,,,http://www.redfin.com/MA/Dudley/6-Lakeside-Dr-01571/home/16491545,MLS PIN,72651464,N,Y,42.0495828,-71.9054681
MLS Listing,,Single Family Residential,38 Crescent Rd,Lunenburg,MA,01462,179000,3,1.0,Lunenburg,1104,13068,1960,1,162,,Active,,,http://www.redfin.com/MA/Lunenburg/38-Crescent-Rd-01462/home/16548241,MLS PIN,72646140,N,Y,42.614866,-71.698262
MLS Listing,,Multi-Family (2-4 Unit),172 Austin St,Worcester,MA,01609,484900,12,4.0,Worcester,3645,6098,1900,1,133,,Active,,,http://www.redfin.com/MA/Worcester/172-Austin-St-01609/home/16663428,MLS PIN,72650705,N,Y,42.2615146,-71.8152769
MLS Listing,,Single Family Residential,110 Kendall Pond W,Gardner,MA,01440,365000,3,2.0,Gardner,2240,7840,2002,1,163,17,Active,,,http://www.redfin.com/MA/Gardner/110-Kendall-Pond-W-01440/home/16510432,MLS PIN,72643883,N,Y,42.5629085,-72.0198071
MLS Listing,,Single Family Residential,107 Berlin Rd,Bolton,MA,01740,650000,4,3.5,Bolton,3354,196020,1994,1,194,,Active,,,http://www.redfin.com/MA/Bolton/107-Berlin-Rd-01740/home/16476470,MLS PIN,72651456,N,Y,42.4267152,-71.6142593
