SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,417 Main St,Saco,ME,04072,297500,4,2.0,Saco,1964,13503,1760,7,151,,Active,,,http://www.redfin.com/ME/Saco/417-Main-St-04072/home/88444460,MREIS,1450524,N,Y,43.5038327,-70.4397772
MLS Listing,,Single Family Residential,154 Twombley Rd,Sanford,ME,04073,274900,3,1.5,Sanford,1488,12196,1986,1,185,,Active,,,http://www.redfin.com/ME/Sanford/154-Twombley-Rd-04073/home/100180956,MREIS,1451215,N,Y,43.4294296,-70.7788875
MLS Listing,,Single Family Residential,12 Spring Lake Dr,Waterboro,ME,04061,249900,3,2.5,Waterboro,1824,28749,1989,1,137,88,Active,,,http://www.redfin.com/ME/North-Waterboro/12-Spring-Lake-Dr-04061/home/100279353,MREIS,1451214,N,Y,43.6578218,-70.7295466
MLS Listing,,Single Family Residential,42 Old Rte 4 Rte,Berwick,ME,03901-2809,317000,3,1.75,Berwick,2316,95832,2004,1,137,,Active,,,http://www.redfin.com/ME/Berwick/42-Old-Rte-4-03901/home/100324688,NEREN,4803748,N,Y,43.2660726,-70.781847
MLS Listing,,Condo/Co-op,113 Bow St Unit 3A,Portsmouth,NH,03801,829000,2,2.0,Portsmouth,1109,,1997,1,748,467,Active,,,http://www.redfin.com/NH/Portsmouth/113-Bow-St-03801/unit-3A/home/87960176,NEREN,4803724,N,Y,43.0790953,-70.755271
MLS Listing,,Condo/Co-op,1 Old County Rd #610,Wells,ME,04090,267000,2,3.0,Wells,839,13939,2014,1,318,307,Active,,,http://www.redfin.com/ME/Wells/1-Old-County-Rd-04090/unit-610/home/106706689,MREIS,1451192,N,Y,43.2734461,-70.6014392
MLS Listing,,Single Family Residential,37 Ashley Way,Waterboro,ME,04087,400000,3,2.5,Waterboro,3180,127630,2001,1,126,,Active,,,http://www.redfin.com/ME/Waterboro/37-Ashley-Way-04087/home/100278024,MREIS,1451181,N,Y,43.5758417,-70.7729591
MLS Listing,,Multi-Family (2-4 Unit),343 Sanford Rd,Wells,ME,04090,429900,5,3.0,Wells,3072,27442,2009,1,140,,Active,,,http://www.redfin.com/ME/Wells/343-Sanford-Rd-04090/home/63520403,MREIS,1451178,N,Y,43.321406,-70.597064
MLS Listing,,Single Family Residential,Lot 21C Westview Dr,Sanford,ME,04073,339900,3,3.0,Sanford,1912,36154,2020,1,178,,Active,,,http://www.redfin.com/ME/Sanford/21-Westview-Dr-04073/home/171537571,MREIS,1451174,N,Y,43.4151211,-70.7527742
MLS Listing,,Single Family Residential,114 South St,Biddeford,ME,04005,274900,4,1.5,Biddeford,1126,2613,1900,1,244,,Active,,,http://www.redfin.com/ME/Biddeford/114-South-St-04005/home/100261783,MREIS,1451163,N,Y,43.4926745,-70.4633925
MLS Listing,,Single Family Residential,TBD Pheasant Run Rd,Alfred,ME,04002,449900,3,2.5,Alfred,2744,228254,2020,1,164,,Active,,,http://www.redfin.com/ME/Alfred/TBD-Pheasant-Run-04002/home/160497038,MREIS,1451160,N,Y,43.5128124,-70.7709114
MLS Listing,,Single Family Residential,691 Ossipee Trl,Limington,ME,04049,379000,4,2.0,Limington,2700,2874960,1810,1,140,,Active,,,http://www.redfin.com/ME/Limington/691-Ossipee-Trl-04049/home/98181875,MREIS,1451157,N,Y,43.7836359,-70.7587819
MLS Listing,,Single Family Residential,222 Poplar Hill Rd,Lebanon,ME,04027,249900,4,3.5,Lebanon,2478,87120,2004,1,101,,Active,,,http://www.redfin.com/ME/Lebanon/222-Poplar-Hill-Rd-04027/home/97618648,MREIS,1451143,N,Y,43.4158321,-70.9727611
MLS Listing,,Single Family Residential,4 Davis Dr,York,ME,03909,469000,2,2.5,York,1974,44866,1999,1,238,,Active,,,http://www.redfin.com/ME/York/4-Davis-Dr-03909/home/100131747,MREIS,1451138,N,Y,43.1493392,-70.6298662
MLS Listing,,Vacant Land,Lot 1 Rockwood Dr,Sanford,ME,04073,69900,,,Sanford,,99752,,1,,,Active,,,http://www.redfin.com/ME/Sanford/1-Rockwood-Dr-04073/unit-1/home/76493646,MREIS,1451131,N,Y,43.4463208,-70.7460458
MLS Listing,,Vacant Land,Lot 5 Washburn Dr,Kennebunkport,ME,04046,489000,,,Kennebunkport,,55321,,1,,117,Active,,,http://www.redfin.com/ME/Kennebunkport/5-Washburn-Dr-04046/home/171535134,MREIS,1451130,N,Y,43.3509258,-70.4548941
MLS Listing,,Single Family Residential,167 Wildes District Rd,Kennebunkport,ME,04046,3595000,5,4.0,Kennebunkport,4894,46609,2010,1,735,,Active,,,http://www.redfin.com/ME/Kennebunkport/167-Wildes-District-Rd-04046/home/100022546,MREIS,1451123,N,Y,43.3697535,-70.4422361
MLS Listing,,Single Family Residential,332 Sanford Rd,Wells,ME,04090,329000,3,2.0,Wells,2845,97138,1966,1,116,,Active,,,http://www.redfin.com/ME/Wells/332-Sanford-Rd-04090/home/100050568,NEREN,4803624,N,Y,43.322199,-70.5822401
MLS Listing,,Condo/Co-op,3 Abenaki Trl #3,Eliot,ME,03903,379999,2,2.5,Eliot,1796,26136,2016,1,212,242,Active,,,http://www.redfin.com/ME/Eliot/3-Abenaki-Trl-03903/unit-3/home/171534318,MREIS,1451112,N,Y,43.1203308,-70.763846
MLS Listing,,Multi-Family (2-4 Unit),17 Bateman St,Sanford,ME,04073,216000,3,2.0,Sanford,1462,6969,1917,1,148,,Active,,,http://www.redfin.com/ME/Sanford/17-Bateman-St-04073/home/106900184,MREIS,1451108,N,Y,43.4436976,-70.7629911
MLS Listing,,Single Family Residential,965 Main St,Waterboro,ME,04087,162500,2,1.0,Waterboro,960,21780,1948,1,169,,Active,,,http://www.redfin.com/ME/Waterboro/965-Main-St-04087/home/100277152,MREIS,1451110,N,Y,43.5336603,-70.7167018
MLS Listing,,Single Family Residential,Lot 3 Brigham,Wells,ME,04090,474900,3,2.0,Wells,1620,28314,2020,1,293,13,Active,,,http://www.redfin.com/ME/Wells/Lot-3-Brigham-04090/home/171534094,MREIS,1451104,N,Y,43.3222329,-70.5805209
MLS Listing,,Single Family Residential,2 and 4 Little River Rd,Old Orchard Beach,ME,04064,1195000,5,2.5,Old Orchard Beach,2520,82764,1889,1,474,,Active,,,http://www.redfin.com/ME/Old-Orchard-Beach/4-Little-River-Rd-04064/home/109928392,MREIS,1451100,N,Y,43.5364642,-70.3560907
MLS Listing,,Single Family Residential,165 Grandview Dr,Limerick,ME,04048,339900,3,3.0,Limerick,1624,67953,2020,1,209,111,Active,,,http://www.redfin.com/ME/Limerick/165-Grandview-Rd-04048/home/171533637,MREIS,1451095,N,Y,43.6791943,-70.7519958
MLS Listing,,Single Family Residential,507 Bald Hill Rd,Wells,ME,04090,245000,3,1.0,Wells,917,100187,1965,1,267,,Active,,,http://www.redfin.com/ME/Wells/507-Bald-Hill-Rd-04090/home/100054575,MREIS,1451082,N,Y,43.3442676,-70.6771777
MLS Listing,,Single Family Residential,52 Acorn Dr,Wells,ME,04090,319000,3,1.0,Wells,1474,45738,1976,1,216,,Active,,,http://www.redfin.com/ME/Wells/52-Acorn-Dr-04090/home/100054354,NEREN,4803572,N,Y,43.3458742,-70.70676
MLS Listing,,Vacant Land,Lot 11 L Sokokis Trail North N,Limerick,ME,04048,59900,,,Limerick,,69260,,1,,,Active,,,http://www.redfin.com/ME/Limerick/11-Sokokis-Trl-N-04048/home/100028709,MREIS,1451074,N,Y,43.690108,-70.795986
MLS Listing,,Condo/Co-op,66 Beach St Unit 3,Ogunquit,ME,03907,585000,1,1.0,Ogunquit,400,30491,1980,1,1463,250,Active,,,http://www.redfin.com/ME/Ogunquit/66-Beach-St-03907/unit-3/home/147613077,NEREN,4803563,N,Y,43.2497425,-70.5967032
