SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,34 Hurd Bridge Rd,Clinton,CT,06413,265000,3,1.0,Clinton,1306,15245,1957,1,203,,Active,,,http://www.redfin.com/CT/Clinton/34-Hurd-Bridge-Rd-06413/home/53955924,Smart MLS,170282949,N,Y,41.3072277,-72.5289171
MLS Listing,,Condo/Co-op,31 Carriage Crossing Ln #31,Middletown,CT,06457,118900,2,2.0,Middletown,866,,1987,1,137,345,Active,,,http://www.redfin.com/CT/Middletown/31-Carriage-Crossing-Ln-06457/unit-31/home/171152166,Smart MLS,170282295,N,Y,41.588086,-72.7087182
MLS Listing,,Single Family Residential,11 Sunrise Ln,East Hampton,CT,06424,497000,4,3.5,East Hampton,3616,57063,2008,1,137,,Active,,,http://www.redfin.com/CT/East-Hampton/11-Sunrise-Ln-06424/home/54354767,Smart MLS,170279696,N,Y,41.5966489,-72.5196971
MLS Listing,,Single Family Residential,27 Rosemont Dr,Deep River,CT,06417,249900,3,2.0,Winthrop,1591,37026,1994,1,157,,Active,,,http://www.redfin.com/CT/Deep-River/27-Rosemont-Dr-06417/home/54309480,Smart MLS,170282746,N,Y,41.3616458,-72.4526341
MLS Listing,,Single Family Residential,51 Ridgewood Rd,East Haddam,CT,06423,142900,3,1.0,Lake Hayward,744,4791,1968,1,192,33,Active,,,http://www.redfin.com/CT/EAST-HADDAM/51-RIDGEWOOD-RD-06423/home/53782308,Smart MLS,170282582,N,Y,41.526299,-72.334949
MLS Listing,,Single Family Residential,5 James Vincent Dr,Clinton,CT,06413,509900,4,2.5,Hemlock Ridge,3416,98010,2003,1,149,,Active,,,http://www.redfin.com/CT/Clinton/5-James-Vincent-Dr-06413/home/53953335,Smart MLS,170280866,N,Y,41.322967,-72.5447222
MLS Listing,,Multi-Family (2-4 Unit),283 Cross St,Middletown,CT,06457,285000,0,,Middletown,1788,31798,1879,1,159,,Active,,,http://www.redfin.com/CT/Middletown/283-Cross-St-06457/home/54067032,Smart MLS,170282569,N,Y,41.5511444,-72.6668321
MLS Listing,,Single Family Residential,6 Winchester Way,Cromwell,CT,06416,489900,4,2.5,Cromwell,3136,22651,2004,1,156,,Active,,,http://www.redfin.com/CT/Cromwell/6-Winchester-Way-06416/home/53659236,Smart MLS,170282304,N,Y,41.6073452,-72.6951913
MLS Listing,,Condo/Co-op,1241 Washington St #8,Middletown,CT,06457,70000,2,1.0,Westfield,1056,,1985,1,66,220,Active,,,http://www.redfin.com/CT/Middletown/1241-Washington-St-06457/unit-8/home/54069236,Smart MLS,170282781,N,Y,41.549476,-72.6924861
MLS Listing,,Single Family Residential,10 Upper Heatherwood #124,Cromwell,CT,06416,698000,4,3.5,River Highlands,3453,,1998,1,202,511,Active,,,http://www.redfin.com/CT/Cromwell/10-Upper-Heatherwood-06416/unit-124/home/171148763,Smart MLS,170282537,N,Y,41.6315148,-72.6371765
MLS Listing,,Single Family Residential,379 W Pond Meadow Rd,Westbrook,CT,06498,324000,3,3.0,Westbrook,2488,87120,1971,1,130,,Active,,,http://www.redfin.com/CT/Westbrook/379-W-Pond-Meadow-Rd-06498/home/54386480,Smart MLS,170282640,N,Y,41.3175211,-72.4779833
MLS Listing,,Vacant Land,0 Gadpouch Rd,East Hampton,CT,06424,49000,,,Cobalt,,23522,,1,,,Active,,,http://www.redfin.com/CT/Haddam/Gadpouch-Rd-06424/home/54354933,Smart MLS,170282567,N,Y,41.574185,-72.556278
MLS Listing,,Single Family Residential,65 Fawn Hill Rd,Killingworth,CT,06419,438044,4,3.5,Killingworth,3081,113256,1991,1,142,,Active,,,http://www.redfin.com/CT/Killingworth/65-Fawn-Hill-Rd-06419/home/54368798,Smart MLS,170278608,N,Y,41.3440963,-72.5815044
MLS Listing,,Single Family Residential,27 W Shore Dr,Clinton,CT,06413,379000,3,2.5,Boulder Lake,3091,198633,2001,2,123,11,Active,,,http://www.redfin.com/CT/Clinton/27-W-Shore-Dr-06413/home/53957196,Smart MLS,170280029,N,Y,41.2918942,-72.5603876
MLS Listing,,Multi-Family (2-4 Unit),127 Main St,Middlefield,CT,06481,199900,0,,Rockfall,2430,208216,1850,2,82,,Active,,,http://www.redfin.com/CT/Rockfall/127-Main-St-06481/home/53984126,Smart MLS,170282466,N,Y,41.532157,-72.693467
MLS Listing,,Single Family Residential,2 Rosewood Ln,Cromwell,CT,06416,289900,3,2.0,Cromwell,1904,10454,1954,2,152,,Active,March-22-2020 01:00 PM,March-22-2020 03:00 PM,http://www.redfin.com/CT/Cromwell/2-Rosewood-Ln-06416/home/53659706,Smart MLS,170282221,N,Y,41.6165357,-72.6565315
MLS Listing,,Single Family Residential,45 Old Ponsett Rd,Haddam,CT,06438,289900,2,1.0,Haddam,1305,82764,1965,2,222,,Active,,,http://www.redfin.com/CT/Haddam/45-Old-Ponsett-Rd-06438/home/53706733,Smart MLS,170282031,N,Y,41.486818,-72.5332613
MLS Listing,,Condo/Co-op,111 Dekoven Dr #1004,Middletown,CT,06457,139900,2,2.0,Middletown,1025,,1989,2,136,440,Active,,,http://www.redfin.com/CT/Middletown/111-deKoven-Dr-06457/unit-1004/home/54070329,Smart MLS,170281456,N,Y,41.5588824,-72.6460517
MLS Listing,,Single Family Residential,33 Prospect St,Essex,CT,06426,1295000,3,4.5,Essex Village,8543,16117,1849,2,152,,Active,,,http://www.redfin.com/CT/Essex/33-Prospect-St-06426/home/54239381,Smart MLS,170277558,N,Y,41.3532845,-72.3925305
MLS Listing,,Single Family Residential,311 Haddam Quarter Rd,Durham,CT,06422,234000,3,2.0,Durham,2194,44431,1966,3,107,,Active,,,http://www.redfin.com/CT/Durham/311-Haddam-Quarter-Rd-06422/home/54015766,Smart MLS,170281085,N,Y,41.4893274,-72.6629091
MLS Listing,,Single Family Residential,32 Pleasant Valley Rd,Clinton,CT,06413,324000,3,2.0,Clinton,2390,80150,1985,3,136,,Active,,,http://www.redfin.com/CT/Clinton/32-Pleasant-Valley-Rd-06413/home/53958766,Smart MLS,170281278,N,Y,41.304067,-72.5040523
MLS Listing,,Single Family Residential,15-17 Baxter Rd,Clinton,CT,06413,209900,4,2.0,Clinton,2278,20473,1965,3,92,12,Active,,,http://www.redfin.com/CT/Clinton/17-Baxter-Rd-06413/home/53953615,Smart MLS,170282198,N,Y,41.2907432,-72.559057
MLS Listing,,Single Family Residential,39 Prospect St,Essex,CT,06426,399900,2,1.5,Essex Village,961,3049,1900,3,416,,Active,,,http://www.redfin.com/CT/Essex/39-Prospect-St-06426/home/54239884,Smart MLS,170278487,N,Y,41.3530137,-72.3930094
MLS Listing,,Vacant Land,8 W Woods Dr,Clinton,CT,06413,75000,,,Clinton,,51400,,3,,,Active,,,http://www.redfin.com/CT/Clinton/8-W-Woods-Dr-06413/home/53956255,Smart MLS,170282196,N,Y,41.282933,-72.506314
MLS Listing,,Single Family Residential,12 Pratt Rd,Clinton,CT,06413,249900,2,1.0,Clinton,1068,7405,1949,3,234,,Active,,,http://www.redfin.com/CT/Clinton/12-Pratt-Rd-06413/home/53958154,Smart MLS,170279333,N,Y,41.27614,-72.53175
MLS Listing,,Single Family Residential,7 Ironworks Rd,Clinton,CT,06413,299900,4,2.0,Clinton,2078,25264,1968,3,144,,Active,,,http://www.redfin.com/CT/Clinton/7-Ironworks-Rd-06413/home/53954325,Smart MLS,170282129,N,Y,41.3221467,-72.5253536
MLS Listing,,Single Family Residential,4 Walkley Ml,Clinton,CT,06413,359900,3,2.5,Clinton,2020,47044,1998,3,178,,Active,,,http://www.redfin.com/CT/Clinton/4-Walkley-Ml-06413/home/53953414,Smart MLS,170281486,N,Y,41.295463,-72.5626786
MLS Listing,,Vacant Land,45 Beaver Dam Rd,Killingworth,CT,06419,160000,,,Deer Lake,,145926,,3,,,Active,,,http://www.redfin.com/CT/Killingworth/45-Beaver-Dam-Rd-06419/home/168272008,Smart MLS,170282024,N,Y,41.3539884,-72.5780709
MLS Listing,,Single Family Residential,8 Warner Ct,Cromwell,CT,06416,449900,4,2.5,Cromwell,2564,26136,1986,3,175,,Active,,,http://www.redfin.com/CT/Cromwell/8-Warner-Ct-06416/home/53660218,Smart MLS,170282080,N,Y,41.6116033,-72.654499
MLS Listing,,Single Family Residential,176 Salt Island Rd,Westbrook,CT,06498,349900,4,1.5,Middle Beach,1001,8276,1885,3,350,3,Active,,,http://www.redfin.com/CT/Westbrook/176-Salt-Island-Rd-06498/home/54386112,Smart MLS,170281339,N,Y,41.279672,-72.4441568
