SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8 Jefferson Ln #8,Southbury,CT,06488,385000,4,2.5,Southbury,2153,,2005,14,179,220,Active,,,http://www.redfin.com/CT/Southbury/8-Jefferson-Ln-06488/unit-8/home/170958471,Smart MLS,170273585,N,Y,41.4816341,-73.2506312
MLS Listing,,Single Family Residential,455 Hillfield Rd,Hamden,CT,06518,309999,4,2.5,Mount Carmel,2240,62290,1960,161,138,,Active,,,http://www.redfin.com/CT/Hamden/455-Hillfield-Rd-06518/home/54226937,Smart MLS,170242573,N,Y,41.4301907,-72.9201027
MLS Listing,,Single Family Residential,8 Ortense Dr,Wallingford,CT,06492,559000,4,2.5,Wallingford,3117,41382,2006,182,179,,Active,,,http://www.redfin.com/CT/Wallingford/8-Ortense-Rd-06492/home/53823889,Smart MLS,170234839,N,Y,41.4519659,-72.8800475
MLS Listing,,Condo/Co-op,1 Front St #203,New Haven,CT,06513,148990,2,1.0,New Haven,880,,1916,1,169,315,Active,,,http://www.redfin.com/CT/New-Haven/1-Front-St-06513/unit-203/home/54282604,Smart MLS,170282967,N,Y,41.3043928,-72.89269
MLS Listing,,Single Family Residential,664 Townsend Ave,New Haven,CT,06512,318400,4,3.0,New Haven,2128,16552,1930,1,150,,Active,,,http://www.redfin.com/CT/New-Haven/664-Townsend-Ave-06512/home/54277581,Smart MLS,170275390,N,Y,41.2749591,-72.8966611
MLS Listing,,Condo/Co-op,735 W Main St Unit A,Cheshire,CT,06410,169900,2,1.5,West Cheshire,1432,,1983,1,119,289,Active,,,http://www.redfin.com/CT/Cheshire/735-W-Main-St-06410/unit-A/home/53755761,Smart MLS,170282033,N,Y,41.5123726,-72.9206652
MLS Listing,,Single Family Residential,455 State St,Guilford,CT,06437,424900,3,2.0,Guilford,2465,44431,1942,1,172,,Active,,,http://www.redfin.com/CT/Guilford/455-State-St-06437/home/53896205,Smart MLS,170282555,N,Y,41.2982515,-72.6803193
MLS Listing,,Single Family Residential,21 Averyll Ave,Wolcott,CT,06716,375000,2,3.0,Cedar Lake,1810,14810,1985,1,207,46,Active,,,http://www.redfin.com/CT/Wolcott/21-Averyll-Ave-06716/home/53770718,Smart MLS,170282759,N,Y,41.6376005,-72.9672438
MLS Listing,,Condo/Co-op,33 Metacomet Dr #33,Meriden,CT,06450,163000,2,1.5,Meriden,1396,,1981,1,117,291,Active,,,http://www.redfin.com/CT/Meriden/33-Metacomet-Dr-06450/unit-33/home/54464928,Smart MLS,170282744,N,Y,41.541751,-72.7633029
MLS Listing,,Single Family Residential,94 Woodlawn St,Hamden,CT,06517,339900,4,1.5,Spring Glen,2295,9147,1920,1,148,,Active,,,http://www.redfin.com/CT/Hamden/94-Woodlawn-St-06517/home/54220904,Smart MLS,170282288,N,Y,41.362868,-72.9125352
MLS Listing,,Single Family Residential,764 Waterville St,Waterbury,CT,06710,99900,3,1.0,Waterbury,1600,6969,1929,1,62,,Active,,,http://www.redfin.com/CT/Waterbury/764-Waterville-St-06710/home/53665364,Smart MLS,170282889,N,Y,41.579236,-73.048312
MLS Listing,,Single Family Residential,16 Platt Ave,West Haven,CT,06516,289000,3,2.0,West Haven,1518,4791,1940,1,190,,Active,,,http://www.redfin.com/CT/West-Haven/16-Platt-Ave-06516/home/54090384,Smart MLS,170282601,N,Y,41.2525808,-72.9625041
MLS Listing,,Single Family Residential,71 E Farms Rd,Middlebury,CT,06762,799900,5,7.0,Middlebury,7691,82764,1994,1,104,,Active,,,http://www.redfin.com/CT/Middlebury/71-E-Farms-Rd-06762/home/54028576,Smart MLS,170281141,N,Y,41.5609747,-73.125821
MLS Listing,,Single Family Residential,550 Circular Ave,Hamden,CT,06514,248900,2,1.0,Hamden,1206,12632,1952,1,206,,Active,,,http://www.redfin.com/CT/Hamden/550-Circular-Ave-06514/home/54219782,Smart MLS,170282639,N,Y,41.3610661,-72.9371749
MLS Listing,,Single Family Residential,117 Dewey Ave,East Haven,CT,06512,339900,3,3.5,Momauguin,1764,20037,2005,1,193,,Active,,,http://www.redfin.com/CT/East-Haven/117-Dewey-Ave-06512/home/54303079,Smart MLS,170282871,N,Y,41.2495781,-72.8721029
MLS Listing,,Single Family Residential,72 Nicole Dr,Naugatuck,CT,06770,229900,3,2.5,Naugatuck,1664,15681,1992,1,138,,Active,,,http://www.redfin.com/CT/Naugatuck/72-Nicole-Dr-06770/home/54202377,Smart MLS,170282857,N,Y,41.4715215,-73.0250542
MLS Listing,,Single Family Residential,101 Paradise Ave,Hamden,CT,06514,274900,3,2.5,Hamden,2510,24829,1987,1,110,,Active,,,http://www.redfin.com/CT/Hamden/101-Paradise-Ave-06514/home/54230413,Smart MLS,170280793,N,Y,41.3701024,-72.9405431
MLS Listing,,Single Family Residential,51 Greenway St,Hamden,CT,06517,295500,3,1.5,Spring Glen,2138,6098,1930,1,138,,Active,,,http://www.redfin.com/CT/Hamden/51-Greenway-St-06517/home/54220516,Smart MLS,170282478,N,Y,41.364846,-72.915027
MLS Listing,,Single Family Residential,119 Bee Mountain Rd,Oxford,CT,06478,352500,4,2.5,Bee Mountain,2240,69696,1988,1,157,,Active,,,http://www.redfin.com/CT/Oxford/119-Bee-Mountain-Rd-06478/home/54011619,Smart MLS,170282212,N,Y,41.4052432,-73.1048236
MLS Listing,,Condo/Co-op,173 Metacomet Dr #173,Meriden,CT,06450,149900,2,2.0,Meriden,1496,,1981,1,100,290,Active,,,http://www.redfin.com/CT/Meriden/173-Metacomet-Dr-06450/unit-173/home/54467169,Smart MLS,170273540,N,Y,41.5404856,-72.7612853
MLS Listing,,Condo/Co-op,58 Heritage WD #58,Wallingford,CT,06492,169900,2,1.5,Wallingford,1289,,1983,1,132,165,Active,,,http://www.redfin.com/CT/Wallingford/58-Heritage-WD-06492/unit-58/home/171151218,Smart MLS,170282803,N,Y,41.442682,-72.851411
MLS Listing,,Single Family Residential,11 Riverwalk,Branford,CT,06405,579000,3,2.5,Branford,2305,,2008,1,251,325,Active,,,http://www.redfin.com/CT/Branford/11-River-Walk-06405/home/54113634,Smart MLS,170282784,N,Y,41.287346,-72.792161
MLS Listing,,Single Family Residential,15 Weathers Rd,North Haven,CT,06473,250000,3,2.0,North Haven,2064,23086,1983,1,121,,Active,,,http://www.redfin.com/CT/North-Haven/15-Weathers-Rd-06473/home/45453219,Smart MLS,170282532,N,Y,41.3745789,-72.843032
MLS Listing,,Single Family Residential,19 Wagon Wheel Dr,Prospect,CT,06712,259900,3,1.5,Prospect,1300,40075,1975,1,200,,Active,,,http://www.redfin.com/CT/Prospect/19-Wagon-Wheel-Dr-06712/home/53734686,Smart MLS,170282157,N,Y,41.518415,-73.0062356
MLS Listing,,Single Family Residential,94 Village St,North Haven,CT,06473,249900,3,1.0,North Haven,1636,21780,1960,1,153,,Active,,,http://www.redfin.com/CT/North-Haven/94-Village-St-06473/home/53992797,Smart MLS,170282822,N,Y,41.3475454,-72.8565558
MLS Listing,,Condo/Co-op,33 Old Field Hill Rd #32,Southbury,CT,06488,366500,2,2.5,Southbury,2533,,2000,1,145,774,Active,,,http://www.redfin.com/CT/Southbury/33-Old-Field-Hill-Rd-06488/unit-32/home/54262090,Smart MLS,170282179,N,Y,41.4911759,-73.2143482
MLS Listing,,Condo/Co-op,61 Canterbury Rd Unit U61,Hamden,CT,06514,295000,3,2.5,Hamden,2493,,1995,1,118,416,Active,,,http://www.redfin.com/CT/Hamden/61-Canterbury-Rd-06514/unit-U61/home/171150687,Smart MLS,170282069,N,Y,41.3727308,-72.9280229
MLS Listing,,Single Family Residential,384 Hayledge Ct,Cheshire,CT,06410,489900,6,4.0,Cheshire,3049,34848,1978,1,161,,Active,,,http://www.redfin.com/CT/Cheshire/384-Hayledge-Ct-06410/home/53751283,Smart MLS,170282796,N,Y,41.4906536,-72.8894449
